node,year_construction,capacity_existing
AT,2018,0.0012398243442431
AT,2019,0.0002479648688486
AT,2021,0.0047113325081239
CH,2017,0.00034949272289
CH,2018,0.0005591883566241
CH,2019,0.0009086810795141
CH,2020,0.0021668548819183
CH,2021,0.0053821879325069
CZ,2009,0.0004972528391766
CZ,2010,0.0004972528391766
CZ,2011,0.0004972528391766
CZ,2012,0.0004972528391766
CZ,2013,0.0004972528391766
CZ,2014,0.0004972528391766
CZ,2015,0.0004972528391766
CZ,2016,0.0004972528391766
CZ,2017,0.0004972528391766
CZ,2018,0.0004972528391766
CZ,2019,0.0004972528391766
CZ,2020,0.0004972528391766
CZ,2021,0.0004972528391766
DE,2009,0.0710338493394897
DE,2010,0.0710338493394897
DE,2011,0.0710338493394897
DE,2012,0.0710338493394897
DE,2013,0.0710338493394897
DE,2014,0.0710338493394897
DE,2015,0.0710338493394897
DE,2016,0.0710338493394897
DE,2017,0.0710338493394897
DE,2018,0.0710338493394897
DE,2019,0.0710338493394897
DE,2020,0.0987854248878925
DE,2021,0.1117701070252185
EL,2009,0.0011836051874907
EL,2010,0.0011836051874907
EL,2011,0.0011836051874907
EL,2012,0.0011836051874907
EL,2013,0.0011836051874907
EL,2014,0.0011695181930806
EL,2015,0.001156797141501
EL,2016,0.0027690539163184
EL,2017,0.0012590145041786
EL,2018,0.0014833787302259
EL,2019,0.001408422940082
EL,2020,0.0019458029782776
EL,2021,0.0027317491317428
ES,2016,0.0083685639530764
ES,2017,0.0051498855095855
ES,2018,0.0115872423965674
ES,2019,0.0025749427547927
ES,2020,0.0045061498208873
ES,2021,0.0109435067078692
FI,2015,0.0001478232032172
FI,2020,0.0007391160160863
FI,2021,0.0002956464064345
FR,2009,0.0005481063189106
FR,2010,0.0005481063189106
FR,2011,0.0005481063189106
FR,2012,0.0005481063189106
FR,2013,0.0005481063189106
FR,2014,0.0018270210630355
FR,2015,0.0001827021063035
FR,2016,0.0001827021063035
FR,2017,0.0005481063189106
FR,2018,0.0001827021063035
FR,2019,0.0007308084252142
FR,2020,0.0034713400197676
FR,2021,0.0058464674017138
HU,2017,0.0003626892260454
HU,2021,0.0036268922604544
IE,2018,0.0003475113062993
IE,2019,0.0006950226125987
IE,2020,0.0010425339188981
IE,2021,0.0013900452251974
IT,2009,0.0034311809096828
IT,2010,0.0034311809096828
IT,2011,0.0034311809096828
IT,2012,0.0034311809096828
IT,2013,0.0034311809096828
IT,2014,0.0034311809096828
IT,2015,0.0034311809096828
IT,2016,0.0034311809096828
IT,2017,0.0034311809096828
IT,2018,0.0034311809096828
IT,2019,0.0034311809096828
IT,2020,0.0022874539397885
IT,2021,0.0011437269698942
LT,2009,0.001914027002688
LT,2010,0.001914027002688
LT,2011,0.001914027002688
LT,2012,0.001914027002688
LT,2013,0.001914027002688
LT,2014,0.001914027002688
LT,2015,0.001914027002688
NL,2009,0.0038586923355401
NL,2010,0.0038586923355401
NL,2011,0.0038586923355401
NL,2012,0.0038586923355401
NL,2013,0.0038586923355401
NL,2014,0.0016077884731417
NL,2015,0.0016077884731417
NL,2016,0.0048233654194252
NL,2017,0.0041802500301685
NL,2018,0.0070742692818236
NL,2019,0.009325173144222
NL,2020,0.0077173846710803
NL,2021,0.0147916539529039
NO,2009,9.071436703705568e-05
NO,2010,9.071436703705568e-05
NO,2011,9.071436703705568e-05
NO,2012,9.071436703705568e-05
NO,2013,9.071436703705568e-05
NO,2014,9.071436703705568e-05
NO,2015,9.071436703705568e-05
NO,2016,9.071436703705568e-05
NO,2018,0.0009071436703705
NO,2019,0.0006350005692593
NO,2020,0.0014514298725928
NO,2021,0.0059871482244456
PL,2015,0.0006187553819015
PL,2019,0.0003093776909507
PL,2021,0.0015468884547537
PT,2018,0.0036468727592767
PT,2021,0.0007293745518553
SE,2017,0.0001428842023798
SE,2018,0.0005715368095193
SE,2019,0.0011430736190387
SE,2020,0.0015717262261782
SE,2021,0.005429599690434
SI,2009,0.0010073235638219
SI,2010,0.0010073235638219
SI,2011,0.0010073235638219
SI,2012,0.0010073235638219
SI,2013,0.0010073235638219
SI,2014,0.000995334632409
SI,2015,0.0009845082055327
SI,2016,0.0023566416309093
SI,2017,0.0010715017056839
SI,2018,0.001262449983171
SI,2019,0.0011986578213464
SI,2020,0.0016560025347044
SI,2021,0.002324892878079
UK,2009,0.0002938008732942
UK,2010,0.0002938008732942
UK,2011,0.0002938008732942
UK,2012,0.0002938008732942
UK,2013,0.0002938008732942
UK,2014,0.0002938008732942
UK,2015,0.0002938008732942
UK,2016,0.1026344384041383
UK,2017,0.0011752034931771
UK,2018,0.0012731371176085
UK,2019,0.0056475056755457
UK,2020,0.0100218742334829
UK,2021,0.0143962427914201
