node,year_construction,capacity_existing
AT,1993,0.5984721060624661
AT,1994,0.5934254243208388
AT,1995,0.3723082170076245
AT,1996,0.4743102542955403
AT,1997,0.4576207156267504
AT,1998,0.5038316523787769
AT,1999,0.5629650337261215
AT,2000,0.5974904821457611
AT,2001,0.6018635598429924
AT,2002,0.6077172367034289
AT,2003,0.6700335938889722
AT,2004,0.6879944487168858
AT,2005,0.6434999449610225
AT,2006,0.5990054412051591
AT,2007,0.5520885647677224
AT,2008,0.5012140530142914
AT,2009,0.4590544603860568
AT,2010,0.5220517682415978
AT,2011,0.6082357587732433
AT,2012,0.5923083850745423
AT,2013,0.565067234647719
AT,2014,0.5384539332331411
AT,2015,0.5616968411939245
AT,2016,0.5898032362794142
AT,2017,0.5480653332862697
AT,2018,0.4376544923119638
AT,2019,0.3945484407249713
AT,2020,0.2839658002697027
AT,2021,0.1819918756241262
BE,1993,0.4687027682639544
BE,1994,0.546898596438272
BE,1995,0.5466562828791127
BE,1996,0.5860415559947616
BE,1997,0.6707581041777357
BE,1998,0.75547465236071
BE,1999,0.8508871695716994
BE,2000,0.9284150821662832
BE,2001,0.9743707806360572
BE,2002,0.9459424296121338
BE,2003,0.9829853383225768
BE,2004,1.064812763300191
BE,2005,1.0946981022631617
BE,2006,1.2309342410242965
BE,2007,1.2682784883916427
BE,2008,1.3264865545194162
BE,2009,1.1234588577849065
BE,2010,1.302920007599136
BE,2011,1.3530012497428003
BE,2012,1.053806135862997
BE,2013,0.9908481026588845
BE,2014,0.941953575638282
BE,2015,0.9423667513224891
BE,2016,0.8833633996672189
BE,2017,0.8044685900722495
BE,2018,0.6244948538828753
BE,2019,0.5396260830794035
BE,2020,0.4256486193359075
BE,2021,0.2564982221223117
CH,1993,0.0256361418898135
CH,1994,0.0360773215896528
CH,1995,0.0327407968541427
CH,1996,0.0385720625616167
CH,1997,0.04110353591599
CH,1998,0.0509110820192691
CH,1999,0.0634215192614981
CH,2000,0.0887178866140258
CH,2001,0.1276940053821447
CH,2002,0.1594705771980437
CH,2003,0.1772704775072098
CH,2004,0.2120682877762726
CH,2005,0.2268653158234796
CH,2006,0.2476374780759303
CH,2007,0.2825332413647511
CH,2008,0.2859003764189357
CH,2009,0.2412093111543054
CH,2010,0.2770233840033584
CH,2011,0.3345707831112383
CH,2012,0.382628983430053
CH,2013,0.3538552838761131
CH,2014,0.3446721882737917
CH,2015,0.3915059758456303
CH,2016,0.382628983430053
CH,2017,0.3627873748653041
CH,2018,0.2909265907452728
CH,2019,0.2605091170785173
CH,2020,0.1804386454900107
CH,2021,0.1269226253515497
CZ,2021,0.1708398195311595
DE,1993,1.4733789205785484
DE,1994,1.6812450221169395
DE,1995,1.4949694157004076
DE,1996,1.621989424378084
DE,1997,1.6241382707349064
DE,1998,2.032839572206776
DE,1999,2.6368941965032806
DE,2000,3.172259942147741
DE,2001,3.5721061415103454
DE,2002,3.822204030657139
DE,2003,3.996937704052062
DE,2004,4.444080166321594
DE,2005,4.407688912192382
DE,2006,4.748737109874849
DE,2007,4.642639753422523
DE,2008,4.209441603482876
DE,2009,3.6132557762771818
DE,2010,3.778067654047582
DE,2011,4.625325307957477
DE,2012,4.594879710726352
DE,2013,4.338236342820719
DE,2014,4.491135263738116
DE,2015,4.756683203597201
DE,2016,4.76022338932175
DE,2017,4.133131276960951
DE,2018,3.435464248138522
DE,2019,3.5640951186175003
DE,2020,2.535007960537275
DE,2021,1.621516368993057
DK,1993,0.1693354190504534
DK,1994,0.1706953659939445
DK,1995,0.1720553129374359
DK,1996,0.1734152598809273
DK,1997,0.1747752068244188
DK,1998,0.1761351537679102
DK,1999,0.1774951007114016
DK,2000,0.1274751856943371
DK,2001,0.1275546952260164
DK,2002,0.1273406311022644
DK,2003,0.1253345444568167
DK,2004,0.1263651103097373
DK,2005,0.1270195349166363
DK,2006,0.1276739595235354
DK,2007,0.4123211409944385
DK,2008,0.3119739958973058
DK,2009,0.2847071194255537
DK,2010,0.2574402429538015
DK,2011,0.2301733664820494
DK,2012,0.2029064900102972
DK,2013,0.1756396135385451
DK,2014,0.1820890597813029
DK,2015,0.1963365562464561
DK,2016,0.2452899632896359
DK,2017,0.2369751011113247
DK,2018,0.2216297614972145
DK,2019,0.1845905519702909
DK,2020,0.1400805045244212
DK,2021,0.0780416634021706
EE,1993,0.0072017743423236
EE,1994,0.0077456191451402
EE,1995,0.0082894639479567
EE,1996,0.0088333087507731
EE,1997,0.0093771535535897
EE,1998,0.0099209983564061
EE,1999,0.0104648431592227
EE,2000,0.0057254402581447
EE,2001,0.0059476311343044
EE,2002,0.0079924312264989
EE,2003,0.0093223563258318
EE,2004,0.0109356552962089
EE,2005,0.0157626715768382
EE,2006,0.0205896878574675
EE,2007,0.0274421832845384
EE,2008,0.0196236405698166
EE,2009,0.0112029283791257
EE,2010,0.0109517560843364
EE,2011,0.0181133866434556
EE,2012,0.0220741805228245
EE,2013,0.0236391771288191
EE,2014,0.0248692773417613
EE,2015,0.0223768753396218
EE,2016,0.0205832475422165
EE,2017,0.0206347700642246
EE,2018,0.0207828973149977
EE,2019,0.0199005741256099
EE,2020,0.0156596265328221
EE,2021,0.0136888900660141
EL,1993,0.0104029950160035
EL,1994,0.0067107973900513
EL,1995,0.0102204311095199
EL,1996,0.0101102632349178
EL,1997,0.0092729873879414
EL,1998,0.0070759252030184
EL,1999,0.0060371995281981
EL,2000,0.0067643075005723
EL,2001,0.0076393551902694
EL,2002,0.0074190194410651
EL,2003,0.0152692674198587
EL,2004,0.0277091440285065
EL,2005,0.0401490206371544
EL,2006,0.0525888972458022
EL,2007,0.0650287738544501
EL,2008,0.0774686504630979
EL,2009,0.0899085270717457
EL,2010,0.1023484036803936
EL,2011,0.1147882802890414
EL,2012,0.1272281568976893
EL,2013,0.1396680335063371
EL,2014,0.152107910114985
EL,2015,0.1645477867236328
EL,2016,0.1769876633322806
EL,2017,0.1894275399409285
EL,2018,0.2018674165495763
EL,2019,0.2143072931582242
EL,2020,0.226747169766872
EL,2021,0.1563439523282589
ES,1993,0.5237100995128062
ES,1994,0.7660272781680657
ES,1995,0.8906508504032518
ES,1996,1.1560366144502812
ES,1997,1.4635468048477096
ES,1998,1.941179204828325
ES,1999,2.399984258658127
ES,2000,2.4577058031913195
ES,2001,2.4410413325501006
ES,2002,2.5204104125744036
ES,2003,2.783993258685794
ES,2004,3.0475761047971845
ES,2005,3.3111589509085744
ES,2006,3.574741797019965
ES,2007,3.54982960283637
ES,2008,2.537300247957577
ES,2009,2.104161734183747
ES,2010,2.191640814852565
ES,2011,1.7777960270427609
ES,2012,1.51821653516693
ES,2013,1.683041108281247
ES,2014,1.847358610726166
ES,2015,2.172650705277006
ES,2016,2.239458831003185
ES,2017,2.129555958509857
ES,2018,1.72564286967537
ES,2019,1.3786312481186285
ES,2020,0.9547107783039251
ES,2021,0.7033508393777264
FI,1993,0.0136172915274016
FI,1994,0.0116697383913316
FI,1995,0.017150931937487
FI,1996,0.0403501848943532
FI,1997,0.04761377907064
FI,1998,0.06146477697437
FI,1999,0.0686317725151077
FI,2000,0.082046518516358
FI,2001,0.0561393876791001
FI,2002,0.0567002829822883
FI,2003,0.0696818931660766
FI,2004,0.0688748271464892
FI,2005,0.0804183640946035
FI,2006,0.0919619010427177
FI,2007,0.1115059862738077
FI,2008,0.2159665043225685
FI,2009,0.1307820881933744
FI,2010,0.1457019032581796
FI,2011,0.1656105704363419
FI,2012,0.1341225313323617
FI,2013,0.1205831419304029
FI,2014,0.1286257573611177
FI,2015,0.1209040986872272
FI,2016,0.1229357861187755
FI,2017,0.1123722579087316
FI,2018,0.0894690330285481
FI,2019,0.0650420425747034
FI,2020,0.0398173343563244
FI,2021,0.026165765893728
FR,1993,2.4278321280524993
FR,1994,2.9135820567118325
FR,1995,2.7826067556067744
FR,1996,2.593018968853125
FR,1997,2.219813443860248
FR,1998,2.420823675461063
FR,1999,2.9369445985878397
FR,2000,3.2438038523436115
FR,2001,3.9296960927781943
FR,2002,4.199904332185827
FR,2003,4.196745723963504
FR,2004,4.317668653660324
FR,2005,4.429605513448886
FR,2006,4.425451897140825
FR,2007,4.728424109963531
FR,2008,4.911304116351029
FR,2009,4.952821681149654
FR,2010,4.8242486581332145
FR,2011,4.829837441867119
FR,2012,4.199696651370425
FR,2013,3.621066902521003
FR,2014,3.471536715430834
FR,2015,3.318066792275333
FR,2016,3.186232870485698
FR,2017,3.032093409179047
FR,2018,2.555627122939595
FR,2019,2.359495840643919
FR,2020,1.5906738608766169
FR,2021,1.100240264872896
HR,1993,0.0476665450199378
HR,1994,0.0469930094473201
HR,1995,0.0563730736604735
HR,1996,0.0522886056467091
HR,1997,0.0674338871924529
HR,1998,0.0483462598179924
HR,1999,0.060896266680255
HR,2000,0.0604946170268591
HR,2001,0.1039654679751691
HR,2002,0.1073918484799079
HR,2003,0.1430398000251532
HR,2004,0.1536557093256786
HR,2005,0.1494105814505558
HR,2006,0.1542241980658697
HR,2007,0.1437905759157317
HR,2008,0.1066905063928243
HR,2009,0.06297248642704
HR,2010,0.0610507473161765
