year,opex_specific_variable
2022,1.0
2023,0.9996683794412292
2024,0.9993367588824584
2025,0.9990051383236878
2026,0.9982737554822212
2027,0.9975423726407548
2028,0.9968109897992884
2029,0.9960796069578218
2030,0.9953482241163552
2031,0.9938053528210414
2032,0.9922624815257272
2033,0.9907196102304134
2034,0.9891767389350992
2035,0.9876338676397854
2036,0.9847178222558588
2037,0.981801776871932
2038,0.978885731488005
2039,0.9759696861040784
2040,0.9730536407201515
2041,0.96870976779179
2042,0.9643658948634284
2043,0.9600220219350668
2044,0.9556781490067052
2045,0.951334276078344
2046,0.947078031890497
2047,0.94282178770265
2048,0.9385655435148031
2049,0.9343092993269564
2050,0.9300530551391094
