node,year_construction,capacity_existing
AT,2003,26.422444217842155
AT,2004,26.422444217842155
AT,2005,26.422444217842155
AT,2006,26.422444217842155
AT,2007,26.422444217842155
AT,2008,26.422444217842155
AT,2009,26.422444217842155
AT,2010,26.422444217842155
AT,2011,26.422444217842155
AT,2012,26.422444217842155
AT,2013,26.422444217842155
AT,2014,26.422444217842155
AT,2015,26.422444217842155
AT,2016,26.422444217842155
AT,2017,26.422444217842155
AT,2018,26.422444217842155
AT,2019,26.422444217842155
AT,2020,26.422444217842155
AT,2021,26.422444217842155
AT,2022,26.422444217842155
BE,2003,45.49205609737548
BE,2004,45.49205609737548
BE,2005,45.49205609737548
BE,2006,45.49205609737548
BE,2007,45.49205609737548
BE,2008,45.49205609737548
BE,2009,45.49205609737548
BE,2010,45.49205609737548
BE,2011,45.49205609737548
BE,2012,45.49205609737548
BE,2013,45.49205609737548
BE,2014,45.49205609737548
BE,2015,45.49205609737548
BE,2016,45.49205609737548
BE,2017,45.49205609737548
BE,2018,45.49205609737548
BE,2019,45.49205609737548
BE,2020,45.49205609737548
BE,2021,45.49205609737548
BE,2022,45.49205609737548
BG,2003,13.628524432656414
BG,2004,13.628524432656414
BG,2005,13.628524432656414
BG,2006,13.628524432656414
BG,2007,13.628524432656414
BG,2008,13.628524432656414
BG,2009,13.628524432656414
BG,2010,13.628524432656414
BG,2011,13.628524432656414
BG,2012,13.628524432656414
BG,2013,13.628524432656414
BG,2014,13.628524432656414
BG,2015,13.628524432656414
BG,2016,13.628524432656414
BG,2017,13.628524432656414
BG,2018,13.628524432656414
BG,2019,13.628524432656414
BG,2020,13.628524432656414
BG,2021,13.628524432656414
BG,2022,13.628524432656414
CH,2003,16.74902963599663
CH,2004,16.74902963599663
CH,2005,16.74902963599663
CH,2006,16.74902963599663
CH,2007,16.74902963599663
CH,2008,16.74902963599663
CH,2009,16.74902963599663
CH,2010,16.74902963599663
CH,2011,16.74902963599663
CH,2012,16.74902963599663
CH,2013,16.74902963599663
CH,2014,16.74902963599663
CH,2015,16.74902963599663
CH,2016,16.74902963599663
CH,2017,16.74902963599663
CH,2018,16.74902963599663
CH,2019,16.74902963599663
