node,capacity_limit
AT,0.17657760702142816
BE,0.28464879184339836
BG,0.11758200860839566
CH,0.1705239998751606
CZ,0.18767943576714172
DE,1.3838931866135098
DK,0.13051216290658296
EE,0.007278196044910064
EL,0.016079353711461547
ES,0.8553317280312279
FI,0.06618551426449874
FR,0.7984424654415511
HR,0.04759720002242987
HU,0.0635722457098845
IE,0.0838240049919466
IT,1.0002439989980716
LT,0.01922488882273275
LU,0.0024451551007072686
LV,0.02615459278758351
NL,0.1483918184118395
NO,0.06139980730572578
PL,0.5040961206384535
PT,0.21346909127208485
RO,0.12638358924126325
SE,0.041602647704131815
SI,0.054758368991338235
SK,0.042976449613106565
UK,1.110303964944106
