year,opex_specific_variable
2022,1.0
2023,0.9975637445024972
2024,0.995127489004994
2025,0.9926912335074912
2026,0.9898016632710798
2027,0.9869120930346684
2028,0.9840225227982567
2029,0.9811329525618454
2030,0.978243382325434
2031,0.9759911879681143
2032,0.9737389936107947
2033,0.9714867992534756
2034,0.969234604896156
2035,0.9669824105388364
2036,0.9650146797254194
2037,0.9630469489120028
2038,0.9610792180985858
2039,0.9591114872851688
2040,0.957143756471752
2041,0.9558045897307847
2042,0.9544654229898174
2043,0.9531262562488504
2044,0.9517870895078828
2045,0.9504479227669156
2046,0.9494182204728816
2047,0.9483885181788474
2048,0.9473588158848132
2049,0.9463291135907792
2050,0.945299411296745
