year,opex_specific_variable
2022,1.0
2023,1.005060275525687
2024,1.0101205510513744
2025,1.0151808265770614
2026,1.0183984952468217
2027,1.0216161639165815
2028,1.0248338325863413
2029,1.0280515012561016
2030,1.0312691699258614
2031,1.028147669234344
2032,1.025026168542826
2033,1.0219046678513084
2034,1.018783167159791
2035,1.0156616664682732
2036,1.0119890270615306
2037,1.0083163876547885
2038,1.0046437482480457
2039,1.0009711088413034
2040,0.997298469434561
2041,0.9943207128594502
2042,0.9913429562843392
2043,0.9883651997092284
2044,0.9853874431341176
2045,0.9824096865590072
2046,0.9805578308495344
2047,0.978705975140062
2048,0.9768541194305892
2049,0.9750022637211166
2050,0.973150408011644
