node,year_construction,capacity_existing
AT,2004,0.5260746773477393
AT,2005,0.5260746773477393
AT,2006,0.5260746773477393
AT,2007,0.5260746773477393
AT,2008,0.5260746773477393
AT,2009,0.5260746773477393
AT,2010,0.5260746773477393
AT,2013,0.2541374822618933
AT,2014,0.0311532930654878
AT,2017,0.1740597931768613
BE,2004,0.7546305772482226
BE,2005,0.7546305772482226
BE,2006,0.7546305772482226
BE,2007,0.7546305772482226
BE,2008,2.948612630406361
BE,2009,0.7546305772482226
BE,2010,0.7546305772482226
BE,2011,0.5054050987145163
BE,2012,0.7744564621054273
BE,2013,0.2039006026700751
BE,2014,0.6054962411290901
BE,2015,0.6581466311258725
BE,2017,0.8607040163131913
BE,2020,1.4555712609753588
BG,2004,0.0334951608082463
BG,2005,0.0334951608082463
BG,2006,0.0872428415599518
BG,2007,0.0334951608082463
BG,2008,0.0334951608082463
BG,2009,0.0334951608082463
BG,2010,0.0819474815214468
BG,2011,0.1630178811738626
BG,2013,0.4544798339822712
BG,2015,0.1659209578594247
BG,2019,0.021130702704754
CH,2004,0.7127856568586574
CH,2005,0.7127856568586574
CH,2006,0.7127856568586574
CH,2007,0.7127856568586574
CH,2008,0.7127856568586574
CH,2009,0.7127856568586574
CH,2010,0.7127856568586574
CH,2013,0.3443342932598728
CH,2014,0.0422100158345303
CH,2017,0.235835955149465
CZ,2006,0.7388569113765676
CZ,2008,0.0177233834776697
CZ,2009,0.0307440270341517
CZ,2010,0.4382147472747449
CZ,2011,0.1086100797058213
CZ,2012,0.1750131133660293
CZ,2013,1.43537058539749
CZ,2020,0.5354847994900055
DE,2004,2.5683133182277813
DE,2005,4.0276687321250595
DE,2006,4.331464942045552
DE,2007,2.5683133182277813
DE,2008,19.755998650845317
DE,2009,2.5683133182277813
DE,2010,2.5683133182277813
DE,2011,2.659737420951989
DE,2013,0.349108404842851
DE,2014,2.7511494710431013
DE,2019,6.376835630038194
DE,2020,3.039157648972253
DE,2021,7.535366231029309
DK,2004,0.3323923081010221
DK,2005,0.3323923081010221
DK,2006,0.3323923081010221
DK,2007,0.3323923081010221
DK,2008,0.3323923081010221
DK,2009,0.3323923081010221
DK,2010,0.3323923081010221
DK,2011,0.2026588444143228
DK,2019,0.0589546383976958
EE,2005,0.0089324279440391
EE,2008,0.0064849677648513
EE,2011,0.1338451517271919
EE,2014,0.0325321587627734
EE,2015,0.0151152407543305
EE,2017,0.0084277621990194
EE,2020,0.0463291157751452
EE,2021,0.1421432694603948
EL,2004,0.6131254593275133
EL,2005,0.6131254593275133
EL,2006,0.6131254593275133
EL,2007,0.6131254593275133
EL,2008,0.6131254593275133
EL,2009,0.6131254593275133
EL,2010,0.6131254593275133
EL,2011,0.2894607502622459
EL,2015,1.6069741281836358
EL,2016,1.521852429394693
EL,2018,0.0049104698097624
EL,2019,0.3952456531031817
EL,2020,1.4411009942542563
EL,2021,0.4346283550222164
ES,2004,1.4403053037971827
ES,2005,1.0250570542262458
ES,2006,1.0250570542262458
ES,2007,2.005366317057352
ES,2008,1.0250570542262458
ES,2009,1.0250570542262458
ES,2010,1.0250570542262458
ES,2011,0.2792921396280999
ES,2012,0.2775308088944839
ES,2013,1.4678416674118515
ES,2014,0.7526646482312364
ES,2015,0.7445683741812243
ES,2016,1.232650203299512
ES,2020,0.5857166451777837
FI,2004,0.2608643948060234
FI,2005,0.2608643948060234
FI,2006,0.2608643948060234
FI,2007,0.2608643948060234
FI,2008,0.2608643948060234
FI,2009,0.2608643948060234
FI,2010,0.2608643948060234
FI,2015,0.4874889015250112
FI,2019,0.1864984859936769
FI,2020,0.3513390194583292
FI,2021,0.1069376485403905
FR,2004,2.044295430656071
FR,2005,2.044295430656071
FR,2006,2.044295430656071
FR,2007,2.044295430656071
FR,2008,4.976079077804102
FR,2009,2.044295430656071
FR,2010,2.044295430656071
FR,2011,0.9228684272564592
FR,2014,4.093411275557792
FR,2017,0.6136395744692003
FR,2018,4.46739093962882
FR,2020,3.379692362859393
FR,2021,1.3490499335303925
HR,2004,0.0351448081317303
HR,2005,0.0351448081317303
HR,2006,0.0351448081317303
HR,2007,0.0351448081317303
HR,2008,0.0351448081317303
HR,2009,0.0351448081317303
HR,2010,0.0351448081317303
HR,2014,0.3702167829638642
HR,2017,0.1108904615685522
HR,2019,0.1987710473138912
