node,capacity_limit
AT,673.4152001484018
BE,885.0740674200914
BG,393.1051286598173
CH,668.0365296803652
CZ,682.2960847100455
DE,5029.896769253424
DK,549.1246678310503
EE,125.17063477397261
EL,1436.1003188607308
ES,3708.5063273744295
FI,220.34706607762556
FR,2531.4031422518265
HR,486.27282371004554
HU,329.3935410388127
IE,709.0357435159816
IT,2985.3434997853883
LT,207.016883196347
LU,152.1424998173516
LV,173.1265420547945
NL,0.0
NO,284.4748858447489
PL,2596.852180328767
PT,1026.5685443840182
RO,1352.0332976004565
SE,519.4035778789953
SI,158.8402413076484
SK,534.5476049155251
UK,1439.634703196347
