node,capacity_limit
AT,254.49900367831526
BE,484.777975874092
BG,225.17910369821686
CH,254.49900367831526
CZ,428.54939841002
DE,2121.878129151081
DK,75.80379837018367
EE,24.23475347468858
EL,73.87326729591598
ES,1361.2946993821547
FI,105.02608693130215
FR,951.6105300950414
HR,34.3443496040728
HU,137.1849321504038
IE,49.56509600787587
IT,1696.3975016502404
LT,24.94865059891121
LU,85.3276342477999
LV,41.34044694588047
NL,504.5936115195415
NO,105.02608693130215
PL,1055.5650274367185
PT,506.19281106364076
RO,141.4949328907713
SE,124.08628567786985
SI,27.210220950156103
SK,68.38560852347776
UK,1776.2788170977312
