node,capacity_limit
AT,183.95137122110657
BE,416.5491539081386
BG,61.61230069987053
CH,183.95137122110657
CZ,116.28746299196914
DE,1175.8669883837786
DK,0.0
EE,0.0
EL,375.0512815869768
ES,230.3250006790464
FI,65.67849867359594
FR,551.6976477831396
HR,9.016324276362845
HU,192.98499760070257
IE,14.814796874575595
IT,650.5286602866481
LT,0.0
LU,0.0
LV,0.0
NL,1919.983838694782
NO,666.802782279604
PL,413.3097764579126
PT,178.40163333303153
RO,24.95953335928799
SE,40.60800912638412
SI,0.0
SK,110.88073228367843
UK,355.22068103830725
