node,capacity_limit
AT,1212.6223091800393
BE,1407.240704448141
BG,117.29941291585128
CH,0.0
CZ,869.8825831702544
DE,7491.635547666341
DK,0.0
EE,0.0
EL,258.37573385518596
ES,2522.289628232877
FI,695.694716295499
FR,2710.2152642688843
HR,15.670208680626224
HU,348.55185909980435
IE,0.0
IT,4226.798149520549
LT,0.0
LU,409.8473580821918
LV,0.0
NL,1199.9412915851274
NO,114.60504892367906
PL,1729.0215264187866
PT,299.41291585127203
RO,625.2446183953033
SE,819.5107632270059
SI,115.18590998043052
SK,903.522504892368
UK,1268.1017612524463
