node,year_construction,capacity_existing
AT,2005,0.3488381416702327
AT,2006,0.140034901108269
AT,2007,0.3522970752057783
AT,2008,0.1049171126960099
AT,2009,0.1349332876036286
AT,2011,0.2754450034182464
AT,2012,0.085526856466755
AT,2013,0.1537572861433745
AT,2014,0.2780288313475252
AT,2016,0.237634046175232
AT,2017,0.0409729518872554
AT,2018,0.3059998000458603
AT,2019,0.1137186089765041
AT,2020,0.0301285014006614
AT,2021,0.1331375011903752
BE,2005,0.0796633934137816
BE,2006,0.1642522278470639
BE,2007,0.2596895825845608
BE,2008,0.0129432154303501
BE,2009,0.1711381203616883
BE,2011,0.4403203551562756
BE,2012,0.1067125648326275
BE,2013,0.0509372524065054
BE,2014,0.4643178816983108
BE,2016,0.1644770100746787
BE,2017,0.0982748429718071
BE,2018,0.1768421385789413
BE,2019,0.2133768373216857
BE,2021,0.1422715804996785
BG,2005,0.0162756653274947
BG,2006,0.023333096766215
BG,2007,0.0756878011880818
BG,2008,0.0801915910628119
BG,2009,0.0339884793256364
BG,2010,0.0830793771281758
BG,2012,0.0242245635685309
BG,2013,0.0652769684085545
BG,2014,0.1372406127066517
BG,2015,0.0252756248153981
BG,2016,0.0480561865571185
BG,2017,0.0037260898710107
BG,2018,0.0466167251683442
BG,2019,0.0948724993478033
BG,2020,0.0085847617176749
CH,2005,0.4726454905629548
CH,2006,0.1897351711981685
CH,2007,0.477332046138285
CH,2008,0.1421536072896873
CH,2009,0.1828229264361184
CH,2011,0.3732041402938156
CH,2012,0.1158814882956536
CH,2013,0.2083278152695913
CH,2014,0.3767050035116882
CH,2016,0.3219735657092468
CH,2017,0.0555148036617828
CH,2018,0.4146032452539668
CH,2019,0.1540788729939025
CH,2020,0.0408215118228206
CH,2021,0.1803897912686895
CZ,2005,0.1404837388014851
CZ,2006,0.0928044725314257
CZ,2007,0.1171331129164641
CZ,2008,0.0242309903240617
CZ,2009,0.0306460510707775
CZ,2010,0.0708888383340641
CZ,2011,0.3990531332636224
CZ,2012,0.0898234148905213
CZ,2013,0.1128683028485749
CZ,2014,0.2317133786559822
CZ,2015,0.2071922103205678
CZ,2016,0.0517425424278492
CZ,2017,0.0590700188514228
CZ,2018,0.1769838584800673
CZ,2019,0.1718049092736972
CZ,2021,0.0452923881136256
DE,2005,0.2900553200945951
DE,2006,0.1601863944685679
DE,2007,1.9676438933032772
DE,2008,0.1601863944685679
DE,2009,0.949642064219116
DE,2011,1.059007128003353
DE,2013,0.2383383370541326
DE,2014,0.5429034431713644
DE,2015,0.0020398426059865
DE,2016,0.276527463052512
DE,2017,0.4008435198427211
DE,2018,0.6603986349444182
DE,2019,0.5898693326037999
DE,2020,0.1386633146369392
DE,2021,0.782291473923586
DK,2005,0.0640625431309631
DK,2006,0.100678667077955
DK,2007,0.0835653723596384
DK,2008,0.0716623281061475
DK,2009,0.048899760531008
DK,2011,0.2632354534111569
DK,2012,0.0240846348669717
DK,2013,0.1004307850042899
DK,2014,0.181743750255665
DK,2016,0.1105870278210604
DK,2017,0.0475590853724784
DK,2018,0.1254862032262286
DK,2019,0.2383343761421477
DK,2020,0.1471358838198948
DK,2021,0.0340471455758745
EE,2005,0.0027022936013494
EE,2006,0.005851509713443
EE,2007,0.001061271613419
EE,2008,0.0042355288368861
EE,2009,0.0011341938263758
EE,2011,0.0079426742182499
EE,2012,0.0102806688723052
EE,2013,0.0004303699210217
EE,2014,0.0014985605636755
EE,2015,0.00130040499711
EE,2016,0.0001627411144157
EE,2017,0.0085919002309981
EE,2018,0.0015528974775105
EE,2019,0.0065417370323348
EE,2020,0.0001196865069223
EE,2021,0.0020699387653764
EL,2006,0.0845480678593699
EL,2007,0.1918843943522271
EL,2008,0.1411237776881548
EL,2009,0.2775993751632214
EL,2010,0.1044246756355296
EL,2012,0.4925699842525666
EL,2013,0.7831423923051657
EL,2014,2.631166451930196
EL,2016,0.7292527729602408
EL,2017,0.4391049586400647
ES,2005,0.235582881083108
ES,2006,0.2742660860678448
ES,2007,0.3216796629951318
ES,2008,0.4110586233251272
ES,2009,0.1235930760368719
ES,2011,0.182422683027043
ES,2012,0.0831655570553556
ES,2013,0.0961989417799659
ES,2014,0.5744255085596035
ES,2015,0.0497316100595088
ES,2016,0.4289686265039676
ES,2017,0.2261801780158762
ES,2018,0.0259167540908091
ES,2019,0.2373999908500561
ES,2020,0.170194439446408
ES,2021,0.0153667936216323
FI,2005,0.3756493751968699
FI,2006,0.3067455746453479
FI,2007,0.2049956041263415
FI,2008,0.3509416434432502
FI,2009,0.2049956041263415
FI,2010,0.1154773866472411
FI,2011,0.4769473324684507
FI,2012,0.244158174264716
FI,2013,0.1404764242118861
FI,2015,0.1762861739272086
FI,2016,0.1819418195436224
FI,2017,0.864834528853171
FI,2018,0.5661817270500724
FI,2019,0.2375723849710069
FI,2020,0.0300359559286655
FI,2021,0.1003899593988494
FR,2005,1.1072868790510324
FR,2006,2.3068570473336054
FR,2007,3.1485469733901237
FR,2008,0.7787982530327959
FR,2009,0.7874866365673521
FR,2010,1.2441635126867223
FR,2011,0.5616216244777783
FR,2012,1.5093202543271025
FR,2013,1.6241877960986852
FR,2014,0.5925288809691912
FR,2015,0.3780066131290203
FR,2016,1.594661719365749
FR,2018,0.8083649458227639
FR,2019,0.9803361048601984
FR,2021,0.6436745401409754
HR,2005,0.0219911506790939
HR,2006,0.0685139191744176
HR,2007,0.0483750992154597
HR,2008,0.0326860055507994
HR,2009,0.0082844767850248
HR,2011,0.067905542933546
HR,2012,0.0327416665899834
HR,2013,0.0347154477698184
HR,2014,0.0324657104431985
HR,2015,0.0079310410584754
HR,2016,0.0425977600541799
HR,2017,0.0460314279475452
HR,2018,0.0550415740803822
HR,2019,0.0612474785390992
HR,2021,0.0383246756399373
