year,opex_specific_variable
2022,1.0
2023,0.9999947485846968
2024,0.9999894971693936
2025,0.9999842457540902
2026,0.999975764706132
2027,0.9999672836581736
2028,0.9999588026102154
2029,0.999950321562257
2030,0.9999418405142988
2031,0.999927650105698
2032,0.9999134596970972
2033,0.9998992692884964
2034,0.9998850788798956
2035,0.9998708884712948
2036,0.9998463684497668
2037,0.9998218484282392
2038,0.9997973284067118
2039,0.999772808385184
2040,0.9997482883636564
2041,0.9997048583415992
2042,0.999661428319542
2043,0.9996179982974848
2044,0.9995745682754278
2045,0.9995311382533704
2046,0.999453385206988
2047,0.9993756321606048
2048,0.9992978791142224
2049,0.9992201260678396
2050,0.9991423730214568
