node,year_construction,capacity_existing
AT,1994,0.0119612515613608
AT,1995,0.0092338558098242
AT,1996,0.0012711940196869
AT,1997,0.0201049447320171
AT,1998,0.0012711940196869
AT,1999,0.0069761237547676
AT,2000,0.0121613888760203
AT,2001,0.0012711940196869
AT,2002,0.0072222320448777
AT,2003,0.0017734885206315
AT,2004,0.0637713892007881
AT,2005,0.0012711940196869
AT,2006,0.0114747716842474
AT,2007,0.025853799974025
AT,2008,0.0054288998399681
AT,2009,0.0268099858039358
AT,2010,0.0063443369760127
AT,2011,0.0409581502759227
AT,2012,0.0012711940196869
AT,2013,0.0632153469052609
AT,2014,0.0475184697967095
AT,2015,0.022200244764244
AT,2016,0.0095200400941636
AT,2017,0.0084484399609779
AT,2018,0.0012711940196869
AT,2019,0.0123547040604863
AT,2020,0.0012711940196869
AT,2021,0.0100606960212783
BE,2009,0.0050872073066977
BE,2011,0.0005458282953108
BE,2012,0.0010760860503207
BE,2013,0.0029371102052922
BE,2014,0.0103462481514195
BE,2015,0.0002338502881545
BE,2017,0.0019044312985901
BE,2018,0.0003942774832049
BE,2019,0.008423649549163
BE,2020,0.0003616529837827
BG,2017,0.0001889653327263
BG,2018,0.0029155569185984
BG,2019,0.0110458828111553
BG,2020,0.0013027740666458
CH,1994,0.0162064606378698
CH,1995,0.0125110754464106
CH,1996,0.0017223578768046
CH,1997,0.0272404600600938
CH,1998,0.0017223578768046
CH,1999,0.0094520439150172
CH,2000,0.0164776293776593
CH,2001,0.0017223578768046
CH,2002,0.0097854993478255
CH,2003,0.0024029234527744
CH,2004,0.0864047130522242
CH,2005,0.0017223578768046
CH,2006,0.0155473225084602
CH,2007,0.0350296613585082
CH,2008,0.0073556894202943
CH,2009,0.0363252104016365
CH,2010,0.0085960275099703
CH,2011,0.0554947487594835
CH,2012,0.0017223578768046
CH,2013,0.0856513238663832
CH,2014,0.0643834139246683
CH,2015,0.0300794102587927
CH,2016,0.0128988303828845
CH,2017,0.0114469049477476
CH,2018,0.0017223578768046
CH,2019,0.0167395547214812
CH,2020,0.0017223578768046
CH,2021,0.0136313723711927
CZ,1999,0.0052102307657823
CZ,2000,0.0054729811776431
CZ,2002,0.0096286992159831
CZ,2004,0.0025754712321413
CZ,2005,0.0019661132980903
CZ,2007,0.0104009715943425
CZ,2009,0.0001213214436158
CZ,2011,0.0191432092819383
CZ,2012,0.0021839897338569
CZ,2014,0.0105759214779846
CZ,2017,0.0069234885480418
CZ,2018,0.0003086500346362
CZ,2020,0.006249566068803
DE,2003,0.0859439588599388
DE,2004,0.0630041832894762
DE,2005,0.1721103101152549
DE,2006,0.0491253499339545
DE,2007,0.2141416807211718
DE,2008,0.0415754147947977
DE,2009,0.3610762897894293
DE,2010,0.2659750765338224
DE,2011,0.1110965504720116
DE,2014,0.1957777556217212
DE,2015,0.1318649894910342
DE,2017,0.170508086343389
DE,2019,0.2968974937016342
DK,1994,0.0065554400991295
DK,1995,0.0629354965028567
DK,1996,0.0065554400991295
DK,1997,0.0997613497999768
DK,1998,0.0305573864679378
DK,1999,0.060286098837007
DK,2000,0.0921432344135247
DK,2001,0.0222879764180845
DK,2002,0.0605708395906486
DK,2003,0.0554500189053383
DK,2004,0.0475051904713991
DK,2005,0.0133604554063704
DK,2006,0.0159816484626668
DK,2007,0.1089701432313975
DK,2008,0.0437827696974865
DK,2009,0.0065554400991295
DK,2010,0.0065554400991295
DK,2011,0.1577268331892793
DK,2012,0.0065554400991295
DK,2013,0.0065554400991295
DK,2014,0.2386450002003907
DK,2015,0.0323710117866177
DK,2016,0.0065554400991295
DK,2017,0.0663843724816515
DK,2018,0.0546836969980837
DK,2019,0.122120288744983
DK,2020,0.110370079868478
EE,2013,0.0032052430679886
EE,2014,0.0223444882755312
EE,2017,0.0086990331859884
EE,2018,0.0149572608107393
EE,2020,0.005596434108186
FI,1996,0.0016435707533509
FI,1998,0.0014657055308391
FI,1999,0.000875063947396
FI,2001,0.0016590581380922
FI,2003,0.0086484176651049
FI,2004,0.0057558474803678
FI,2005,0.0044610390656796
FI,2007,0.0110001108267843
FI,2008,0.0245747020202349
FI,2009,0.0326683165363522
FI,2011,0.0275323098328947
FI,2012,0.0305124377845826
FI,2013,0.0029058529307357
FI,2014,0.0448276329019863
FI,2015,0.0340872228477838
FI,2016,0.014355860231983
FI,2017,0.0068670746137424
FI,2019,0.017918149956032
FI,2020,0.0273898861299455
FR,1994,0.1098628340409185
FR,1995,0.1030286931450282
FR,1996,0.0043910797515014
FR,1997,0.0043910797515014
FR,1998,0.0043910797515014
FR,1999,0.0043910797515014
FR,2000,0.0043910797515014
FR,2001,0.0043910797515014
FR,2002,0.1039942016628532
FR,2003,0.0043910797515014
FR,2004,0.0043910797515014
FR,2005,0.0043910797515014
FR,2006,0.0043910797515014
FR,2007,0.0043910797515014
FR,2008,0.0848510671380129
FR,2009,0.0087283185665368
FR,2010,0.0393369782986024
FR,2011,0.0043910797515014
FR,2012,0.0390860843484061
FR,2013,0.037548199307672
