node,year_construction,capacity_existing
AT,2004,0.0072367333535163
AT,2005,0.0072367333535163
AT,2006,0.0072367333535163
AT,2007,0.0072367333535163
AT,2008,0.0072367333535163
AT,2009,0.0072367333535163
AT,2010,0.0072367333535163
AT,2011,0.0072367333535163
AT,2012,0.0072367333535163
AT,2013,0.0072367333535163
AT,2014,0.0072367333535163
AT,2015,0.0072367333535163
AT,2016,0.0072367333535163
AT,2017,0.0072367333535163
AT,2018,0.0072367333535163
AT,2019,0.0072367333535163
AT,2020,0.0072367333535163
AT,2021,0.0072367333535163
BE,2004,0.0095112866811141
BE,2005,0.0095112866811141
BE,2006,0.0095112866811141
BE,2007,0.0095112866811141
BE,2008,0.0095112866811141
BE,2009,0.0095112866811141
BE,2010,0.0095112866811141
BE,2011,0.0095112866811141
BE,2012,0.0095112866811141
BE,2013,0.0095112866811141
BE,2014,0.0095112866811141
BE,2015,0.0095112866811141
BE,2016,0.0095112866811141
BE,2017,0.0095112866811141
BE,2018,0.0095112866811141
BE,2019,0.0095112866811141
BE,2020,0.0095112866811141
BE,2021,0.0095112866811141
BG,2004,0.0042244324086891
BG,2005,0.0042244324086891
BG,2006,0.0042244324086891
BG,2007,0.0042244324086891
BG,2008,0.0042244324086891
BG,2009,0.0042244324086891
BG,2010,0.0042244324086891
BG,2011,0.0042244324086891
BG,2012,0.0042244324086891
BG,2013,0.0042244324086891
BG,2014,0.0042244324086891
BG,2015,0.0042244324086891
BG,2016,0.0042244324086891
BG,2017,0.0042244324086891
BG,2018,0.0042244324086891
BG,2019,0.0042244324086891
BG,2020,0.0042244324086891
BG,2021,0.0042244324086891
CH,2004,0.0071789324545092
CH,2005,0.0071789324545092
CH,2006,0.0071789324545092
CH,2007,0.0071789324545092
CH,2008,0.0071789324545092
CH,2009,0.0071789324545092
CH,2010,0.0071789324545092
CH,2011,0.0071789324545092
CH,2012,0.0071789324545092
CH,2013,0.0071789324545092
CH,2014,0.0071789324545092
CH,2015,0.0071789324545092
CH,2016,0.0071789324545092
CH,2017,0.0071789324545092
CH,2018,0.0071789324545092
CH,2019,0.0071789324545092
CH,2020,0.0071789324545092
CH,2021,0.0071789324545092
CZ,2004,0.0073321701561038
CZ,2005,0.0073321701561038
CZ,2006,0.0073321701561038
CZ,2007,0.0073321701561038
CZ,2008,0.0073321701561038
CZ,2009,0.0073321701561038
CZ,2010,0.0073321701561038
CZ,2011,0.0073321701561038
CZ,2012,0.0073321701561038
CZ,2013,0.0073321701561038
CZ,2014,0.0073321701561038
CZ,2015,0.0073321701561038
CZ,2016,0.0073321701561038
CZ,2017,0.0073321701561038
CZ,2018,0.0073321701561038
CZ,2019,0.0073321701561038
CZ,2020,0.0073321701561038
CZ,2021,0.0073321701561038
DE,2004,0.0540528662061366
DE,2005,0.0540528662061366
DE,2006,0.0540528662061366
DE,2007,0.0540528662061366
DE,2008,0.0540528662061366
DE,2009,0.0540528662061366
DE,2010,0.0540528662061366
