time,AT,BE,CZ,DE,ES,FI,FR,HU,IT,NL,PL,RO,SE,UK,BG,CH,DK,EE,EL,HR,IE,LT,LU,LV,NO,PT,SI,SK
0,0.798611111111111,0.7986111111111112,0.798611111111111,0.798611111111111,0.798611111111111,0.6934523809523809,0.798611111111111,0.798611111111111,0.798611111111111,0.7986111111111112,0.798611111111111,0.6934523809523808,0.798611111111111,0.949404761904762,0.6934523809523809,0.798611111111111,0.798611111111111,0.6934523809523809,0.6934523809523809,0.7986111111111109,0.949404761904762,0.6934523809523809,0.798611111111111,0.6934523809523809,0.798611111111111,0.949404761904762,0.7986111111111112,0.7986111111111109
1,0.6934523809523809,0.6934523809523809,0.6934523809523809,0.6934523809523809,0.6934523809523808,0.4861111111111111,0.6934523809523808,0.6934523809523809,0.6934523809523809,0.6934523809523808,0.6934523809523809,0.4861111111111111,0.6934523809523809,0.7986111111111112,0.4861111111111111,0.6934523809523809,0.6934523809523809,0.4861111111111111,0.486111111111111,0.6934523809523808,0.798611111111111,0.4861111111111111,0.6934523809523809,0.4861111111111111,0.6934523809523809,0.798611111111111,0.6934523809523809,0.6934523809523809
2,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.2986111111111111,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.2986111111111111,0.4861111111111112,0.6934523809523809,0.2986111111111111,0.4861111111111111,0.4861111111111111,0.298611111111111,0.2986111111111111,0.486111111111111,0.6934523809523809,0.2986111111111111,0.4861111111111111,0.2986111111111111,0.4861111111111111,0.6934523809523809,0.4861111111111111,0.4861111111111111
3,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.1383928571428571,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.1383928571428571,0.2986111111111111,0.4861111111111111,0.1383928571428571,0.2986111111111111,0.2986111111111111,0.1383928571428571,0.1383928571428571,0.2986111111111111,0.4861111111111111,0.1383928571428571,0.2986111111111111,0.1383928571428571,0.2986111111111111,0.4861111111111111,0.2986111111111111,0.2986111111111111
4,0.1383928571428571,0.1383928571428571,0.1383928571428571,0.1383928571428571,0.1383928571428571,0.050595238095238,0.1383928571428571,0.1383928571428571,0.1383928571428571,0.1383928571428571,0.1383928571428571,0.0505952380952381,0.1383928571428571,0.2986111111111111,0.050595238095238,0.1383928571428571,0.1383928571428571,0.050595238095238,0.050595238095238,0.1383928571428571,0.2986111111111111,0.0505952380952381,0.1383928571428571,0.050595238095238,0.1383928571428571,0.2986111111111111,0.1383928571428571,0.1383928571428571
5,0.050595238095238,0.0505952380952381,0.0505952380952381,0.050595238095238,0.050595238095238,0.0302579365079365,0.050595238095238,0.050595238095238,0.050595238095238,0.0505952380952381,0.050595238095238,0.0302579365079365,0.0505952380952381,0.1383928571428571,0.0302579365079365,0.0505952380952381,0.050595238095238,0.0302579365079365,0.0302579365079365,0.050595238095238,0.1383928571428571,0.0302579365079365,0.0505952380952381,0.0302579365079365,0.050595238095238,0.1383928571428571,0.0505952380952381,0.050595238095238
6,0.0302579365079365,0.0302579365079365,0.0302579365079365,0.0302579365079365,0.0302579365079365,0.0327380952380952,0.0302579365079365,0.0302579365079365,0.0302579365079365,0.0302579365079365,0.0302579365079365,0.0327380952380952,0.0302579365079365,0.0505952380952381,0.0327380952380952,0.0302579365079365,0.0302579365079365,0.0327380952380952,0.0327380952380952,0.0302579365079365,0.0505952380952381,0.0327380952380952,0.0302579365079365,0.0327380952380952,0.0302579365079365,0.050595238095238,0.0302579365079365,0.0302579365079365
7,0.0327380952380952,0.0327380952380952,0.0327380952380952,0.0327380952380952,0.0327380952380952,0.0570436507936507,0.0327380952380952,0.0327380952380952,0.0327380952380952,0.0327380952380952,0.0327380952380952,0.0570436507936507,0.0327380952380952,0.0302579365079365,0.0570436507936507,0.0327380952380952,0.0327380952380952,0.0570436507936507,0.0570436507936507,0.0327380952380952,0.0302579365079365,0.0570436507936508,0.0327380952380952,0.0570436507936507,0.0327380952380952,0.0302579365079365,0.0327380952380952,0.0327380952380952
8,0.0570436507936507,0.0570436507936507,0.0570436507936508,0.0570436507936508,0.0570436507936507,0.0669642857142857,0.0570436507936507,0.0570436507936507,0.0570436507936507,0.0570436507936508,0.0570436507936507,0.0669642857142857,0.0570436507936507,0.0327380952380952,0.0669642857142857,0.0570436507936507,0.0570436507936507,0.0669642857142857,0.0669642857142857,0.0570436507936507,0.0327380952380952,0.0669642857142857,0.0570436507936507,0.0669642857142857,0.0570436507936508,0.0327380952380952,0.0570436507936508,0.0570436507936507
9,0.0669642857142857,0.0669642857142857,0.0669642857142857,0.0669642857142857,0.0669642857142857,0.0957341269841269,0.0669642857142857,0.0669642857142857,0.0669642857142857,0.0669642857142857,0.0669642857142857,0.0957341269841269,0.0669642857142857,0.0570436507936508,0.0957341269841269,0.0669642857142857,0.0669642857142857,0.0957341269841269,0.0957341269841269,0.0669642857142857,0.0570436507936507,0.0957341269841269,0.0669642857142857,0.0957341269841269,0.0669642857142857,0.0570436507936507,0.0669642857142857,0.0669642857142857
