node,year_construction,capacity_existing
AT,2003,9.221881704246702
AT,2004,9.221881704246702
AT,2005,9.221881704246702
AT,2006,9.221881704246702
AT,2007,9.221881704246702
AT,2008,9.221881704246702
AT,2009,9.221881704246702
AT,2010,9.221881704246702
AT,2011,9.221881704246702
AT,2012,9.221881704246702
AT,2013,9.221881704246702
AT,2014,9.221881704246702
AT,2015,9.221881704246702
AT,2016,9.221881704246702
AT,2017,9.221881704246702
AT,2018,9.221881704246702
AT,2019,9.221881704246702
AT,2020,9.221881704246702
AT,2021,9.221881704246702
AT,2022,9.221881704246702
BE,2003,14.438651832113214
BE,2004,14.438651832113214
BE,2005,14.438651832113214
BE,2006,14.438651832113214
BE,2007,14.438651832113214
BE,2008,14.438651832113214
BE,2009,14.438651832113214
BE,2010,14.438651832113214
BE,2011,14.438651832113214
BE,2012,14.438651832113214
BE,2013,14.438651832113214
BE,2014,14.438651832113214
BE,2015,14.438651832113214
BE,2016,14.438651832113214
BE,2017,14.438651832113214
BE,2018,14.438651832113214
BE,2019,14.438651832113214
BE,2020,14.438651832113214
BE,2021,14.438651832113214
BE,2022,14.438651832113214
BG,2003,5.95765713260926
BG,2004,5.95765713260926
BG,2005,5.95765713260926
BG,2006,5.95765713260926
BG,2007,5.95765713260926
BG,2008,5.95765713260926
BG,2009,5.95765713260926
BG,2010,5.95765713260926
BG,2011,5.95765713260926
BG,2012,5.95765713260926
BG,2013,5.95765713260926
BG,2014,5.95765713260926
BG,2015,5.95765713260926
BG,2016,5.95765713260926
BG,2017,5.95765713260926
BG,2018,5.95765713260926
BG,2019,5.95765713260926
BG,2020,5.95765713260926
BG,2021,5.95765713260926
BG,2022,5.95765713260926
CH,2003,9.221881704246702
CH,2004,9.221881704246702
CH,2005,9.221881704246702
CH,2006,9.221881704246702
CH,2007,9.221881704246702
CH,2008,9.221881704246702
CH,2009,9.221881704246702
CH,2010,9.221881704246702
CH,2011,9.221881704246702
CH,2012,9.221881704246702
CH,2013,9.221881704246702
CH,2014,9.221881704246702
CH,2015,9.221881704246702
CH,2016,9.221881704246702
CH,2017,9.221881704246702
CH,2018,9.221881704246702
CH,2019,9.221881704246702
CH,2020,9.221881704246702
CH,2021,9.221881704246702
CH,2022,9.221881704246702
CZ,2003,9.220226285797338
CZ,2004,9.220226285797338
CZ,2005,9.220226285797338
CZ,2006,9.220226285797338
CZ,2007,9.220226285797338
CZ,2008,9.220226285797338
CZ,2009,9.220226285797338
CZ,2010,9.220226285797338
CZ,2011,9.220226285797338
CZ,2012,9.220226285797338
CZ,2013,9.220226285797338
