node,capacity_limit
AT,0.09242482308767196
BE,0.14480770185699948
BG,0.06626155656891017
CH,0.06850620139500417
CZ,0.10323469652924164
DE,0.7377056395386854
DK,0.045356726380962525
EE,0.0038322304038326724
EL,0.01552968654302494
ES,0.43315941027551585
FI,0.08353281186059763
FR,0.36474661336359704
HR,0.02023685399140882
HU,0.04081725353388129
IE,0.03185630909180703
IT,0.5458504880825351
LT,0.00919019375365305
LU,0.003345220221113543
LV,0.013467934365417935
NL,0.10500991034115689
NO,0.02302042837188381
PL,0.3020565976295183
PT,0.1447323910588629
RO,0.05570380356921959
SE,0.09659876055903469
SI,0.02148115762036321
SK,0.024989662303295145
UK,0.5323800052915829
