node,year_construction,capacity_existing
AT,2004,0.3188340159393572
AT,2005,0.4343827269218474
AT,2006,0.690637628057804
AT,2007,1.06903749411436
AT,2008,0.3188340159393572
AT,2009,0.7941005309774092
AT,2010,0.8693643001053318
AT,2011,0.1401011306411086
AT,2012,0.3420308544371987
AT,2013,0.1280753396830999
AT,2015,0.0486951484699774
AT,2017,0.1330638144517444
AT,2020,0.06624529332589
BE,2006,0.0790648231896232
BE,2007,0.539980101960818
BE,2008,0.0203942129347709
BE,2009,0.1392869976977158
BE,2010,0.4614813357416982
BE,2012,0.2679398273977105
BE,2013,0.1108489799930081
BE,2015,0.0707686129935596
BE,2016,0.1750769360198987
BG,2004,0.2939189191379954
BG,2006,0.0219467548967627
BG,2007,0.0714327838523486
BG,2008,0.1968156758242081
BG,2009,0.0805274946613935
BG,2010,0.081466432311707
BG,2012,0.2477931291829082
BG,2013,0.0754682867493715
BG,2015,0.0993614499149756
BG,2016,0.0573025779546667
BG,2017,0.2363928244395524
BG,2018,0.7257820822571345
BG,2019,0.2012651279682178
BG,2020,1.0471522992317823
CH,2004,0.4319924970081717
CH,2005,0.5885509998276942
CH,2006,0.9357542124026016
CH,2007,1.44845328098762
CH,2008,0.4319924970081717
CH,2009,1.0759374913048607
CH,2010,1.177913384510691
CH,2011,0.1898249064831035
CH,2012,0.463422205522347
CH,2013,0.17353100054856
CH,2015,0.0659777116872327
CH,2017,0.1802899521153169
CH,2020,0.0897566390291733
CZ,2004,0.2872939964656071
CZ,2005,0.3836965232983825
CZ,2006,0.2427292425161404
CZ,2007,0.5384272477170728
CZ,2008,0.1196494905870587
CZ,2009,0.4816142988905315
CZ,2010,0.0639541196593613
CZ,2011,0.6736041396537521
CZ,2012,0.8883743239244303
CZ,2013,0.2678064258439839
CZ,2014,0.6993084393732123
CZ,2016,0.1374727857852336
CZ,2017,0.2123756550168518
CZ,2018,0.5314605766197483
CZ,2019,0.4817037645265795
CZ,2020,0.4314377029272281
CZ,2021,0.0007568402705254
DE,2004,0.8632648447588128
DE,2005,0.2422432639838833
DE,2006,2.2332723860247032
DE,2007,4.999409098966521
DE,2008,1.4211033286288082
DE,2010,2.972199812818972
DE,2011,0.7691440378912405
DE,2012,3.062349120907035
DE,2017,4.634422402378658
DE,2018,2.8335459540240135
DE,2019,0.6817857269176132
DE,2020,1.1328941800721908
DK,2004,0.174787326897052
DK,2005,0.3893487345461053
DK,2006,0.3448297370468925
DK,2007,0.6141771462570813
DK,2008,0.0212826660618885
DK,2009,0.0212826660618885
DK,2010,0.0212826660618885
DK,2011,0.0642617851583338
DK,2012,0.099144172687125
DK,2013,0.1230511049233801
DK,2014,0.2597520624789176
DK,2015,0.2849578778033164
DK,2016,0.1245321168428102
DK,2017,0.1503191917784314
DK,2019,0.0598267605498525
DK,2020,0.3256913940890684
DK,2021,0.1261754785891964
EE,2006,0.0339734579513564
EE,2007,0.2159935228762288
EE,2008,0.0377487770186717
EE,2009,0.0596628432394974
EE,2013,0.0785419328551584
EE,2014,0.1966561744681684
EE,2015,0.3586858381865955
EE,2016,0.0720751595680294
EE,2017,0.1069992279499907
EE,2019,0.007404222202862
EE,2020,0.1025883105899105
EL,2010,0.2974170255114257
EL,2011,0.4167463546560435
EL,2012,1.3215849769880408
EL,2013,1.016316468657105
EL,2018,0.2686113382767039
ES,2004,0.1644136168695555
ES,2005,0.1644136168695555
ES,2006,0.1644136168695555
ES,2007,0.4713326293424105
ES,2008,0.4094279864891636
ES,2009,1.1088112679640287
ES,2010,0.1644136168695555
ES,2011,0.4945653570887276
ES,2012,0.1608895063934577
ES,2013,0.4288459500358471
ES,2014,0.3178641828742856
ES,2019,0.2135922613930962
ES,2020,0.032871264619048
FI,2004,0.3600970531833602
FI,2005,0.2509425064501576
FI,2006,0.2595896695543215
FI,2007,0.1734845331639105
FI,2008,0.5121174238250609
FI,2009,0.2130815786084928
FI,2010,0.3352453258665799
FI,2012,0.166224765198621
FI,2013,0.1621770897506015
FI,2014,0.0103629981584857
FI,2015,0.0167254160700078
FI,2016,0.103734993599989
FI,2017,0.1042740317531334
FI,2019,0.1052911944876205
FI,2020,0.0949561657166424
FI,2021,0.0978058222794332
FR,2004,0.9560106718683054
FR,2005,1.201092236207185
FR,2006,0.9560106718683054
FR,2007,2.23951699657591
FR,2008,1.0052844285827889
FR,2009,1.246315218856293
FR,2010,3.244039846794641
FR,2011,2.097926588696436
FR,2012,1.4501922618911824
FR,2013,1.4133574759175913
FR,2015,0.4599118954111756
FR,2016,1.061048582353675
FR,2018,0.2179507294853391
FR,2019,0.5088480126413144
HR,2004,0.1101622681835915
HR,2005,0.1914098350210951
HR,2006,0.1101622681835915
HR,2007,0.1953620701921288
HR,2008,0.1101622681835915
HR,2009,0.1962197283226872
HR,2010,0.2372558889488354
HR,2011,1.6250826695119205
HR,2012,0.2280784763292806
HR,2013,0.1194378028170979
HR,2015,0.1895568912589876
HR,2016,0.0701399950857387
HR,2020,0.0325711461948305
HR,2021,0.0670527222287351
HU,2006,0.0775693045342604
HU,2007,0.614236830296921
HU,2009,1.273915085210704
HU,2010,0.3047256028229466
HU,2011,0.7847318858040602
HU,2012,1.0367349611475216
HU,2013,0.2086336333206437
IE,2009,0.0226122445652247
IE,2011,0.0109039238020278
IE,2012,0.0257554470112785
IE,2013,0.0211899032767656
IE,2014,0.0187337003816978
IE,2016,0.0200229099052101
IT,2005,1.2726277909984356
IT,2006,2.893387133291764
IT,2007,6.424773984399822
IT,2008,2.485257229205178
IT,2012,6.003090053258596
IT,2013,0.0392692273292247
IT,2015,0.6531759100906598
IT,2017,0.5144082683727298
IT,2019,0.6627849432585151
IT,2020,0.0104783561540386
LT,2005,0.006239808381496
LT,2008,0.0888586245896043
LT,2009,0.0204075386548796
LT,2011,0.0587021363947639
LT,2012,0.0079185836373094
LT,2013,0.371063013350848
LT,2014,0.0133372733681838
LT,2015,0.142428285913457
LT,2016,0.1884928186593379
LT,2017,0.0876108178100292
LT,2018,0.2104972453260805
LT,2019,0.2261031742265533
LT,2020,0.2655713696207702
LU,2009,0.005089076113488
LU,2012,0.0084429243874997
LU,2013,0.0021593923883868
LU,2014,0.0145853263121543
LU,2016,0.0094094168948203
LU,2018,0.0079259128877611
LV,2004,0.0526594697886149
LV,2007,0.0113737219446839
LV,2009,0.1528190674334802
LV,2011,0.1330619808395276
LV,2012,0.1797154859937236
LV,2013,0.1534299291170407
LV,2014,0.1031128098204814
LV,2015,0.2310971842764007
LV,2016,0.0357914014723117
LV,2017,0.1354358225584273
LV,2018,0.110947684815674
LV,2019,0.1308389163421689
LV,2020,0.0497589311818661
NL,2004,0.0567978927956112
NL,2005,0.1023771295947081
NL,2006,0.1092590670220331
NL,2007,0.1403716259039994
NL,2008,0.0139038435113112
NL,2009,0.0630866140517985
NL,2010,0.0139038435113112
NL,2011,0.2854803188451993
NL,2012,0.0456526513728996
NL,2014,0.416875219299981
NL,2017,0.2885459859425123
NL,2018,0.0560649670250559
NL,2019,0.1784471085383289
NL,2020,0.1714849461722212
NO,2005,0.1335702735232544
NO,2008,0.0944053512610607
NO,2010,0.1804764882596396
NO,2013,0.1622321817368893
NO,2014,0.1734671997866825
NO,2015,0.0429603422722951
NO,2017,0.2452177952271151
NO,2018,0.0637602937021505
NO,2019,0.0715542744591265
NO,2020,0.174652713185056
PL,2007,0.4462045812759411
PL,2009,0.0211393617642805
PL,2010,0.0040234171122381
PL,2011,1.163388002521039
PL,2013,3.965613081329991
PL,2014,0.2289951481408501
PL,2015,0.2853852394941541
PL,2017,0.1789795819711282
PL,2018,8.206611794004054
PL,2020,0.9605268697120783
PT,2004,0.0234820662196629
PT,2005,0.0234820662196629
PT,2006,0.156232908009698
PT,2007,0.0429511964512895
PT,2008,0.1237563262745497
PT,2009,0.0234820662196629
PT,2010,0.0234820662196629
PT,2011,0.0979363738270324
PT,2012,0.1004187973519522
PT,2013,0.0277497271681399
PT,2016,0.0126272107587191
PT,2017,0.0326014729882983
PT,2018,0.0071554634462413
PT,2020,0.0099252155197642
RO,2004,0.4284730275612369
RO,2005,0.0917789921588212
RO,2007,0.525384412981677
RO,2008,1.0417640906660448
RO,2009,0.0174854596881623
RO,2010,0.146558661314034
RO,2012,0.0910002760290812
RO,2014,0.2331270591831153
RO,2016,0.7648616268207947
RO,2017,0.6458237678096358
RO,2019,0.3033025737673341
SE,2004,0.1543144593223815
SE,2007,0.0585242816566098
SE,2008,0.1983972098291082
SE,2011,0.9569553699012612
SE,2014,0.0096466448092414
SE,2017,0.1259596184255245
SE,2019,0.0070692745202295
SE,2020,0.4888017703951577
SI,2005,0.2906486006024897
SI,2007,0.3585614261453434
SI,2011,0.1111569369971122
SI,2012,0.0721530313130452
SI,2013,0.073413057425346
SI,2015,0.0250149709516786
SI,2020,0.4293639960800356
SI,2021,0.0448453023183096
SK,2007,0.0053171414749701
SK,2009,0.0185473869486258
SK,2011,0.0705987768704178
SK,2014,0.0200664064474663
SK,2015,0.0720513227869581
SK,2018,0.0663523278915036
SK,2019,1.1175067708708244
SK,2020,0.0211813717350217
UK,2005,0.1695295921017703
UK,2006,0.1148153593780753
UK,2007,0.1337241287927965
UK,2008,1.3493542754193018
UK,2009,0.3229610493376347
UK,2010,0.4869316762861041
UK,2011,0.2548066054462716
UK,2012,0.4406707751719292
UK,2013,1.2686258497311698
UK,2014,1.0343212386229792
UK,2016,0.067240120737822
UK,2017,0.4010990703925698
UK,2018,0.2989662132734574
UK,2019,0.1936681017531412
