node,capacity_limit
AT,0.1502686732433283
BE,0.2680699134251514
BG,0.12713484253897203
CH,0.13439329083317939
CZ,0.19320849648465938
DE,1.3230449322377953
DK,0.08416925393248657
EE,0.005925230056395154
EL,0.027067299101177784
ES,0.8074205769963919
FI,0.08336720938090188
FR,0.6598276670490935
HR,0.0368702228988966
HU,0.07214382844565505
IE,0.05776787316095254
IT,1.0293555083771582
LT,0.015504150548674107
LU,0.006179862151262861
LV,0.025802095859412115
NL,0.1840474098040401
NO,0.044772288148164384
PL,0.5502668770745532
PT,0.2628034271892368
RO,0.10096429029296872
SE,0.09416535802998853
SI,0.03936407754493
SK,0.040312534654772816
UK,1.0470563746990265
