node,year_construction,capacity_existing
DE,2019,0.0054413968219178
DE,2020,0.0010575208858447
DE,2021,0.003929633456621
AT,2019,0.000604467522831
AT,2020,0.0003781390273972
AT,2021,0.0008692441164383
CH,2019,0.000604467522831
CH,2020,0.0003781390273972
CH,2021,0.0008692441164383
SE,2019,0.000730381741248
SE,2020,0.0007052781719939
SE,2021,0.0009573708569254
DK,2019,0.000730381741248
DK,2020,0.0007052781719939
DK,2021,0.0009573708569254
FI,2019,0.000730381741248
FI,2020,0.0007052781719939
FI,2021,0.0009573708569254
ES,2019,0.0007914230517503
ES,2020,0.0003850094779299
ES,2021,0.0009150911613394
FR,2019,0.0007914230517503
FR,2020,0.0003850094779299
FR,2021,0.0009150911613394
UK,2019,0.0007914230517503
UK,2020,0.0003850094779299
UK,2021,0.0009150911613394
