node,year_construction,capacity_existing
AT,2018,0.001390555461759
AT,2019,0.0235943525931852
AT,2020,0.002688686815082
CH,2018,0.0018840823002646
CH,2019,0.0319683057091373
CH,2020,0.0036429379327617
CZ,2007,0.0013308858340266
CZ,2008,0.000328495188053
CZ,2009,0.0002913209929757
CZ,2012,0.0001942920757629
CZ,2014,0.0007702390055093
CZ,2017,0.0015297563058939
CZ,2018,0.0004517048083254
CZ,2019,0.0006571422915029
DK,2011,0.0006953418418106
DK,2012,0.0014637509491987
DK,2013,0.0047364368880821
DK,2014,0.0001406563566458
DK,2015,0.0046302046014878
DK,2016,0.0012704872772952
DK,2017,0.0049494986479535
DK,2018,0.0255448513697419
DK,2019,0.0261131401864686
DK,2020,0.099974017616957
FI,2007,0.0051392564199542
FI,2008,0.022834677073248
FI,2010,0.0200472826178474
FI,2011,0.0049412229739002
FI,2012,0.0196325007791882
FI,2013,0.0028322650685109
FI,2014,0.0240670696967642
FI,2015,0.0790105273497124
FI,2017,0.016806076140439
FI,2019,0.0018371072964667
FI,2020,0.0177231756341002
FR,2014,0.0101304273795662
FR,2015,0.0129280765857418
FR,2017,0.0009324656852906
FR,2018,0.0264442918020703
FR,2019,0.0158421087579945
FR,2020,0.0060164813418735
NO,1999,0.0039153051918799
NO,2000,0.00266571543871
NO,2001,0.0051403028622548
NO,2002,0.0019526246957737
NO,2003,0.0057371686832642
NO,2004,0.0011782444010162
NO,2005,0.0051938951392409
NO,2006,0.0363159096717343
NO,2008,0.0334960594027967
NO,2009,0.0020098274702738
NO,2010,0.0063371211634553
NO,2012,0.0200979445448506
NO,2013,0.0299397955483267
NO,2014,0.0020367947360608
NO,2015,0.0173296493493145
NO,2016,0.0034685146483921
NO,2017,0.0122251579318066
NO,2018,0.0104723291770077
NO,2019,0.0186543606021068
SE,2011,0.6790763668017985
SE,2012,0.0994518407205673
SE,2014,0.1686996179027065
SE,2017,0.0019915092991693
SE,2018,0.0112940688812464
SE,2019,0.0237134672723896
SE,2020,0.1447404769889592
