year,capex_specific_conversion
2022,1963.5555543114913
2023,1962.9862480653144
2024,1962.4169418191375
2025,1961.847635572961
2026,1960.5024877983312
2027,1959.1573400237016
2028,1957.812192249072
2029,1956.4670444744424
2030,1955.1218966998124
2031,1952.22721666376
2032,1949.3325366277077
2033,1946.4378565916552
2034,1943.543176555603
2035,1940.6484965195507
2036,1935.597369188621
2037,1930.546241857692
2038,1925.4951145267623
2039,1920.4439871958332
2040,1915.392859864904
2041,1909.3756673133096
2042,1903.3584747617156
2043,1897.341282210121
2044,1891.324089658527
2045,1885.306897106933
2046,1881.0029986356649
2047,1876.699100164396
2048,1872.395201693128
2049,1868.091303221859
2050,1863.787404750591
