node,capacity_limit
AT,1056.8977687136862
BE,1819.6822438950194
BG,545.1409773062566
CH,669.9611854398653
CZ,1367.6102139788527
DE,9578.384923766069
DK,1438.0950676971017
EE,161.875207294887
EL,488.6318049364982
ES,4471.600512756482
FI,468.43479455285456
FR,7048.373905059561
HR,262.97661858128595
HU,934.8577034108379
IE,1424.9549578447857
IT,3161.4086540926414
LT,524.8433930198315
LU,61.4171356425343
LV,231.53645811232008
NL,3270.2024648000315
NO,324.49613996307215
PL,5217.003241972168
PT,663.0058327999035
RO,1514.17109578351
SE,744.2380472063724
SI,162.39786785705562
SK,314.26345486336214
UK,4528.53832865315
