node,capacity_limit
AT,1831.2251896994344
BE,937.9564698242621
BG,180.4565258928772
CH,349.25
CZ,513.5273760377974
DE,7234.541504117601
DK,121.02768156400273
EE,106.54832081263912
EL,140.23169496402153
ES,2326.6298872076522
FI,5531.405988050582
FR,2517.7806193866036
HR,146.93850383871143
HU,338.06095194328543
IE,31.16332039774191
IT,3232.7488527442056
LT,48.14617978282228
LU,15.851645035055123
LV,17.37591394810405
NL,921.9962295309682
NO,207.75
PL,1955.7470818032784
PT,1410.7225148440102
RO,289.35200842210685
SE,5633.054295525836
SI,229.40747477132334
SK,540.5904192767672
UK,2860.75
