iteration,point,cut_direction,cut_support_value,trial_direction_gap,wall_time_seconds,ci_lower,ci_upper,mean_gap,max_gap
0,"[8.32521873e+04 3.66624053e+03 3.78435887e+03 1.74122917e+05
 5.27951454e+04 3.32479549e+03 6.65032145e+04 1.58196941e+04
 9.48698292e+02 2.67174779e+04 4.93099809e+03 1.14544663e+03
 1.00000000e+00]","[0.34987854 0.20284087 0.32519155 0.30001518 0.33060633 0.29923404
 0.29547407 0.3002851  0.24698439 0.25751232 0.23556107 0.28272482
 0.04034949]",134791.50287372762,432158.1605435261,56.03297175094485,2.4548656141978765e-07,0.0012550263386699402,145779.3241582533,327298.93237291445
1,"[2.67746842e+04 1.00816407e+05 2.20590574e+04 8.29879722e+04
 6.28632634e+03 5.49367036e+03 3.93685194e+04 1.19347805e+04
 2.77603623e+03 3.09323522e+04 2.64718630e+04 1.18333668e+03
 1.00000000e+00]","[ 0.00971886  0.46872749  0.3791438  -0.42184952 -0.12257809 -0.03036005
 -0.25518332  0.00384284  0.41317299 -0.08592028  0.44493309  0.01758656
  0.03230605]",20221.396870691602,194512.95304471778,28.46875040489249,2.4548656141978765e-07,0.0012550263386699402,79893.31382171852,150442.71839076266
2,"[1.85428022e+04 9.93543844e+04 2.39010739e+03 8.96135171e+04
 5.89695227e+04 1.64067881e+04 4.09245098e+04 1.31475531e+04
 1.00828450e+03 2.64448161e+04 5.21793628e+03 2.06601533e+03
 1.00000000e+00]","[-0.24450238  0.44226754 -0.08494044 -0.33526397  0.3758419   0.52746813
 -0.15549042  0.00464346 -0.06301421 -0.11609802  0.01333032  0.40329993
 -0.0323193 ]",31444.236510872455,163301.22411550352,32.546429075999185,2.4548656141978765e-07,0.0012550263386699402,75323.80476013063,145423.02561229173
3,"[2.04795188e+04 2.48403882e+03 1.25589897e+03 7.94160324e+04
 2.41595866e+04 4.93733503e+03 3.18911709e+04 1.25039181e+05
 1.37911888e+03 7.26880787e+04 1.07320661e+04 4.19270789e+03
 1.00000000e+00]","[-0.09228616  0.41375389 -0.09334426 -0.4334589   0.06253708 -0.01505074
 -0.43608406  0.46627899  0.0706031   0.37110358 -0.19471344  0.17156926
 -0.0437767 ]",36131.25420924087,161652.78010171998,33.989914734847844,2.4548656141978765e-07,0.0012550263386699402,72898.36743241594,138969.57541639503
4,"[2.28527933e+04 1.33788020e+03 1.53209171e+03 7.46749356e+04
 1.34065015e+04 5.17846611e+03 7.94468661e+04 1.85261788e+04
 9.48698288e+02 2.71741923e+04 1.15541787e+05 1.40413684e+04
 1.00000000e+00]","[ 0.06129777 -0.02336705  0.11221508 -0.57749252 -0.08155294 -0.02763699
  0.30967525  0.0373816  -0.09299945 -0.16896053  0.43785146  0.55813832
 -0.06683596]",36223.584478069715,148559.38371930606,33.99477038998157,2.4548656141978765e-07,0.0012550263386699402,70781.44277997049,136381.74422769446
5,"[1.92965980e+04 1.04414070e+03 1.96216306e+03 7.80153127e+04
 4.98647873e+04 3.06328663e+03 3.22122668e+04 1.85104834e+04
 9.48698290e+02 7.16258266e+04 1.10543628e+05 1.80304051e+03
 1.00000000e+00]","[-0.1410975   0.01654656  0.12135893 -0.39585015  0.42258814 -0.21947117
 -0.38642623  0.07378991 -0.09759552  0.39735905  0.50441895 -0.01393741
  0.06944086]",60072.3372356637,159423.4410060383,33.906070919008926,2.4548656141978765e-07,0.0012550263386699402,69209.18999389252,126596.14270946152
6,"[1.88432125e+04 9.86308324e+04 2.58011323e+03 7.64923310e+04
 8.09940644e+03 5.33918536e+03 8.28357153e+04 1.39644401e+04
 2.38496697e+04 2.53950452e+04 4.95976123e+03 1.27061217e+03
 1.00000000e+00]","[-0.19083081  0.45107314  0.05726183 -0.47173398 -0.10115641  0.16087759
  0.33254963 -0.22806572  0.55998118 -0.13926434  0.03418017 -0.00349978
  0.03785904]",39343.24759268994,146940.68202278521,29.494507148163393,2.4548656141978765e-07,0.0012550263386699402,67965.35366689437,123334.92449108316
7,"[2.47408622e+04 1.12147864e+03 2.28431014e+04 7.31906941e+04
 7.44628378e+03 6.53746214e+04 3.49643081e+04 7.14330703e+03
 1.20542465e+03 7.59714151e+04 1.22174370e+04 1.18333668e+03
 1.00000000e+00]","[-0.1475941   0.01686092  0.54309682 -0.40237358 -0.1219833   0.54806475
 -0.1881224  -0.180377    0.10780132  0.34918776  0.04436199 -0.04809251
  0.0076252 ]",33521.7857556804,154372.84056180035,32.86759287491441,2.4548656141978765e-07,0.0012550263386699402,66476.02399621176,127626.68370928594
8,"[2.19109432e+04 1.33012949e+03 2.41643067e+03 1.00145096e+05
 1.02404334e+04 1.71038578e+04 3.45226382e+04 1.37629210e+05
 9.48698287e+02 2.21846519e+04 1.99863303e+04 1.34273197e+03
 1.00000000e+00]","[ 0.00754546  0.09682482 -0.01511251 -0.11052699 -0.07844519  0.50864589
 -0.45448385  0.49007738 -0.11343826 -0.24444478  0.43642901  0.05440082
  0.02159853]",52109.478632234874,139012.93550498513,35.17819065484218,2.4548656141978765e-07,0.0012550263386699402,65407.1436368444,129151.07220561325
9,"[1.08509610e+05 8.62173649e+03 1.29411398e+03 6.98529307e+04
 6.42852078e+04 3.73920858e+03 3.64798109e+04 7.00107870e+03
 3.10202279e+04 2.52892203e+04 4.20274459e+03 1.22031321e+03
 1.00000000e+00]","[ 0.32660547  0.13975456  0.03306477 -0.40403901  0.3996613   0.03809432
 -0.27676058 -0.08896262  0.65123785 -0.16968465 -0.03025208  0.09712716
 -0.02265272]",39481.69933059943,141270.76480028735,32.773942614207044,2.4548656141978765e-07,0.0012550263386699402,64451.574237188725,125995.03246065215
10,"[1.79136344e+04 7.73900812e+04 1.19887796e+03 1.86060961e+05
 1.25490728e+04 3.74773724e+03 3.19990764e+04 6.82158303e+03
 1.45998900e+04 2.44068648e+04 4.99098812e+03 1.19140768e+03
 1.00000000e+00]","[ 0.02657786  0.56818116  0.04007067  0.37385062 -0.15484197  0.00368915
 -0.27935081 -0.08321162  0.6347789  -0.10790975  0.08138062 -0.0102422
  0.06947429]",109646.83714218889,147976.65713335288,29.605879321927205,2.4548656141978765e-07,0.0012550263386699402,62963.39365874314,123094.93570159697
11,"[9.21551603e+04 5.75881228e+03 8.43517269e+03 8.64257991e+04
 1.17968356e+04 4.22743390e+03 3.26863979e+04 1.00366943e+04
 1.27411443e+03 1.25785099e+05 1.19756641e+04 1.80304051e+03
 1.00000000e+00]","[ 0.61526053 -0.19832077 -0.06109581 -0.07696583 -0.173037   -0.11208084
 -0.24463555 -0.15968098 -0.02050812  0.61074631  0.25793627 -0.06262259
 -0.02709375]",116048.80232033954,131078.520474229,32.72086797398515,2.4548656141978765e-07,0.0012550263386699402,61317.532093083275,111315.42044539997
12,"[1.95174214e+04 1.13317546e+03 2.08235466e+03 1.10880357e+05
 8.62988543e+03 3.99269208e+03 3.67469249e+04 4.02461649e+04
 1.12902674e+04 2.29713578e+04 3.76016148e+03 8.07729748e+04
 1.00000000e+00]","[-0.0186482  -0.04777104  0.17407586  0.1022626  -0.14371096  0.08794275
 -0.3176712   0.38201172  0.51406573 -0.22326849 -0.07493067  0.60043935
 -0.03348131]",62987.936009765835,131379.44071420073,31.774650402832776,2.4548656141978765e-07,0.0012550263386699402,60671.27884781152,112134.22777282044
13,"[2.03713715e+04 1.65366028e+03 1.27773250e+03 7.78520185e+04
 1.53808921e+04 4.34911018e+03 9.19358096e+04 1.50441553e+04
 2.11521277e+03 1.59915922e+05 7.08984731e+03 2.90185944e+03
 1.00000000e+00]","[-0.00910055 -0.02005887  0.02184201 -0.39495988  0.00834882 -0.00477815
  0.62358064 -0.04868577  0.02956678  0.65659068  0.00204907  0.13783826
  0.02719724]",131241.89562590653,133617.74794698047,31.797176465857774,2.4548656141978765e-07,0.0012550263386699402,59797.71989965203,107725.34302103712
14,"[1.82798040e+04 1.55644190e+03 1.55685094e+03 8.85230208e+04
 8.48516064e+03 3.78923284e+03 3.65147506e+04 7.72601052e+03
 7.51107556e+04 7.27674920e+04 2.40952823e+04 1.08165753e+04
 1.00000000e+00]","[-0.12789428  0.05762995 -0.02489705 -0.11144477 -0.08331664 -0.0750796
 -0.17233057 -0.07537364  0.62089702  0.38336042  0.25035602  0.56839522
 -0.03308842]",66693.90837891356,126793.68181463031,31.006345433881506,2.4548656141978765e-07,0.0012550263386699402,58460.463992308694,117670.94929877031
15,"[2.20084603e+04 2.85049476e+03 2.34995899e+04 7.35131611e+04
 4.92145492e+04 5.44339205e+03 4.07046557e+04 1.10906512e+05
 9.48698290e+02 2.73983645e+04 5.31769800e+03 1.24364632e+03
 1.00000000e+00]","[-0.31293253  0.07762676  0.54640378 -0.4395267   0.34704414  0.04612059
 -0.25601252  0.41326237  0.17395127 -0.10067393 -0.01532167  0.00330292
 -0.06907694]",23935.927265915525,136378.44194523527,34.02330009196885,2.4548656141978765e-07,0.0012550263386699402,57809.65779853133,121463.91907731193
16,"[6.67253667e+04 1.00773947e+05 4.85853741e+03 8.13340079e+04
 1.12914003e+04 5.69605150e+03 7.66519027e+04 1.69818008e+04
 9.48698288e+02 2.37714789e+04 7.64474525e+03 1.32844438e+03
 1.00000000e+00]","[ 0.47544123  0.61623159  0.02325237 -0.40050337 -0.22924051  0.04743855
  0.36970383  0.05245135 -0.11361275 -0.12985679  0.08390293 -0.01005306
  0.04610349]",85706.93033674156,123975.65861905178,29.196925790049136,2.4548656141978765e-07,0.0012550263386699402,56388.62690341842,108887.75811008844
17,"[2.25000838e+04 1.13103242e+03 1.78857778e+04 1.28018801e+05
 1.25148731e+04 3.58396915e+03 2.96762372e+04 6.36963146e+03
 9.86281783e+02 2.19593136e+04 1.21878270e+05 1.18333668e+03
 1.00000000e+00]","[-0.18151959  0.10697322  0.53949464  0.2676405  -0.18607229 -0.08786162
 -0.36420087 -0.20497357 -0.18999768 -0.13748557  0.54737061  0.11599696
  0.08860693]",88835.25485036151,121925.3081932478,31.03290658793412,2.4548656141978765e-07,0.0012550263386699402,55911.681490783776,107731.35317243109
18,"[1.67276624e+04 1.41696119e+03 1.32465699e+03 1.87485292e+05
 1.59818353e+04 3.86569965e+03 2.85830229e+04 1.27906647e+04
 1.34752072e+03 1.28192635e+05 8.14147800e+03 1.80304052e+03
 1.00000000e+00]","[-0.10690683 -0.09487424 -0.06858594  0.5550397  -0.11479476 -0.21136326
 -0.25841575  0.09043599 -0.04271012  0.70894484 -0.08411695 -0.14577131
  0.03514531]",183043.25121052875,125939.51856137387,32.7075979008805,2.4548656141978765e-07,0.0012550263386699402,55261.41772540288,102316.32587972772
19,"[2.01994151e+04 1.65031044e+03 1.62021535e+03 8.00681469e+04
 1.01293565e+04 9.08846942e+04 8.49981637e+04 3.78955754e+04
 9.48698288e+02 2.50694344e+04 4.60701949e+03 1.30464215e+03
 1.00000000e+00]","[-0.11547011  0.1048525   0.01823546 -0.33828613 -0.08112441  0.68157697
  0.40098157  0.44058656  0.0694152  -0.09123385  0.03307363  0.13832138
  0.03876519]",80797.90942772887,128788.80315479863,30.580603942042217,2.4548656141978765e-07,0.0012550263386699402,54471.3450986875,101023.75498666777
20,"[1.02284996e+05 4.88479979e+03 4.57840861e+04 7.14941654e+04
 7.66308307e+03 6.06399158e+03 3.00927343e+04 4.97772392e+03
 8.61377100e+02 3.00537181e+04 6.33843894e+03 2.10352726e+04
 1.00000000e+00]","[ 0.28399657  0.00268538  0.43583611 -0.47792849 -0.079487   -0.02484348
 -0.34736946 -0.2671296  -0.11540453  0.07737424  0.03087554  0.53050203
 -0.01789287]",15885.121103309775,118861.96089894205,32.062064768979326,2.4548656141978765e-07,0.0012550263386699402,53478.84560062937,113046.22987878529
21,"[1.33635256e+05 9.87181424e+03 1.72415337e+03 7.24302692e+04
 2.68732669e+04 2.90097547e+03 3.70070353e+04 6.88933957e+04
 9.48698288e+02 2.71300732e+04 4.52519573e+03 1.33698815e+03
 1.00000000e+00]","[ 0.51946721  0.01831876  0.0228878  -0.54628558 -0.02015566 -0.1627324
 -0.12747483  0.61176636 -0.04844352 -0.03977284  0.01227914 -0.0968636
 -0.00291054]",65288.3477810576,114062.42107899839,30.891930737067014,2.4548656141978765e-07,0.0012550263386699402,53231.61619827613,101604.29749398665
22,"[2.00745517e+04 1.01899407e+03 1.43743211e+03 6.27382160e+04
 9.83340213e+04 3.20914367e+03 1.40093322e+05 1.87317254e+04
 1.79481807e+03 2.35643741e+04 4.16217826e+03 1.64563542e+03
 1.00000000e+00]","[-0.21129961  0.1013069   0.11871433 -0.49355827  0.56422808 -0.11264673
  0.51466962 -0.11618272 -0.07573935 -0.25118889 -0.09113904 -0.02260234
 -0.01792153]",83642.35724649252,131500.5108722695,36.28288092906587,2.4548656141978765e-07,0.0012550263386699402,52350.07842212286,95837.30087968693
23,"[1.47379132e+04 9.34325993e+04 1.08296283e+03 1.14311703e+05
 1.14266993e+04 1.30613715e+04 2.70427376e+04 9.79171698e+03
 1.11294341e+03 7.27120819e+04 2.66477245e+04 1.18333668e+03
 1.00000000e+00]","[-0.15838421  0.51191175 -0.03925561  0.17885435 -0.15687355  0.33469204
 -0.43826472 -0.06001457  0.19075588  0.43503393  0.31683804 -0.03569868
  0.14043528]",96282.52635627818,114042.43522112444,31.739838189911097,2.4548656141978765e-07,0.0012550263386699402,51694.09796103343,98952.2337380838
24,"[1.57710195e+04 1.11931559e+03 5.32266248e+03 1.64683702e+05
 1.17492019e+04 8.49155936e+04 2.69744186e+04 5.36059608e+03
 8.60979404e+02 2.29039421e+04 4.41425612e+03 1.23832345e+03
 1.00000000e+00]","[-0.15784836 -0.08226157  0.51630599  0.32535643 -0.15533811  0.63111975
 -0.32980359 -0.12791691  0.12557184 -0.17141382 -0.01090463  0.01645144
 -0.05265434]",92086.60310640308,110891.78257410774,32.506752393906936,2.4548656141978765e-07,0.0012550263386699402,51205.96529277934,97396.74373443324
25,"[1.07665626e+05 5.95680692e+04 1.30793962e+03 1.03523844e+05
 1.06616464e+04 2.76214989e+04 3.13047839e+04 7.76424566e+03
 9.48698288e+02 2.25338519e+04 4.56701465e+03 1.26774209e+03
 1.00000000e+00]","[ 0.42398664  0.5188982   0.08926279  0.08666355 -0.04360935  0.64969289
 -0.27579723 -0.0263288  -0.00840736 -0.17610027 -0.04036482  0.04152874
 -0.01748372]",90181.4829071798,113930.74154217608,29.92264806292951,2.4548656141978765e-07,0.0012550263386699402,50549.40778454843,97092.54637446789
