iteration,point,cut_direction,cut_support_value,trial_direction_gap,wall_time_seconds,ci_lower,ci_upper,mean_gap,max_gap
0,"[1.88446179e+04 2.46528709e+03 1.28009671e+03 2.75332877e+05
 3.10960845e+04 3.15983528e+03 5.06679949e+04 1.24910580e+04
 9.48698288e+02 1.27210156e+04 1.21069639e+04 1.12035198e+03
 1.00000000e+00]","[ 0.27225961  0.23521238  0.28363698  0.52566661  0.39946053  0.21274944
  0.33143327  0.21283949 -0.0749897  -0.22415782  0.3110072  -0.01167432
 -0.03260173]",184182.02119677406,333842.94146701996,45.21282149502076,2.4548656141978765e-07,0.0012550263386699402,145663.16349696094,336647.6234335295
1,"[8.21051526e+04 6.88229757e+03 1.05281925e+03 7.52131874e+04
 2.70487108e+04 2.64512172e+03 5.38047033e+04 1.05960049e+05
 1.21072010e+03 3.78017334e+04 1.22220897e+04 1.18333668e+03
 1.00000000e+00]","[ 0.46513159  0.18706772 -0.14379545 -0.14327232  0.12000503 -0.22206602
  0.19713572  0.49735609  0.3134428   0.33074536  0.35331085  0.05172708
 -0.14956925]",111776.58916909534,272047.61512506317,31.928693052992458,2.4548656141978765e-07,0.0012550263386699402,124894.42996873173,273595.8860624059
2,"[1.70305800e+04 1.80774156e+03 1.43666244e+03 1.35921506e+05
 1.49982299e+04 1.00458746e+04 2.40692696e+04 1.19599040e+05
 9.48698288e+02 5.24228361e+04 1.88427540e+04 4.74631407e+03
 1.00000000e+00]","[-0.04109027  0.13061324  0.38867132  0.26429397 -0.03109536  0.33215451
 -0.21129883  0.42736583  0.11314518  0.25765315  0.22729481  0.51098611
  0.17261541]",105237.67118019835,243109.39302864805,34.37746917200275,2.4548656141978765e-07,0.0012550263386699402,110768.9772576851,230946.01531995073
3,"[1.98032860e+04 1.94313732e+03 1.14855319e+03 5.82999060e+04
 6.84916259e+04 4.26203172e+03 7.67504483e+04 1.57547665e+04
 9.48698288e+02 1.26721380e+05 7.73381070e+03 3.00303288e+03
 1.00000000e+00]","[ 0.00173559  0.25473392 -0.15119259 -0.51406505  0.30687948  0.37992685
  0.24610957  0.07169556  0.17048469  0.39187825 -0.16609794  0.35371865
  0.09174388]",62641.09995558785,212621.31419465935,34.77920409600483,2.4548656141978765e-07,0.0012550263386699402,96142.9481533499,193563.80401393067
4,"[1.95911047e+04 1.14648362e+05 1.05636277e+04 1.06657048e+05
 3.81273018e+04 3.47352868e+03 2.89107979e+04 5.37297485e+03
 2.99069991e+03 3.48654607e+04 1.06503033e+04 1.18333668e+03
 1.00000000e+00]","[-0.19796401  0.5089411   0.44754097 -0.00058373  0.2434921  -0.17887869
 -0.34874627 -0.17547889  0.40886229  0.06175711  0.22580735 -0.03654904
  0.18570419]",62511.134661224205,183565.42539905082,31.722466019011335,2.4548656141978765e-07,0.0012550263386699402,90046.75104964244,184704.2516602461
5,"[1.39056511e+04 9.61288453e+02 1.31511535e+03 1.87684099e+05
 2.53678330e+04 5.78981385e+03 1.38425365e+05 8.38871491e+03
 2.19495068e+03 3.67044095e+04 6.70970410e+03 1.11234272e+03
 1.00000000e+00]","[-0.26798691 -0.2395422   0.30310571  0.35785586  0.28931442  0.3173961
  0.41571148 -0.21461306  0.29608587  0.32411503  0.1994487  -0.10894507
 -0.05643168]",142290.6473627554,177302.96381648534,34.8953834999993,2.4548656141978765e-07,0.0012550263386699402,87047.24090992277,177412.77260753023
6,"[1.97801945e+04 9.10028178e+02 1.29108150e+03 7.55170648e+04
 1.89652875e+04 8.77931776e+03 1.39383512e+05 8.61090786e+04
 9.48698288e+02 1.73367469e+04 1.70196886e+04 1.15517716e+03
 1.00000000e+00]","[-0.2395671  -0.26801685  0.15309268 -0.35312824  0.05011889  0.32012606
  0.4359433   0.4546536  -0.05063604 -0.17786728  0.40963226 -0.11199741
  0.07966063]",75932.81629846118,161442.31660647862,32.26654628099641,2.4548656141978765e-07,0.0012550263386699402,82352.16776513378,177064.03313842166
7,"[4.55447411e+04 1.58339402e+03 2.14495183e+04 8.98633773e+04
 1.26301609e+04 3.06086055e+03 8.11600783e+04 1.56427461e+04
 7.17965984e+04 1.74921836e+04 5.32147299e+03 1.62778264e+03
 1.00000000e+00]","[ 2.99627831e-01 -6.52005169e-02  4.93470818e-01 -1.17955698e-04
  1.61962277e-01 -1.44220145e-03  3.28531521e-01  5.50302966e-02
  5.61455267e-01 -2.27250071e-01  1.29893160e-01  3.30255485e-01
 -1.80133034e-01]",91247.114872814,179910.14372069927,32.87746873300057,2.4548656141978765e-07,0.0012550263386699402,80925.14798951414,169513.276780325
8,"[1.16664134e+05 1.06222019e+04 1.99907173e+03 7.40579949e+04
 1.12600519e+04 4.56891301e+04 4.22628848e+04 9.66318836e+03
 2.91403841e+03 2.31516682e+04 1.76100739e+04 1.18333668e+03
 1.00000000e+00]","[ 0.32479682  0.2395136   0.15306123 -0.4077955  -0.09904701  0.53756113
 -0.00490893 -0.09874231  0.42999897 -0.09120048  0.31041266  0.20831967
  0.07674103]",37680.129069669936,157342.11510651142,35.01172402899829,2.4548656141978765e-07,0.0012550263386699402,74615.67289537417,165286.83311647217
9,"[1.94796224e+04 5.50200187e+03 1.21582200e+03 2.15451170e+05
 2.21549224e+04 2.66544005e+03 3.97306884e+04 6.52909888e+03
 1.16238888e+03 1.00878883e+05 3.67642250e+03 1.18333669e+03
 1.00000000e+00]","[ 0.26424199  0.39690308  0.18327773  0.48158704  0.28656442 -0.01785381
  0.12612307 -0.22790193  0.24313282  0.5264628  -0.05265745  0.05986141
  0.11920662]",174405.56604589865,145118.1875960835,35.72524750401499,2.4548656141978765e-07,0.0012550263386699402,70882.5382695708,152172.2567164913
10,"[1.83876623e+04 3.20803085e+03 1.07924864e+03 1.01955466e+05
 1.02616024e+04 5.41474354e+03 1.90889785e+05 9.69969616e+03
 9.48698288e+02 4.06364642e+04 2.70099160e+04 1.80304051e+03
 1.00000000e+00]","[ 0.00420112  0.44726702 -0.10800566  0.19967604 -0.22285946  0.10693781
  0.44823836 -0.28269615 -0.16062617  0.21535737  0.45505469  0.27193731
  0.23077652]",124248.30727859933,149032.85794924723,31.198234691022662,2.4548656141978765e-07,0.0012550263386699402,67739.49741067244,140081.3840231364
11,"[2.58327655e+04 1.58870506e+03 1.31463052e+03 1.24029980e+05
 5.46199233e+04 3.53273952e+03 2.80317493e+04 1.26209400e+05
 2.03786092e+03 2.18016432e+04 3.19710604e+03 1.66110134e+03
 1.00000000e+00]","[ 0.2352797   0.10446033  0.02231999  0.16253396  0.42206607  0.13713475
 -0.36713512  0.48836299  0.39684432 -0.28314756 -0.22380901  0.19543291
  0.10315653]",95559.3728574948,131254.94359463273,33.50264582899399,2.4548656141978765e-07,0.0012550263386699402,66183.60164677147,147321.12487419043
12,"[2.89432412e+04 1.54619561e+03 1.11832066e+03 9.26472831e+04
 4.14404114e+04 7.55492248e+03 3.29922934e+04 8.08117591e+03
 1.15340248e+03 6.44021394e+04 1.20655065e+05 1.12714084e+03
 1.00000000e+00]","[ 0.39552799  0.05332432 -0.13020972  0.12296718  0.41455083  0.42127642
 -0.08825436 -0.02776856  0.05663285  0.3342696   0.55728697 -0.10463676
 -0.11954678]",128717.45509323437,139290.30923995393,33.81362387200352,2.4548656141978765e-07,0.0012550263386699402,63960.77651533901,134972.84303237207
