iteration,batch_directions,batch_sources,batch_points,batch_support_values,batch_size_applied,best_gap,ci_lower,ci_upper,mean_gap,max_gap
0,"[[ 0.24943039  0.29629405  0.36757162  0.25744873  0.3459927   0.35100423
   0.38380633  0.38600285 -0.33073428]
 [ 0.1802394  -0.28141356  0.27498271  0.46291733  0.40604782  0.28400324
   0.36375827  0.21433589 -0.41787509]
 [ 0.2059792  -0.16568171  0.48469831  0.42439834  0.2633512   0.31356588
   0.37656823  0.18255142 -0.41505382]
 [ 0.02562896  0.52995486  0.31377448  0.26236978  0.31671115  0.47445169
   0.21287484  0.36330545 -0.22018576]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 5.14796829e-01 4.21827615e-01 1.14266443e-01
  1.99345788e-01 1.41605652e-01 7.22361299e-02 4.53325906e-01
  1.00000000e+00]
 [9.99999999e-01 1.78899872e-01 8.06009273e-02 4.87104073e-01
  1.20734823e-01 1.09081297e-01 5.13006927e-04 4.78453452e-02
  3.76972732e-01]
 [1.00000000e+00 1.39997228e-01 9.54411869e-01 3.00825609e-01
  1.12888173e-01 1.39141893e-01 1.03605603e-03 4.48883012e-02
  9.86898019e-01]
 [1.35831276e-03 8.19319090e-01 1.08145825e-01 1.36279298e-01
  1.77684547e-01 7.27824333e-01 5.45819567e-03 4.37484712e-02
  1.00000000e+00]]",[0.5770831  0.31046496 0.44538409 0.70238829],4,2.259166400774132,0.0012531266575342055,0.006173289325202822,0.7696564160029407,2.0351125205899807
1,"[[-0.22126991 -0.49331465 -0.05273945 -0.14658885 -0.10758389  0.46416949
   0.10771979  0.49663544 -0.4451209 ]
 [-0.12289519 -0.4821516  -0.00475277 -0.10250382  0.15727074  0.48292003
  -0.05169671  0.48544969 -0.49559782]
 [ 0.35036952 -0.44261657 -0.16082954  0.06416037 -0.23351846  0.50069361
   0.57765572 -0.00381759  0.11146033]
 [-0.04245322 -0.53022177 -0.08476709 -0.12494897 -0.42995334  0.20061679
   0.44097353  0.4071183  -0.33008327]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[1.75074631e-09 2.31222752e-01 7.24273794e-02 3.17377997e-01
  5.44225130e-02 2.88111780e-01 6.88508433e-07 7.57539914e-01
  9.99999982e-01]
 [1.31249098e-09 2.57086071e-01 8.25533585e-02 3.16960614e-01
  1.02856558e-01 2.52979979e-01 1.17696511e-07 7.06239569e-02
  2.11434602e-01]
 [1.00000000e+00 2.29885018e-01 3.18108302e-02 2.88179430e-01
  9.68362273e-03 3.33680346e-01 5.71859872e-01 5.70878296e-02
  1.00000000e+00]
 [6.21763505e-02 2.14893171e-01 5.37941361e-02 2.98965020e-01
  3.88476670e-03 1.23365092e-01 6.72986624e-01 2.45084981e-01
  9.99999994e-01]]",[-0.10543136 -0.08899322  0.86838302 -0.06895253],4,0.9679256485254486,0.002573531490308808,0.008851453729749386,0.4264744155206477,0.9255241667213158
2,"[[ 0.28226019 -0.64251432 -0.13371074 -0.34481027  0.44290064 -0.07790294
   0.00689869  0.38932135  0.12993579]
 [ 0.25995272  0.66336542 -0.23716593  0.61027088 -0.2292102   0.08078934
  -0.00089006 -0.06584325  0.01709735]
 [ 0.25638304 -0.39192424 -0.04406074 -0.33601882  0.65845427 -0.10687435
  -0.0749803   0.46325073 -0.02461091]
 [-0.49597035 -0.19966729  0.4971783  -0.30600818  0.55449903 -0.11049741
   0.04866413 -0.17280552  0.14632267]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 2.44210944e-01 4.90695776e-02 2.39166475e-01
  1.45282407e-01 7.59672131e-02 3.00890228e-04 7.58216714e-01
  1.00000000e+00]
 [1.00000000e+00 9.92932636e-01 1.91608055e-11 3.05666727e-01
  1.37302402e-01 3.28905103e-02 1.27095523e-08 4.81364988e-02
  1.00000000e+00]
 [9.99999999e-01 3.67144736e-01 6.99415635e-02 2.12191035e-01
  8.36513878e-01 2.59770520e-02 1.45915659e-07 8.35213220e-02
  1.00000000e+00]
 [3.51228106e-11 2.87403355e-01 9.54411868e-01 1.74330498e-01
  3.75387700e-01 4.82199914e-02 6.95279389e-03 5.32696358e-02
  1.00000000e+00]]",[0.51987839 1.09028337 0.6002185  0.70406093],4,0.8927619598502738,0.0022288860865596785,0.008196812805202274,0.38822831250033757,0.8480296731870581
3,"[[-1.81471429e-01  4.44507907e-01  6.34818422e-01 -1.42565914e-01
  -1.78278648e-01 -1.78454377e-01  3.40506391e-02  7.50720753e-02
  -5.25106531e-01]
 [-1.44725732e-01  5.29229711e-01  5.43152502e-01 -5.80982137e-04
  -3.17271069e-02 -1.24263553e-02 -2.64697812e-01  7.82198025e-02
  -5.71498998e-01]
 [-2.19611505e-01  5.54590633e-01  3.84962154e-01  5.90409913e-01
  -5.05147845e-02 -1.04990847e-01 -2.71595773e-01 -1.96579971e-01
  -1.46415576e-01]
 [-3.21759300e-01  1.87133670e-01  6.47445536e-01  1.83914137e-01
  -9.30568133e-02  1.14498084e-01  1.65844642e-01  1.33655391e-01
  -5.84212478e-01]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[1.51064452e-09 5.14202834e-01 7.21092425e-01 1.08005431e-01
  1.58696847e-01 2.32254755e-02 1.35235483e-02 6.31841894e-02
  5.69596162e-01]
 [1.36735638e-12 6.32456156e-01 3.41114831e-01 1.29744112e-01
  1.61745651e-01 3.80110011e-02 1.68592559e-10 6.12276171e-02
  2.43010410e-01]
 [7.48108277e-12 9.37916860e-01 3.56201527e-01 3.03353255e-01
  1.44158064e-01 8.18717633e-03 1.79785822e-09 5.25263723e-02
  1.00000000e+00]
 [5.64707562e-10 3.23230346e-01 7.77306369e-01 2.36996569e-01
  1.20072413e-01 5.11933933e-02 1.30089220e-02 4.95700508e-02
  5.39226760e-01]]",[0.34460033 0.38022153 0.67150388 0.29578559],4,0.8132183683090005,0.002573531490308808,0.008851453729749386,0.35162608309448407,0.693266645319796
4,"[[-0.10689018 -0.5674478  -0.12050391 -0.24832733  0.55806142 -0.0134649
   0.52517295 -0.02852487 -0.04642938]
 [-0.14722354  0.25486835 -0.11013493 -0.07933084  0.58579962  0.41116637
   0.25699038 -0.20429254 -0.52435274]
 [-0.25870052 -0.26117942  0.40528052  0.37473644 -0.46885542 -0.03547655
  -0.09317098  0.55605917  0.14564694]
 [ 0.26291237  0.12528361 -0.20898445  0.74212676 -0.3021376   0.06257748
  -0.05858348  0.45443379 -0.12493718]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[5.63827890e-10 3.32473494e-01 5.39059143e-02 2.77965184e-01
  4.09081208e-01 2.82773738e-02 6.59158252e-01 5.62321648e-02
  1.00000000e+00]
 [4.44828862e-10 6.02266951e-01 2.26550076e-02 1.94531286e-01
  3.52036567e-01 1.82655849e-01 1.95998452e-02 4.76711555e-02
  3.32516883e-01]
 [2.25141482e-10 2.06698991e-01 4.33699065e-01 3.81015266e-01
  6.72310719e-02 5.10776452e-02 5.11413750e-08 6.92180651e-01
  1.00000000e+00]
 [9.99999999e-01 2.21239893e-01 2.38689244e-10 6.55124852e-01
  7.86392069e-02 2.65150017e-02 2.99743621e-08 4.53170127e-01
  1.00000000e+00]]",[0.2618668  0.23783815 0.76177119 0.83571381],4,0.8055122539853246,0.009526959248201466,0.019876285103336635,0.3395424350012861,0.659423223692455
5,"[[-0.10601441 -0.17609834  0.58177479 -0.38149348 -0.15828494  0.62109214
   0.17814401 -0.09117263 -0.15130706]
 [ 0.14504522  0.47699766 -0.0895476   0.73545757 -0.16830439  0.08203635
   0.39891272  0.02559217  0.08761198]
 [ 0.05320466 -0.32170798  0.64516587 -0.28548379 -0.01366775  0.60859191
   0.06736469 -0.02276898  0.14249878]
 [ 0.39651532  0.36635196 -0.03995648 -0.58788028 -0.07052689  0.46257413
  -0.01924066 -0.21504777 -0.3095117 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[2.09450182e-10 2.70839997e-01 8.37895539e-01 1.74268501e-01
  7.03129517e-02 5.50927465e-01 3.23311954e-08 2.98870049e-02
  1.00000000e+00]
 [1.00000000e+00 3.68575210e-01 1.65053963e-12 6.66860440e-01
  9.29172018e-02 1.70564372e-03 3.24794428e-01 4.50263588e-02
  1.00000000e+00]
 [3.17402961e-01 2.11860983e-01 9.54411867e-01 1.81254519e-01
  8.32341326e-02 4.23114071e-01 9.78101711e-09 3.27003518e-02
  1.00000000e+00]
 [1.00000000e+00 8.03677132e-01 3.81578695e-02 5.42784690e-02
  1.50624603e-01 5.66243183e-01 4.29452650e-09 4.03191600e-02
  1.00000000e+00]]",[0.55030503 1.01413277 0.91085909 0.59063423],4,0.7456872757334252,0.006708289504504065,0.015704276850168678,0.31721710757540555,0.6540042939233932
6,"[[ 0.45657901  0.20167918 -0.10538268 -0.47948527 -0.03154945 -0.19022825
   0.45728705  0.02341916 -0.51284248]
 [ 0.4345863   0.32313233  0.01792647 -0.2830027  -0.02308295 -0.11986025
   0.61692143  0.00897418 -0.48035037]
 [ 0.4069801   0.2351822  -0.12122185 -0.20321912 -0.21350084 -0.47274818
   0.45284013  0.20244522 -0.45600666]
 [-0.09276699 -0.59804261  0.41059095 -0.16541588 -0.04288376 -0.10224902
   0.64866935  0.04586555 -0.0512106 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 5.81967422e-01 7.02439527e-02 1.39192878e-01
  1.17502979e-01 7.94495522e-03 4.31728436e-01 4.55405184e-02
  5.73825221e-01]
 [1.00000000e+00 5.91038144e-01 4.92544618e-02 1.16923891e-01
  9.55333059e-02 1.07640528e-10 8.11538798e-01 4.50144744e-02
  1.00000000e+00]
 [9.99999999e-01 5.47858867e-01 2.05379935e-02 1.65150212e-01
  1.02623029e-01 1.44530258e-10 6.17936327e-01 4.56430539e-02
  7.35990251e-01]
 [1.39936599e-09 2.70840831e-01 6.18789713e-01 2.07819511e-01
  5.58864111e-02 2.47274236e-02 6.70285315e-01 5.08602400e-02
  1.00000000e+00]]",[0.39879618 0.61186709 0.43131544 0.43870915],4,0.7229532063771228,0.014962973439029201,0.027422235885236176,0.29861764261840823,0.6434424103636582
7,"[[ 0.07640659  0.58360673  0.00071775 -0.19529341 -0.12382302 -0.15528634
   0.07971878  0.55774047 -0.50847781]
 [ 0.27033492 -0.37405211  0.16547234 -0.48442816  0.13283605  0.03488667
   0.13628283 -0.32972853 -0.61546398]
 [ 0.40806128 -0.2046337  -0.0421109  -0.42425673  0.4220478   0.53181601
  -0.29156014  0.23226177 -0.09969197]
 [-0.17030378  0.55937561  0.45755681 -0.31201352 -0.20020018  0.01404186
   0.36108681  0.39637121  0.1536677 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[2.75382783e-01 7.25138138e-01 5.01332516e-02 1.43042521e-01
  1.77962255e-01 7.85595604e-03 4.04784045e-03 8.41664089e-01
  9.99999999e-01]
 [9.99999999e-01 3.57544594e-01 1.85009270e-01 1.69591610e-01
  1.06460911e-01 1.17980784e-01 2.13004751e-07 5.35143979e-02
  2.22013280e-01]
 [1.00000000e+00 3.52700265e-01 8.43394646e-02 1.86062743e-01
  1.82674938e-01 8.20934698e-01 3.56030052e-08 5.19593128e-02
  1.00000000e+00]
 [1.18104594e-09 8.26388041e-01 3.59693934e-01 1.26768681e-02
  1.57645480e-01 1.90443065e-03 5.71202424e-01 6.12595776e-02
  1.00000000e+00]]",[ 0.35435653 -0.050975    0.67945689  0.97555536],4,0.6395298892708742,0.009118505830421869,0.019286095513680296,0.2886775112820869,0.573601078780994
8,"[[-0.18174972 -0.33588639 -0.07001082  0.67934283 -0.19034755  0.58556321
  -0.05698918  0.06334702  0.03690671]
 [ 0.06395407 -0.44733354  0.34912331 -0.48151421  0.28265999  0.02191108
  -0.03335435  0.59946805  0.03476111]
 [-0.30212001  0.04194155  0.50017423 -0.24784725  0.28927501 -0.27643055
   0.10597175  0.60964715  0.22884132]
 [-0.27757876 -0.23688405 -0.46063873  0.60540283 -0.02719648  0.52262838
  -0.07417625  0.09351832 -0.00273522]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[1.05389161e-11 1.51828257e-01 3.91033447e-02 6.84422941e-01
  4.08349789e-02 6.69873939e-01 1.75758690e-09 3.36103580e-02
  1.00000000e+00]
 [3.33970570e-01 2.72447501e-01 4.76536439e-01 1.80357773e-01
  1.22558952e-01 7.26241624e-02 4.76645067e-08 7.25137939e-01
  1.00000000e+00]
 [5.94952292e-11 4.53817413e-01 5.58497567e-01 1.34303152e-01
  1.39188407e-01 1.37418526e-02 7.48078851e-03 6.76371104e-01
  1.00000000e+00]
 [2.87156586e-10 1.70167582e-01 1.76570710e-10 6.45251243e-01
  6.67111967e-02 7.17121862e-01 9.00129373e-08 3.43575865e-02
  1.00000000e+00]]",[0.83473964 0.48470094 0.94354007 0.72377871],4,0.6392235410733672,0.014537937772140186,0.02684867643442838,0.26867729469765433,0.5922277801660929
9,"[[ 0.11180669  0.33987242 -0.16289541  0.74617368  0.5251281  -0.08709412
  -0.03933506 -0.03974531  0.0469477 ]
 [ 0.1417026   0.20802688 -0.36143514  0.75117117  0.44836976 -0.09497844
   0.07499832 -0.10996893 -0.11822623]
 [-0.11724968  0.25014945 -0.13278858 -0.43853319  0.10918192  0.6284372
   0.48513054  0.08662145  0.25303098]
 [ 0.10398508 -0.05610347  0.04301421 -0.24545295  0.01449597  0.57390771
   0.70497217 -0.30878732 -0.04501744]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[3.38197379e-01 4.14645347e-01 4.24418486e-10 5.08298390e-01
  7.85179290e-01 9.59174271e-03 1.28037945e-07 5.52532875e-02
  1.00000000e+00]
 [1.00000000e+00 2.57606778e-01 3.35950469e-12 7.39357157e-01
  3.55113188e-01 8.74942615e-03 2.99940147e-09 4.73696164e-02
  1.00000000e+00]
 [5.49730440e-10 6.44677799e-01 4.91062943e-03 1.52368808e-01
  1.31019482e-01 8.67760261e-01 5.75745924e-02 4.68650847e-02
  1.00000000e+00]
 [2.75382781e-01 4.62593048e-01 7.30660101e-02 1.67670348e-01
  5.06575483e-02 1.59357046e-01 9.02622867e-01 4.79116958e-02
  1.00000000e+00]]",[1.01425409 0.78563111 0.93845443 0.63337293],4,0.6219845617414397,0.02100049049809648,0.03536489350919096,0.2590997053993318,0.53565965016888
