iteration,batch_directions,batch_sources,batch_points,batch_support_values,batch_size_applied,best_gap,ci_lower,ci_upper,mean_gap,max_gap
0,"[[ 0.48017253 -0.18111077  0.20970731  0.11344885  0.25437012  0.48056596
   0.37625114  0.34898258 -0.34753973]
 [ 0.26355936 -0.14058105  0.26239126  0.58468531  0.47096459  0.28503581
  -0.00419572  0.36138974 -0.25767062]
 [-0.03170284  0.44391051  0.33182937  0.30829566  0.27335902  0.47372572
   0.49523763  0.10569839 -0.20299698]
 [ 0.0502297   0.22049239  0.2816352  -0.30920622  0.31349289  0.31172463
   0.21172709  0.52695081 -0.50594235]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 2.48734362e-01 1.66318618e-01 2.40711083e-01
  1.08604965e-01 8.16706234e-01 1.93352727e-02 5.04126911e-02
  9.99999992e-01]
 [1.00000000e+00 1.81857885e-01 5.26177187e-02 6.15537330e-01
  5.09405925e-01 1.03121424e-01 3.33701812e-08 4.93174455e-02
  1.00000000e+00]
 [1.51856441e-09 6.83516877e-01 1.77590958e-01 1.49147495e-01
  1.42374084e-01 2.74216705e-01 6.27704882e-01 2.70401706e-02
  1.00000000e+00]
 [2.55601038e-01 5.70097800e-01 3.04354522e-01 9.99418104e-02
  1.49153469e-01 7.18464881e-02 1.16874973e-02 6.79989459e-02
  1.93376741e-01]]",[0.5947461  0.6411533  0.68787869 0.20297935],4,1.9354495062325605,5.395411025929977e-05,0.0023346635863319577,0.7713475662211561,1.9354495062325605
1,"[[ 0.09957129 -0.31841579  0.3938405   0.22252388  0.04689979 -0.00565941
   0.60865647  0.55798943 -0.00481722]
 [ 0.26055754 -0.40951626 -0.01354995 -0.20043756  0.57215845  0.23763621
   0.51997044  0.01210777 -0.26399863]
 [ 0.32224036 -0.27252601  0.34803701 -0.41050677  0.53974126 -0.0541132
   0.30590612 -0.37884613 -0.02988901]
 [ 0.5609552   0.42193954 -0.196983    0.25954489 -0.04593491 -0.41685273
   0.14994414  0.449877    0.01953617]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[3.33970569e-01 2.62558666e-01 5.26827882e-01 2.26792845e-01
  5.06955286e-02 2.13674445e-02 6.30586542e-01 1.44024733e-01
  1.00000000e+00]
 [9.99999977e-01 3.48938622e-01 7.13103834e-02 2.05722734e-01
  4.40362084e-01 4.11535507e-02 5.07685194e-01 5.51115024e-02
  9.99999995e-01]
 [1.00000000e+00 3.26132228e-01 5.38184628e-01 1.15817669e-01
  5.90075864e-01 8.72623531e-02 1.80466587e-02 4.84956171e-02
  9.99999998e-01]
 [1.00000000e+00 5.70381700e-01 6.82828336e-11 2.35969106e-01
  1.54927291e-01 1.55951430e-03 3.11620917e-03 8.03521465e-01
  1.00000000e+00]]",[0.66921836 0.33784708 0.64415052 1.23658896],4,0.9127521554109435,0.0012531266575342055,0.006173289325202822,0.4493661528607692,0.9127521554109435
2,"[[ 0.23490261  0.60965035 -0.23168924  0.48547901 -0.13036315 -0.03850753
  -0.36878998  0.01205445 -0.35937264]
 [ 0.22431525  0.34030133 -0.17339355  0.63923618 -0.30531786  0.02485566
   0.13948769 -0.3506634  -0.39866154]
 [ 0.44737938 -0.358268    0.41906251 -0.03143337 -0.14922711 -0.3758826
  -0.17035083 -0.1936221  -0.51461529]
 [ 0.20770494  0.57231558  0.28717854  0.4075096  -0.38667499 -0.10761109
   0.07825795 -0.36865279  0.27865941]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 8.48353220e-01 1.20171148e-10 2.19998611e-01
  1.67766850e-01 5.37593217e-03 1.70643999e-08 5.44724763e-02
  5.77194999e-01]
 [9.99999989e-01 3.59820008e-01 1.64354203e-09 4.79622584e-01
  9.94879736e-02 5.69136010e-02 4.47435456e-07 4.58617710e-02
  3.62114806e-01]
 [1.00000000e+00 2.09293155e-01 7.07775876e-01 2.38225322e-01
  9.13460300e-02 1.31036114e-02 8.97213843e-08 6.44234380e-02
  6.25390473e-01]
 [1.00000000e+00 9.99999999e-01 1.34451692e-01 2.21059752e-01
  1.04220570e-01 1.83569937e-02 4.24104956e-07 4.51924952e-02
  1.00000000e+00]]",[0.63005707 0.46395052 0.30864441 1.12844033],4,0.8491528735844529,0.002573531490308808,0.008851453729749386,0.39745518175295635,0.8491528735844529
3,"[[-0.07954683 -0.5332742   0.09243518  0.35221948 -0.2124726   0.30390431
   0.40805142  0.33704114 -0.39885207]
 [-0.31430701 -0.36338228  0.59468476  0.50142491 -0.14314609 -0.04831
   0.04447426  0.02035447 -0.37265345]
 [-0.17757194 -0.18879003  0.46020152  0.5330798  -0.17370276 -0.27076347
   0.26359752  0.32002843 -0.40184533]
 [-0.3548283   0.52043931  0.11766317  0.61162401  0.25909796  0.11586909
  -0.02192703  0.34680671 -0.11831382]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[1.11931855e-09 1.42979765e-01 5.60235821e-02 5.03698382e-01
  2.28073932e-02 1.63239296e-01 2.32983866e-01 7.25976085e-02
  5.12695581e-01]
 [1.08171845e-09 1.30634649e-01 9.99999972e-01 4.53293937e-01
  8.63307935e-02 2.15463075e-02 3.89616114e-07 5.80429197e-02
  9.95592967e-01]
 [8.93441888e-10 1.47346836e-01 9.54411843e-01 4.30899293e-01
  8.98072975e-02 1.57544074e-09 4.41081903e-03 7.09819682e-02
  8.94227874e-01]
 [9.83766649e-11 7.59444385e-01 3.21356674e-02 3.82715415e-01
  1.96758486e-01 3.14952799e-02 4.68239337e-08 5.53552873e-01
  1.00000000e+00]]",[0.06615477 0.39127877 0.29004573 0.76139491],4,0.8159420871503635,0.004768802607230218,0.012649997439923887,0.36584697675992595,0.8159420871503635
4,"[[-0.26305246  0.00667748  0.60524428 -0.26105869 -0.16935931  0.50529582
   0.08693511  0.42278301 -0.16117355]
 [-0.22370681  0.53362654  0.6351828  -0.18034658  0.44088891  0.13704787
  -0.05337448 -0.11483965 -0.0037103 ]
 [-0.33529731 -0.43994374 -0.00387083  0.21910182  0.54388298 -0.12614036
   0.11594094  0.24964185 -0.50844979]
 [-0.0880871  -0.52186077  0.11979423 -0.15801334  0.50351556  0.45481709
   0.30594863  0.35158542  0.05458711]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[1.75397769e-10 3.01272885e-01 9.54411868e-01 1.44488789e-01
  9.32705522e-02 4.22487103e-01 6.63155580e-08 4.25316605e-02
  1.00000000e+00]
 [4.61563582e-09 6.20567955e-01 9.15220155e-01 4.95257775e-02
  2.23884624e-01 8.53598479e-02 1.35379702e-06 4.48883085e-02
  1.00000000e+00]
 [7.71542272e-10 2.82447597e-01 5.55223942e-02 4.30808100e-01
  1.78053010e-01 2.77229398e-02 1.86801664e-03 7.44016612e-02
  1.24481818e-01]
 [5.11824942e-11 2.62288538e-01 1.85661559e-01 2.65238589e-01
  6.58558871e-01 3.64178592e-01 1.59118729e-02 6.26875673e-02
  1.00000000e+00]]",[0.59643686 1.00509314 0.01875548 0.42217649],4,0.6709808534302196,0.008306936494150655,0.018100357576854038,0.3334287045572726,0.6709808534302196
5,"[[ 0.32151718  0.4892854   0.10380497 -0.24208755  0.54204632  0.39999027
   0.24595458 -0.21757807  0.16187755]
 [ 0.23035035  0.59108865 -0.28768437 -0.24984184  0.11498389  0.54566709
  -0.12496843  0.30460649 -0.18164139]
 [-0.37885433 -0.49846006  0.29904433 -0.37989404  0.24183293 -0.01575574
   0.39792503 -0.21155585 -0.33530337]
 [ 0.35878122  0.47716805 -0.21907448  0.1013443   0.6185797   0.03765856
  -0.0194524   0.15860953  0.41919924]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 7.86313465e-01 6.50404426e-02 8.60860434e-02
  6.18679621e-01 1.57843658e-01 3.04850884e-04 4.64934529e-02
  1.00000000e+00]
 [1.00000000e+00 8.50588216e-01 2.43756681e-11 8.14353746e-02
  1.60016414e-01 5.29394712e-01 1.05495244e-08 4.77034002e-02
  1.00000000e+00]
 [2.47524487e-10 2.31458854e-01 7.39953001e-01 1.91693571e-01
  1.29746829e-01 4.24933634e-02 5.00759785e-01 5.62103539e-02
  1.00000000e+00]
 [9.99999997e-01 6.57445668e-01 4.15792578e-10 1.64968976e-01
  7.99897758e-01 2.21665454e-02 1.74244924e-07 6.90597513e-02
  1.00000000e+00]]",[ 1.24248556  0.85293939 -0.0841401   1.615     ],4,0.6584488755184352,0.007104564309876558,0.016306701312664172,0.30495119267421,0.6584488755184352
6,"[[ 0.47705658  0.47634989  0.13507244 -0.26088226  0.00349144 -0.03506867
   0.62372871 -0.19198054 -0.17907443]
 [ 0.55628048  0.03293983 -0.00403974 -0.20232177 -0.29190665  0.16200541
   0.66217417 -0.15358212 -0.27385989]
 [ 0.05493357 -0.11072956 -0.1038767   0.62597206  0.35097582  0.0628469
   0.57957281 -0.30763832  0.15623748]
 [ 0.22149625  0.33303125  0.54795158  0.30276136  0.00199692 -0.332011
   0.20397681  0.42978857  0.33399727]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 6.77197053e-01 6.91553116e-02 8.69303927e-02
  1.19369017e-01 4.15491522e-11 7.39843206e-01 4.49814929e-02
  1.00000000e+00]
 [1.00000000e+00 4.44395497e-01 3.39042068e-02 1.56672246e-01
  4.98266388e-02 4.19672826e-02 8.56326963e-01 5.57427058e-02
  1.00000000e+00]
 [1.74966241e-01 2.18961742e-01 1.61011919e-03 6.16012704e-01
  1.11350980e-01 4.03491673e-03 6.60353616e-01 4.50205332e-02
  1.00000000e+00]
 [1.00000000e+00 3.05141887e-01 9.23533886e-01 1.89328979e-01
  1.17344749e-01 3.29570154e-13 1.62214404e-02 1.86567331e-01
  1.00000000e+00]]",[1.06046992 0.81595444 0.93525099 1.30421629],4,0.653946811271712,0.012009784173531376,0.023385208628784286,0.2899752965356739,0.653946811271712
7,"[[ 0.08885849 -0.59701771 -0.28174454 -0.53694443 -0.370791   -0.26710382
  -0.1695205   0.16015683 -0.06904266]
 [ 0.45248983 -0.49994834 -0.23928355 -0.26654287 -0.2939209  -0.24931372
  -0.08081874  0.33287795 -0.38873727]
 [ 0.11446269  0.02647191 -0.17391003  0.29624615 -0.25338079  0.57113582
   0.22174103  0.62695583  0.18854815]
 [-0.2960267   0.31176552 -0.11621326  0.08536591 -0.28479947  0.04004927
   0.54876931 -0.12641802 -0.62811912]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 1.81985696e-01 4.76065469e-02 2.44674629e-01
  2.69439347e-02 1.15747715e-01 1.81532851e-09 6.38487154e-01
  1.00000000e+00]
 [9.99999998e-01 2.30318917e-01 4.42082948e-02 2.96259635e-01
  5.24837800e-02 8.00197543e-02 4.47314523e-07 9.54733981e-02
  2.60706652e-01]
 [3.38197380e-01 2.97443555e-01 6.32629178e-03 3.76566314e-01
  6.65589402e-02 2.15359448e-01 1.56150958e-02 8.37408596e-01
  1.00000000e+00]
 [3.24387846e-10 5.53528857e-01 3.60901955e-02 2.47381608e-01
  1.18825858e-01 1.82275674e-02 3.28917784e-01 4.98827235e-02
  2.85529149e-01]]",[-0.17227157  0.14285652  0.98020459  0.15123106],4,0.5688872802162381,0.019694677515810596,0.03367497376360176,0.2713023099714805,0.5688872802162381
8,"[[-0.18912203 -0.32053404 -0.05246922 -0.60100092 -0.26904558  0.38227545
   0.07027968  0.26848662 -0.44943445]
 [-0.19855788  0.50701333 -0.33366046 -0.36213795 -0.1370913   0.52072413
   0.16581304 -0.08138206 -0.37010053]
 [ 0.21388446  0.47506527  0.70312505 -0.03901986 -0.01898527  0.11111337
  -0.06831505 -0.29924156 -0.3545983 ]
 [ 0.18044492  0.40084972  0.53281418  0.45390463  0.04896017 -0.09120712
   0.36348272 -0.31565028 -0.27270522]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[1.71486081e-10 3.58022608e-01 1.02985139e-01 2.11243872e-01
  7.07132546e-02 2.09620893e-01 5.87625252e-08 7.08915067e-02
  1.65284490e-01]
 [6.46228814e-11 8.66714868e-01 3.76572186e-11 8.38588780e-02
  1.55675780e-01 6.89247500e-01 1.00246275e-02 4.24388899e-02
  1.00000000e+00]
 [9.99999999e-01 4.02778204e-01 9.87157764e-01 8.48850173e-02
  1.27238921e-01 8.56506802e-02 1.03443864e-07 4.48882996e-02
  9.99999999e-01]
 [9.99999999e-01 3.36736259e-01 8.63356793e-01 2.09093352e-01
  1.08313529e-01 1.12229561e-09 2.25947443e-01 4.48882996e-02
  1.00000000e+00]]",[-0.24126303  0.37474144  0.73508406  0.67089955],4,0.5317198125812159,0.017101772293112483,0.03027638582298846,0.2627563759028038,0.5317198125812159
9,"[[ 0.50653307 -0.24009353 -0.26386604  0.63045603 -0.24107078 -0.14575796
   0.27316749  0.1999304   0.15724539]
 [-0.4828222   0.56921809  0.00998406  0.17286935  0.44985426  0.05916246
  -0.14364023 -0.23708547 -0.36080315]
 [ 0.08581653  0.27020988  0.35479475  0.59956955  0.02744857 -0.4098809
   0.23600328  0.28122462 -0.36155024]
 [-0.27609462  0.43555983 -0.41575282 -0.58875558 -0.12086615 -0.05792754
   0.00228893  0.43223357  0.09889651]]","['prob_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 1.28576902e-01 1.13422080e-09 8.17097188e-01
  6.52912898e-02 1.79267973e-02 1.20620641e-01 5.95515511e-02
  1.00000000e+00]
 [4.97535916e-11 9.25722681e-01 2.26230013e-10 1.52021241e-01
  6.94488478e-01 6.11800556e-02 2.50631297e-08 4.81631126e-02
  1.00000000e+00]
 [2.42208468e-01 3.13331847e-01 2.17451609e-01 5.50400132e-01
  1.15554230e-01 5.89245894e-10 5.69631012e-07 6.15030325e-02
  3.64219719e-01]
 [3.41678116e-10 8.04480955e-01 2.03980381e-10 1.01264617e-01
  1.88140703e-01 2.63163995e-02 2.75722326e-07 7.19986346e-01
  1.00000000e+00]]",[1.17455483 0.49703415 0.40138907 0.67661397],4,0.5262883094564615,0.02100049049809648,0.03536489350919096,0.24789118016538494,0.5262883094564615
