iteration,point,cut_direction,cut_support_value,trial_direction_gap,ci_lower,ci_upper,mean_gap,max_gap
0,[1.         0.40306507 0.68725985 0.22436567 0.0438832  1.        ],[ 0.44201491  0.32828214  0.48453815  0.46104423 -0.34352    -0.36264124],0.6330640824375475,1.628822998036583,0.03566155514108609,0.05365656975492837,0.5310883067115282,1.5080953996458335
1,"[1.19837102e-10 2.80106536e-01 8.40143370e-01 2.36831379e-01
 4.38831971e-02 9.79129223e-01]",[-0.37948163 -0.29751176  0.44324738 -0.14561354 -0.55388722 -0.49296841],-0.25241562055377,1.163658574280176,0.03251469095359842,0.04981349001853857,0.4449294362367383,1.0800436920341405
2,[0.39824965 0.19585339 0.05050284 0.63742158 0.0438832  0.78044057],[ 0.10963892 -0.35103604 -0.08618402  0.56498534 -0.53945376 -0.4970981 ],-0.08093511126787506,1.072809984918236,0.04564543096193057,0.06564103398915161,0.41755362816240743,0.9646165113925131
3,[1.         0.21907572 0.72496829 0.15806333 1.         0.64354552],[ 0.4142911  -0.45513714  0.49777707 -0.25052498  0.10113233 -0.54812457],0.38424459664356586,1.0390360066693982,0.039730048440241826,0.05857513310547533,0.396701821252849,1.0172540220479411
4,"[1.00000000e+00 7.89111702e-01 8.61871255e-11 1.46225953e-01
 4.38831970e-02 8.62324446e-01]",[ 0.25840245  0.50687931 -0.31200888 -0.37277413 -0.46365555 -0.47435744],0.17448088910745568,0.9912254402551887,0.04382084801939801,0.06347137804172286,0.37845704022058974,1.018034124929772
5,"[7.47108954e-10 1.72781350e-01 9.00433029e-01 4.06700298e-01
 9.99999999e-01 7.85686202e-01]",[-0.14397519 -0.1798745   0.5317207   0.63227779 -0.06194312 -0.51046767],0.24183696291118706,1.0408955626951266,0.05297884028167474,0.07428456545877937,0.35546615628661005,0.9693139063288795
6,[0.05915189 0.90184654 0.36838283 0.04724866 1.         0.63332653],[ 0.02318136  0.65704065  0.5473892  -0.2841586   0.09223403 -0.42293267],0.60652328227798,0.9661470541927453,0.06221343231559588,0.08502112527625444,0.32653806961684767,0.8223129070489985
7,"[3.58397681e-11 9.00972356e-01 8.62861733e-11 3.20402212e-01
 4.38831966e-02 9.14053626e-01]",[-0.34826795  0.62017949 -0.10697787  0.50672988 -0.311867   -0.35861731],0.37964078348959307,0.9177299775466963,0.06267689555814611,0.08555621909939655,0.3058963917848972,0.8273339255348217
8,"[1.00000000e+00 9.94891166e-01 5.17502349e-12 3.08184525e-01
 1.00000000e+00 1.00000000e+00]",[ 0.32920286  0.64516935 -0.04077887  0.62321872  0.225691   -0.18542132],1.2034121905358066,0.8957970129037045,0.07758184876266852,0.10260507334465767,0.28524790709513764,0.7823210029454631
9,[1.         0.16892393 0.02423012 0.62768671 1.         0.52691454],[ 0.58636204 -0.23783296 -0.28798138  0.59045097  0.07528402 -0.40296617],0.7727820525013082,0.803128596336604,0.09874124403143358,0.12638067991196536,0.2677183343642271,0.7629951238159672
10,[1.         0.28551071 0.1023448  0.27825781 0.0438832  0.70738799],[ 0.24690731 -0.59100348 -0.17844903 -0.49629646 -0.33608995 -0.44569157],-0.40821777803191983,0.7999674273816242,0.10110414569212119,0.12901055438606507,0.2577101224385618,0.706219767839064
11,"[2.17266612e-10 9.91175292e-01 3.43798045e-01 2.58781292e-01
 1.00000000e+00 1.00000000e+00]",[-0.11869051  0.6437201   0.43297081  0.59700252  0.13865414  0.09184929],1.1718904935820735,0.7983447417223378,0.10583623699894064,0.13426401451917133,0.24657578006346847,0.6924405325586882
12,[1.         0.14554792 0.5490971  0.63050561 1.         1.        ],[ 0.46838758 -0.05130472  0.40118296  0.7016694   0.11756639  0.33297347],1.5741550365477008,0.6686487621512125,0.12055482212330175,0.15050063302881492,0.23618460309827685,0.6067218104082961
13,[0.05222386 0.56863118 0.12724268 0.26630704 0.0438832  0.49887898],[-0.05672219  0.19617254  0.13016826 -0.06041371 -0.61721737 -0.74615552],-0.29026484489754245,0.6464028814306718,0.11579920301973623,0.14527070342109755,0.23090416187985605,0.6134374290063859
