iteration,point,cut_direction,cut_support_value,trial_direction_gap,ci_lower,ci_upper,mean_gap,max_gap
0,"[1.         0.46811308 0.63822885 0.14978238 0.26140827 0.33600802
 0.04058987 0.02450608 1.        ]","[ 0.26016334  0.30887737  0.36904428  0.34722881  0.37248459  0.36698939
  0.35357094  0.32705827 -0.27339125]",0.6619533294736283,2.2570962614173093,0.0002078592656904649,0.003204185101432733,0.7683958870456248,1.8000571781705057
1,"[0.24220846 0.29314239 0.0746209  0.2892096  0.04296655 0.06382675
 0.42299863 0.06910219 0.41451523]","[-0.01952335 -0.40284159 -0.0607001  -0.13505365 -0.1110568  -0.00549293
  0.52259129  0.48998777 -0.53838653]",-0.13978408759135527,1.188895801217952,0.0009545559495169254,0.005471167122258511,0.5244669177324914,1.0803522331966957
2,"[8.15528074e-10 3.51322751e-01 1.11418563e-01 2.58199187e-01
 1.98493769e-01 2.60815862e-01 2.42608430e-07 4.95097742e-02
 2.19360833e-01]","[-0.15195984 -0.34184222  0.02278913 -0.18962706  0.58045502  0.49601376
  0.0781359   0.07953741 -0.47768739]",-0.02278241563357951,1.0873213204815095,5.395411025929977e-05,0.0023346635863319577,0.4956426073801597,0.9847053674393673
3,"[1.00000000e+00 2.51740282e-01 2.50825586e-02 2.55617710e-01
 5.20532024e-02 8.41781197e-01 2.27031682e-09 6.62672944e-02
 1.00000000e+00]","[ 0.552121   -0.31848115 -0.17471781 -0.11830963 -0.12633039  0.54663616
  0.10071268  0.47040983 -0.05486132]",0.8672056666520213,1.0172479400894119,0.0015668550208154987,0.006859658346015931,0.47301494783264086,0.9401037332717426
4,"[1.00000000e+00 1.57011499e-01 4.57760732e-02 5.66192064e-01
 9.40694133e-02 2.79424300e-02 5.86599462e-08 5.78303928e-01
 1.00000000e+00]","[ 0.5797557  -0.35136502 -0.03454243  0.52248348 -0.15244629 -0.19109503
  0.00956218  0.45185396 -0.04715053]",1.0133103294331267,1.0108733393759248,0.0009545559495169254,0.005471167122258511,0.4557107095802236,0.9597916709695472
5,"[1.93425526e-09 1.38206602e-01 9.54411868e-01 4.41016480e-01
 8.27841757e-02 6.02393968e-02 3.27385349e-07 4.68073994e-02
 9.07092828e-01]","[-0.07856023 -0.27162223  0.52486097  0.58619473 -0.20956514  0.12396902
  0.1679928  -0.14207092 -0.43960751]",0.30661949198385213,0.9328889306494302,0.0002078592656904649,0.003204185101432733,0.44467618204734,0.8824716779397968
6,"[1.         0.24491162 0.08950431 0.29815773 0.27838254 0.03071807
 0.58787538 0.04807197 1.        ]","[ 0.23852418 -0.64303597  0.10042319  0.03804621  0.48171083  0.02642792
  0.45753069 -0.25048876  0.11513439]",0.6083448991476521,0.9132103391721174,0.0009545559495169254,0.005471167122258511,0.4331703419183923,0.8565254713313246
7,"[1.00000000e+00 3.86118742e-01 6.61412741e-02 2.03188991e-01
 8.40069598e-01 2.39769414e-02 2.11722379e-08 8.52439464e-02
 1.00000000e+00]","[ 0.34821137 -0.29546789 -0.09465593 -0.30042371  0.62377979 -0.14300231
  0.05951632  0.52832179 -0.00405356]",0.728394572640889,0.9569418656158524,0.0015668550208154987,0.006859658346015931,0.41857156710487947,0.858523224465448
8,"[5.61135496e-10 2.31575157e-01 6.89289544e-01 1.90877023e-01
 6.14378207e-02 3.59027899e-01 1.00662581e-07 3.60107829e-01
 1.00000000e+00]","[-0.16100124 -0.36141498  0.44901029 -0.2484143  -0.03242609  0.52026975
  0.07035979  0.550429    0.02198306]",0.5833828159626396,0.9885551550718373,0.0018928073353613854,0.007533425909306678,0.408842546828641,0.8472639243978652
9,"[7.93437573e-10 7.18586344e-01 3.57082561e-01 6.83464403e-02
 1.75097551e-01 6.81335312e-02 5.07821277e-07 5.83892021e-02
 3.54551458e-01]","[-0.19866654  0.61585876  0.49678234 -0.22107538 -0.205333    0.04632505
 -0.04385549  0.08956449 -0.48096759]",0.40673509132009633,0.9212824512047438,0.0036481066926209622,0.010774069897874302,0.3989916455701862,0.8224165236916819
10,"[1.36406808e-09 7.62319895e-01 3.07778294e-10 4.21714290e-01
 1.69135287e-01 2.92371574e-03 1.75563586e-07 5.43310791e-02
 5.29451938e-01]","[-0.0311278   0.59334975 -0.15256143  0.68908311 -0.01740081 -0.14672705
  0.04331764 -0.11355734 -0.33504225]",0.5559879762934639,0.8501279909081401,0.002925546913451879,0.00949859344778915,0.3876197689866583,0.8309542018413267
11,"[1.17038994e-10 1.93221075e-01 5.02412929e-02 5.63276499e-01
 2.39644697e-02 3.61299254e-01 4.90322315e-01 3.93209665e-02
 1.00000000e+00]","[-0.07788346 -0.37536206  0.01383341  0.51473153 -0.10635099  0.50078848
  0.5682432   0.00751321  0.05330254]",0.7287094716174132,0.9068747728122591,0.002925546913451879,0.00949859344778915,0.3815511536179619,0.8064048140913127
12,"[1.         0.17648496 0.71734088 0.23380787 0.08842527 0.07231741
 0.00178989 0.04859736 0.64613423]","[ 0.39496392 -0.49013152  0.49144464 -0.07230404  0.03249976 -0.0575632
  0.02279534 -0.17853457 -0.56591952]",0.26850666153543634,0.9113454425260177,0.002573531490308808,0.008851453729749386,0.3708176048616051,0.8117852378639009
13,"[1.00000000e+00 8.01925237e-01 4.15000467e-11 1.09234922e-01
 1.82493523e-01 1.47808893e-02 2.82526142e-08 7.65477294e-02
 4.79767540e-01]","[ 0.43823798  0.54755928 -0.16168998 -0.38754171 -0.19350062 -0.07974007
  0.04234068  0.35578862 -0.39951824]",0.6340741897099699,0.8707222575091287,0.0018928073353613854,0.007533425909306678,0.362129191406132,0.8201348155065842
14,"[1.90499058e-09 2.10688443e-01 5.55820059e-02 5.59218399e-01
 1.45688211e-01 3.07096077e-02 3.27611419e-07 7.84444114e-01
 1.00000000e+00]","[-0.21487058 -0.45377521  0.01848047  0.43380326  0.54492247  0.03580151
 -0.02037197  0.50494038 -0.07609103]",0.5485074572368809,0.8722357122165432,0.004017275968787517,0.01140382039228177,0.35422622963088524,0.7542811619977978
