iteration,point,cut_direction,cut_support_value,trial_direction_gap,ci_lower,ci_upper,mean_gap,max_gap
0,"[5.98649883e-10 9.13443948e+03 1.74849199e+01 4.96396205e+02
 4.90293559e+02 2.93299928e-01 1.31669800e+04 4.16741498e+01
 1.00000000e+00]","[ 0.00257269  0.71149937  0.11425582  0.53043151  0.33176283  0.01215938
  0.25885504  0.14599801 -0.02853553]",10341.509599683457,6581.658372971429,2.4548656141978765e-07,0.0012550263386699402,1907.3360183594045,5591.143232248336
1,"[2.26755581e+01 1.57706981e+03 6.43514918e+01 2.34207717e+03
 1.41652564e+02 4.41538136e+00 1.27689384e+04 5.03454727e+01
 1.00000000e+00]","[ 0.06446758 -0.69953104  0.20017342  0.4533454   0.4253556  -0.00497855
  0.23629918  0.14697112  0.05018784]",3057.8739247947165,6683.024221945485,2.4548656141978765e-07,0.0012550263386699402,1629.941888822899,5863.661879588263
2,"[1.41592081e-07 1.01879007e+04 1.85000130e+00 1.84135320e+03
 5.15328970e+02 5.03935840e+00 3.27847000e-04 3.92663019e+01
 1.00000000e+00]","[-0.05265711  0.47918472  0.26589627  0.6930881   0.23058894 -0.00475951
 -0.39147057 -0.00282294  0.10043013]",6277.392822820958,4804.5441852269905,2.4548656141978765e-07,0.0012550263386699402,1349.9688402192146,3996.9065876441873
3,"[9.45297873e-09 3.14126539e+03 3.13788097e+00 2.57605600e+03
 4.92113285e+02 6.21205728e-09 1.17937917e+04 4.10110983e+01
 1.00000000e+00]","[0.03915222 0.10306388 0.23416672 0.69441826 0.60945293 0.10522153
 0.12058948 0.22602519 0.05158016]",3844.7943048412358,3809.2558112292745,2.4548656141978765e-07,0.0012550263386699402,1152.226021573409,2989.757535210977
4,"[3.74635030e+01 1.25519708e+03 6.82372814e+02 8.79380486e+02
 8.36530012e+02 1.29816766e+01 3.05615856e+03 7.37592877e+01
 1.00000000e+00]","[-0.03925529 -0.51739129  0.31925917 -0.53007419  0.54715698 -0.01540919
  0.05998917  0.21000981  0.02322037]",-242.8187926763427,3645.4525216464644,2.4548656141978765e-07,0.0012550263386699402,1001.3683852022782,3051.9497993769114
5,"[5.18037562e-09 1.01879007e+04 2.69163910e+02 8.48830123e+00
 1.40028484e+03 3.71183485e+00 9.64200977e-06 6.16131412e+01
 1.00000000e+00]","[ 0.08945684  0.36466344  0.34781409 -0.52516312  0.56602937 -0.05560598
 -0.21756881  0.26963339  0.13684836]",4613.461926781105,2935.453922620385,2.4548656141978765e-07,0.0012550263386699402,905.6552676900776,2417.485323725007
6,"[2.09020000e+01 2.81383199e+03 9.29327654e+01 1.26849753e+03
 9.63546895e+01 6.15628350e+00 1.68731198e+04 5.76387260e+01
 1.00000000e+00]","[-0.00426749 -0.85024519 -0.04497933 -0.23835272 -0.02269858  0.01128902
  0.46553873 -0.02694769 -0.01160183]",5152.342052734206,2637.783342700192,2.4548656141978765e-07,0.0012550263386699402,831.9343751082288,2202.85295160237
7,"[5.94515298e+00 7.06546678e+03 4.86263670e+01 5.18199417e+02
 3.20228718e+02 1.87246511e-06 1.70921839e+04 3.91510616e+01
 1.00000000e+00]","[ 0.04940339  0.58301808  0.50701741 -0.23443562 -0.01031553 -0.01909419
  0.44533211  0.37571712 -0.07528258]",11645.788014715174,2382.1002776149853,2.4548656141978765e-07,0.0012550263386699402,777.2061285637506,2043.6796376612147
8,"[2.73681179e+01 1.62606547e+03 6.43701637e+01 2.26946210e+03
 2.14507772e+03 8.73498637e+00 2.01288431e-05 4.93716196e+01
 1.00000000e+00]","[-0.04145227 -0.43343931 -0.02577778  0.23792799  0.85743131  0.05818496
 -0.09898975 -0.04416492  0.05305091]",1670.0116572070563,2418.213751348726,2.4548656141978765e-07,0.0012550263386699402,715.3404096365911,1879.9657833955907
9,"[5.22378094e-09 7.79146813e+03 8.79044157e+01 5.27698269e+02
 2.34701938e+03 2.22011802e+00 1.63729478e+03 5.89062243e+01
 1.00000000e+00]","[ 0.01896432  0.2126629   0.2849332  -0.28035629  0.87618795 -0.12890079
  0.09965147  0.01393597  0.01352423]",3754.1967680709313,2101.2230205362903,2.4548656141978765e-07,0.0012550263386699402,692.3215274052425,1869.7666270667937
