iteration,point,cut_direction,cut_support_value,trial_direction_gap,ci_lower,ci_upper,mean_gap,max_gap
0,[1.         0.23542152 0.701108   0.25787682 0.0438832  1.        ],[ 0.32080273 -0.28589591  0.49667515  0.23283916 -0.57847965 -0.42404027],0.21233762266185102,1.4266926836053557,0.03341210851489888,0.05091320043746358,0.5316127027224414,1.4427006559828706
1,[1.         0.37702214 0.05099505 0.44909707 1.         0.32067324],[ 0.49377617  0.27910888  0.2821207   0.61408518  0.25194483 -0.39763606],1.0136105971748064,1.2314674876871006,0.03566155514108609,0.05365656975492837,0.46882294410608905,1.2276240211855995
2,"[3.41628253e-10 4.48082221e-01 8.31575785e-01 2.26947585e-01
 4.38831986e-02 1.00000000e+00]",[-0.22212522  0.42705541  0.57498159  0.35309613 -0.44608325 -0.33765824],0.3923972215012207,1.1566192703274745,0.03701505247000205,0.055298759546085506,0.42957411481727065,1.146233332789694
3,"[5.70449698e-11 2.47598881e-01 5.77563494e-02 5.35410721e-01
 4.38831966e-02 6.43851757e-01]",[-0.28290697 -0.44826906 -0.1598869   0.33078974 -0.57165494 -0.50719173],-0.2947593608224979,1.0365177560646863,0.042454944414873325,0.06184160129326931,0.3888418277023221,1.012079998555771
4,"[9.99999997e-01 6.53270266e-01 9.28450675e-10 1.93705764e-01
 4.38831991e-02 7.12301221e-01]",[ 0.23736175  0.36534521 -0.33572558 -0.3265677  -0.55131511 -0.53560788],0.007065242540066631,1.0311155495890256,0.04747369475325017,0.06780700745542803,0.3739938156478692,0.9972639390643
5,[1.         0.20817276 0.95441186 0.14967943 1.         0.8780013 ],[ 0.52173248 -0.31029186  0.61811598 -0.21099957  0.15088489 -0.42680177],0.7916454753495487,0.856442311597136,0.048389149978867674,0.06888867029918733,0.3517444964449416,0.8748022926393886
6,"[8.23935266e-10 1.53687941e-01 9.54411863e-01 3.71961750e-01
 9.99999998e-01 8.09036139e-01]",[-0.27374446 -0.2696009   0.60710458  0.48437039  0.01694097 -0.49890047],0.33147312704352666,0.9017663554918913,0.05205931040779694,0.07320697883896775,0.3330283169260732,0.8197192487971078
7,[1.         0.59291008 0.02423012 0.54979905 0.24322314 1.        ],[ 0.30089978  0.53429935  0.00300658  0.72361171 -0.13266324  0.28768219],1.2710205492008595,0.846770672897635,0.061750124049437145,0.08448587643311363,0.31640861530174447,0.7909007007784417
8,[1.         0.71931346 0.24857335 0.07324064 1.         0.45584973],[ 0.37310398  0.64146809  0.347602   -0.17355212  0.03772143 -0.54492358],0.6975323032913345,0.7845016649127488,0.06546084993188299,0.08876360625192539,0.30419097142828455,0.7885368347365045
9,"[1.75885643e-10 8.17432937e-01 1.55578179e-03 3.35225942e-01
 4.38832073e-02 7.95825393e-01]",[-0.20630776  0.64923479 -0.05900319  0.56464329 -0.21726892 -0.40794864],0.3857068404898232,0.7967538815146455,0.06546084993188299,0.08876360625192539,0.2896262017600282,0.7987775505020251
