iteration,point,cut_direction,cut_support_value,trial_direction_gap,ci_lower,ci_upper,mean_gap,max_gap
0,"[1.         0.30806963 0.77831586 0.13614518 0.20932065 0.06347178
 0.01620149 0.05479319 0.74634634]","[ 0.35592303  0.04812434  0.52573178  0.03617491  0.48947357  0.08986167
  0.30828836  0.18464886 -0.46529981]",0.5608571297900917,1.781889746072571,2.4548656141978765e-07,0.0012550263386699402,0.7684930418957513,1.8897071835956818
1,"[6.36480820e-10 3.55806361e-01 2.96660438e-02 3.98155775e-01
 7.57411491e-02 5.53963211e-02 3.73345889e-01 6.44077210e-01
 1.00000000e+00]","[-0.0963888   0.1298639  -0.0066289   0.45074227  0.05170043  0.31094454
  0.53886836  0.54886952 -0.28219803]",0.5191170233551177,1.467503195102584,0.000675460545317257,0.004748549255124749,0.6487307271675209,1.4507791299189434
2,"[1.00000000e+00 2.01376707e-01 7.74607317e-10 5.17926937e-01
 5.85095648e-01 1.61765781e-01 1.85942147e-07 4.64545843e-02
 1.00000000e+00]","[ 0.39019476 -0.23393304 -0.17701571  0.49617994  0.49494006  0.37445869
  0.09600315  0.17942898 -0.2981576 ]",0.6604106462477948,1.224153003914124,0.000675460545317257,0.004748549255124749,0.5622926876642239,1.136099065637446
3,"[1.00000000e+00 7.02409436e-01 3.46316327e-11 1.18871916e-01
 1.50144423e-01 2.61837895e-01 1.32146768e-08 4.67601305e-02
 5.02383756e-01]","[ 0.41164273  0.46797673 -0.22563383 -0.31291931 -0.09883577  0.47558639
 -0.06108266 -0.14386079 -0.44982328]",0.580132728902471,1.1600447178700461,0.0009545559495169254,0.005471167122258511,0.5407043556035476,1.0776386309156893
4,"[3.74708172e-11 6.26855551e-01 4.94998513e-01 3.50171243e-01
 3.13402787e-01 2.31476290e-01 2.85035037e-08 3.03126771e-02
 1.00000000e+00]","[-0.29776582  0.46065377  0.39751651  0.58918233  0.35102682  0.22182931
  0.12387807 -0.04269903 -0.06619198]",0.7857228666639097,1.1297432238879994,0.0012531266575342055,0.006173289325202822,0.5273385670041978,1.0937875036924414
5,"[1.         0.38994431 0.10729571 0.15036556 0.04705762 0.10078111
 0.81054719 0.05884676 1.        ]","[ 0.43187859 -0.12389125  0.13715406 -0.34102682  0.09781494  0.42070443
  0.66057434 -0.08176275  0.18280518]",1.1074276263856009,0.9893377529900678,5.395411025929977e-05,0.0023346635863319577,0.5005600442929948,1.090135209363237
6,"[3.95638039e-02 2.99795835e-01 4.97037395e-01 1.66344795e-01
 5.81510944e-01 3.17438006e-01 9.30602336e-08 4.72823368e-02
 1.00000000e+00]","[-0.03798445 -0.37456512  0.3474169  -0.30799906  0.57168061  0.49006299
 -0.07244226  0.23873483  0.11607572]",0.6230160795771504,1.0994680789122202,0.0012531266575342055,0.006173289325202822,0.48656129497643363,1.0260522333806048
7,"[8.18860455e-10 5.00558498e-01 6.84099358e-01 8.86849406e-02
 1.07221768e-01 6.11156611e-01 8.31298729e-03 2.35482512e-02
 9.83873488e-01]","[-0.05005611  0.32296614  0.5004766  -0.1575982  -0.12179188  0.56207602
  0.19913967  0.03234165 -0.49639494]",0.33454752533179705,0.990953182196,0.000675460545317257,0.004748549255124749,0.46712297567958677,0.9639810202424297
8,"[9.99999999e-01 3.16637982e-01 1.47235257e-01 1.78233073e-01
 6.65777661e-02 1.61492798e-01 1.55923553e-07 7.68566091e-01
 9.99999993e-01]","[ 0.37343099 -0.20580827  0.06637601 -0.45611466 -0.30037956  0.27945833
 -0.05685878  0.49185874 -0.43847818]",0.20142212203207993,0.9199965413866276,0.0022288860865596785,0.008196812805202274,0.4499160673959521,0.9774610926632911
9,"[1.00000000e+00 7.05220527e-01 3.64482670e-11 2.83949179e-01
 1.53757742e-01 5.98772257e-01 1.42349995e-08 2.32120763e-02
 1.00000000e+00]","[ 0.33079504  0.54376402 -0.13481157  0.53070627  0.10961387  0.46262803
 -0.11774692  0.20377921  0.11679825]",1.2803533924270465,0.916092581419826,0.0032839908114535928,0.01013920583390629,0.4340352291736872,0.8871358295177917
10,"[1.44835698e-09 4.07435354e-01 3.00198602e-02 2.56337972e-01
 6.09176595e-01 2.74190144e-02 4.82590385e-01 4.84799319e-02
 1.00000000e+00]","[-0.11025803 -0.39154722 -0.25213665 -0.17163709  0.56541173  0.11447378
  0.48185182 -0.34872724 -0.23433997]",0.1177687802458181,0.8954731149610113,0.0018928073353613854,0.007533425909306678,0.4268329243793697,0.9015361383063698
11,"[6.45073295e-11 7.42345407e-01 6.90691833e-02 1.25784291e-01
 3.89641745e-01 6.96159870e-02 1.02243040e-02 6.69512846e-02
 4.08730058e-01]","[-0.07308143  0.41204848  0.03319401 -0.30814653  0.48214602  0.27771607
  0.17834014  0.42075967 -0.45867649]",0.3191316147529186,0.9242102208630056,0.0022288860865596785,0.008196812805202274,0.41454028190706177,0.9244242802155659
12,"[1.00000000e+00 1.09382121e-01 5.08836874e-01 5.77742786e-01
 5.57261872e-02 2.30564289e-01 5.19639655e-08 4.09748484e-02
 1.00000000e+00]","[ 0.45550783 -0.28303936  0.34377777  0.57683579 -0.02493366  0.31765758
  0.17922112  0.09626656  0.34433003]",1.3528634904688661,0.8656227777992798,0.000675460545317257,0.004748549255124749,0.3923888056538977,0.950401924967334
13,"[2.42208464e-01 5.55934164e-01 3.69065302e-01 1.66649573e-01
 1.50033300e-01 5.65235625e-02 4.53097927e-08 7.78059111e-01
 1.00000000e+00]","[ 0.07719385  0.48849137  0.50271071  0.37938262 -0.03136357  0.22008944
  0.03916574  0.50453238  0.23077726]",1.1700910170915486,0.8368213760988408,0.0022288860865596785,0.008196812805202274,0.3846717480275456,0.8305010651293064
14,"[4.63510658e-08 1.96559258e-01 9.54411277e-01 2.73351816e-01
 9.39644045e-02 1.69050759e-01 2.82786491e-06 5.37243812e-02
 8.01174983e-01]","[-0.13162902 -0.15904414  0.58408806  0.17083066 -0.0631258   0.34746533
 -0.17873516  0.43759985 -0.48875339]",0.25763548262362207,0.7929832129671256,0.0022288860865596785,0.008196812805202274,0.3738567266443572,0.8157933665151887
15,"[1.81858440e-09 2.29228655e-01 6.95863153e-01 2.50535920e-01
 4.98214375e-02 7.11759689e-02 5.62157337e-01 4.83252658e-02
 1.00000000e+00]","[-0.27916044 -0.34911252  0.47862073  0.26548407 -0.18778816  0.26372799
  0.59690257  0.14806902  0.1326512 ]",0.804316282819048,0.7852775978451294,0.002573531490308808,0.008851453729749386,0.36568565597553626,0.7713730274127797
