iteration,point,cut_direction,cut_support_value,trial_direction_gap,ci_lower,ci_upper,mean_gap,max_gap
0,"[1.42837408e-08 8.87122900e+03 2.27119755e+01 5.08891834e+02
 4.74581802e+02 2.70772774e-08 1.38232046e+04 4.09490608e+01
 1.00000000e+00]","[-0.22055595  0.49469414  0.30573673  0.37483755  0.48167055  0.35148234
  0.22396408  0.18464301  0.18126041]",7918.476168648152,5623.1258977468215,2.4548656141978765e-07,0.0012550263386699402,1909.9064515169664,5780.618993139991
1,"[1.58700180e+01 2.86552167e+03 6.28669447e+01 1.49783659e+03
 1.88834786e+02 4.39147206e+00 1.68556695e+04 4.96855649e+01
 1.00000000e+00]","[-0.14496213 -0.57665212 -0.09632874  0.49750649  0.46693994 -0.13970121
  0.38708622  0.0008205   0.04775584]",5696.664815289074,5985.631674066781,2.4548656141978765e-07,0.0012550263386699402,1589.9688166924393,5456.460026027933
2,"[2.56518928e-09 1.01879007e+04 4.09342392e+01 1.84004547e+03
 3.79135448e+02 5.91260861e-01 3.37646735e-06 5.12388357e+01
 1.00000000e+00]","[-0.05432461  0.50561379  0.36122873  0.41683979 -0.06320943 -0.16680559
 -0.40718865  0.47173148  0.13041932]",5933.171716111274,4024.800689449319,2.4548656141978765e-07,0.0012550263386699402,1279.882200279326,3787.83664515674
3,"[3.85660000e+01 1.53728452e+03 3.63738075e+02 8.92583518e+02
 1.51462195e+03 1.88278270e+01 2.52596146e+02 8.11995825e+01
 1.00000000e+00]","[ 0.07109282 -0.47055682 -0.14424031 -0.59758272  0.52599479  0.33318414
  0.03752122 -0.07984585  0.01209617]",-500.5333762798708,3372.9172443493953,2.4548656141978765e-07,0.0012550263386699402,1098.0837775831194,3189.9990401356085
4,"[9.03039041e-10 5.33354260e+03 1.93631973e+01 1.30991392e+03
 1.97471709e+03 5.14846531e-02 7.23071393e+03 4.09354152e+01
 1.00000000e+00]","[-0.14755546  0.14233991  0.28032959  0.50189453  0.76060564  0.11217314
  0.11242107  0.15379872 -0.00936209]",3743.200427504325,3144.362862031475,2.4548656141978765e-07,0.0012550263386699402,1023.5729636962267,3144.0862247362084
5,"[9.12816941e-09 1.01879007e+04 2.87982831e+02 9.32129638e-08
 1.37455786e+03 4.55220168e+00 9.37736842e-06 4.62898012e+01
 1.00000000e+00]","[-0.03072138  0.30980723  0.43965484 -0.53581944  0.44065194  0.18045447
 -0.23577453 -0.37446709  0.01111953]",3872.0984626327986,2485.147420808095,2.4548656141978765e-07,0.0012550263386699402,899.4146589720133,2465.25728714477
6,"[2.08580000e+01 3.68140466e+02 6.64178458e+01 3.77624029e+03
 2.00245857e+02 6.45672714e+00 9.83413859e+02 5.94286960e+01
 1.00000000e+00]","[ 0.24520529 -0.63986007  0.38626775  0.51345673 -0.07428835  0.04722276
  0.07023556  0.30788605  0.10068398]",1807.0447316434509,2298.3897698807573,2.4548656141978765e-07,0.0012550263386699402,832.6584418911484,2434.8436515428257
7,"[3.09210000e+01 2.22995976e+03 3.69767323e+02 6.52163989e+02
 2.24291909e+01 1.15275756e+01 1.24961081e+04 8.37557799e+01
 1.00000000e+00]","[-0.10885894 -0.28739175  0.27575215 -0.68473396 -0.29130036  0.18660614
  0.07541006  0.47127061  0.11487146]",-11.296481126423517,2108.5331514187883,2.4548656141978765e-07,0.0012550263386699402,796.508004400136,2192.1515406265594
8,"[2.74648026e+01 1.22041191e+03 1.60133630e+02 2.20167975e+03
 1.86224947e+03 1.03359902e+01 1.62189322e-05 5.69129046e+01
 1.00000000e+00]","[-0.08980497 -0.47976292  0.41981329  0.15599945  0.64092919  0.1719059
 -0.1133436   0.20842471  0.25407495]",1030.1751846791137,2159.8444632227565,2.4548656141978765e-07,0.0012550263386699402,745.4151603516575,2133.2276881569965
9,"[4.34012226e-09 1.01879007e+04 1.85000015e+00 1.39258162e+03
 4.30036936e+02 6.29255515e-01 4.81318089e+03 4.38366027e+01
 1.00000000e+00]","[-0.25406923  0.39288677  0.17930116  0.78048183 -0.23590099 -0.23873949
  0.09990516 -0.08479913  0.09985118]",5465.55550437707,2048.3300916046837,2.4548656141978765e-07,0.0012550263386699402,709.0746439987782,2037.6223398898392
10,"[5.99844298e+00 6.89588683e+03 5.09432510e+01 5.36528795e+02
 3.11804317e+02 8.46623279e-10 1.73084087e+04 3.91660014e+01
 1.00000000e+00]","[ 0.05388701  0.44690956  0.44914684 -0.39833363 -0.1660727   0.08910753
  0.39271342  0.48830009 -0.09372495]",9655.817818575228,1826.6488142249,2.4548656141978765e-07,0.0012550263386699402,683.6005325150832,1906.7761650742232
11,"[2.76200000e+01 1.09835488e+03 6.39901340e+01 1.78666217e+03
 1.05156735e+01 1.12805008e+01 1.16670453e+04 8.31471744e+01
 1.00000000e+00]","[-0.05916475 -0.82104409 -0.06762105 -0.02476348 -0.44325158  0.22235588
  0.16364696 -0.1896052   0.09249722]",939.4480555652016,1773.6107795282696,2.4548656141978765e-07,0.0012550263386699402,635.9598970076579,1725.5572341429743
12,"[1.10036796e+02 9.36890228e+02 7.86657429e+02 5.83213323e+02
 1.03858072e+02 2.08748346e+01 3.70816301e-06 9.30012560e+01
 1.00000000e+00]","[ 0.30431072 -0.29959656  0.31422946 -0.55227616 -0.35194405  0.0676542
 -0.4315575  -0.2513183   0.18985077]",-380.43061280706945,1603.3598366645535,2.4548656141978765e-07,0.0012550263386699402,623.996415649311,1510.8811766175359
13,"[1.56111246e+01 2.07186595e+03 7.61187608e+00 2.96061159e+03
 1.58738864e+02 1.19419717e+00 1.11745707e+04 3.91606322e+01
 1.00000000e+00]","[ 0.07446493 -0.11727632 -0.3931187   0.73456142  0.03712438 -0.30892481
  0.13768459  0.41287918  0.01842364]",3490.2177341330394,1592.2837179645499,2.4548656141978765e-07,0.0012550263386699402,598.5178040192917,1547.7090357777247
14,"[1.81620000e+01 3.78574139e+03 1.22143921e+02 8.59795129e+02
 3.88039393e+02 2.96956238e+00 1.73147483e+04 4.84801401e+01
 1.00000000e+00]","[ 0.10864502 -0.25470808  0.14494474 -0.4667064   0.71141867  0.02561729
  0.26447445 -0.23801573 -0.22610887]",3497.8243737244034,1575.7383620255569,2.4548656141978765e-07,0.0012550263386699402,593.7559718120368,1594.7411380927658
