iteration,point,cut_direction,cut_support_value,trial_direction_gap,ci_lower,ci_upper,mean_gap,max_gap
0,[1.         0.41697371 0.45799207 0.39478766 0.04388337 1.        ],[ 0.24573186  0.39523431  0.44409982  0.6538091  -0.29931009 -0.26292238],0.5959870254967607,1.4951888547283103,0.02100049049809648,0.03536489350919096,0.5372431373495536,1.477849472075619
1,[0.93896557 0.26335864 0.73631119 0.18546796 0.04405444 0.99999995],[ 0.13251094 -0.39658535  0.52405602 -0.19587788 -0.32846469 -0.63582152],-0.28077354963349477,1.0854379503318956,0.030277476523643463,0.04705787985950256,0.4372610307668564,1.0878252813712637
2,[0.46428335 0.67160614 0.05557794 0.1955975  0.04388467 0.58481746],[ 0.11471289  0.36609236 -0.0853784  -0.34482332 -0.62383874 -0.58090445],-0.14016258930878922,0.9547149657411793,0.03701505247000205,0.055298759546085506,0.3939861899385185,0.9730898163569044
3,"[5.80030437e-10 2.14466925e-01 5.81906337e-02 5.65559819e-01
 4.38833875e-02 6.98689928e-01]",[-0.14439958 -0.61651444 -0.12475376  0.37194951 -0.43286248 -0.50771925],-0.302855557508232,0.9174465627324008,0.028494670712474888,0.044846420501047674,0.3762150074725988,0.9261968516084682
4,[1.         0.16149278 0.03964692 0.62400611 1.         0.51901057],[ 0.53579771 -0.29383691 -0.10041365  0.62077208  0.1999964  -0.43719702],0.8448161827561248,0.8978112834375899,0.031618694045711056,0.04871235792617862,0.3546956313795202,0.8849824709442197
5,"[2.40745246e-10 6.40431335e-01 7.08373020e-01 7.02473247e-02
 4.38841941e-02 1.00000000e+00]",[-0.45332051  0.40757695  0.4904102  -0.357768   -0.4162344   0.29433037],0.859350417967037,0.8749939982459234,0.031171244382336833,0.048161242682445024,0.3393446095556698,0.9026917723351321
6,[1.         0.66337059 0.12311549 0.11310346 1.         0.31653361],[ 0.5598315   0.50686931  0.189665   -0.32883804  0.00065724 -0.53438235],0.7137389368415943,0.90542886381706,0.04976392727889096,0.07050956945678731,0.3211305514754919,0.9140644139866009
7,"[1.62807772e-10 6.55275472e-01 3.82674130e-01 7.63290995e-02
 1.00000000e+00 3.10395550e-01]",[-0.38149573  0.39678805  0.46535377 -0.36014661  0.34649186 -0.48031648],0.6079984241486385,0.7969679052854289,0.041091312213344805,0.06020955202418361,0.3060147551996298,0.7256133193376109
8,[1.         0.4419913  0.9621566  0.07775644 1.         1.        ],[ 0.45653554  0.50005951  0.69987562 -0.0894263   0.11861701  0.17211288],1.6347238557381143,0.7083346035122193,0.044732667470575825,0.06455667825089441,0.2966928224948626,0.6936604061022442
9,"[3.47597760e-10 2.07045338e-01 4.21397575e-01 4.15531475e-01
 9.99999999e-01 3.32966936e-01]",[-0.18022851 -0.32506712  0.48649917  0.4988486  -0.16511193 -0.59080939],-0.016838689651051175,0.6979108924246442,0.06406820075620355,0.08716058484549065,0.27935238082860864,0.6835914533845826
10,"[2.84980135e-10 7.76952664e-01 3.23254453e-02 2.35044082e-01
 1.00000000e+00 2.50336067e-01]",[-0.11566298  0.68410941  0.08765784  0.53485722  0.17466443 -0.44085438],0.7243719052687839,0.6655822192086132,0.06546084993188299,0.08876360625192539,0.268997742921076,0.7145396532833492
11,"[1.00000000e+00 6.09340420e-01 1.78105605e-10 6.24736243e-01
 9.99999998e-01 1.00000000e+00]",[ 0.42161017  0.53782108 -0.18189652  0.70157757 -0.03489488  0.08048768],1.2332200193596592,0.6138235069597973,0.0719766342537227,0.09622761376614053,0.2534240310673131,0.6605863679633728
12,[1.         0.19582973 0.02434452 0.67108072 0.04388322 1.        ],[ 0.39859442 -0.29833668 -0.27581621  0.73461787 -0.30130788  0.21352581],1.026747953625056,0.6676396347588364,0.07992243496141789,0.1052572669670207,0.2474767264186378,0.598972218067844
13,[1.         0.89379159 0.07336056 0.11359715 0.04388417 1.        ],[ 0.35847447  0.75302134  0.07353445 -0.43075358 -0.32608074  0.08467761],1.0583485859972126,0.5929149926764455,0.10773133975883015,0.1363631320497816,0.23698426866192268,0.5945450777290433
14,"[8.65046797e-10 7.69180304e-01 1.04749739e-09 5.01075494e-01
 4.38833369e-02 1.00000000e+00]",[-0.08116009  0.61135457 -0.18951906  0.70198798 -0.29429237  0.06592448],0.8750008149727142,0.5975781083584487,0.12388785006005575,0.15415748877552043,0.22267418047357143,0.555931342999225
15,"[5.60920612e-11 9.08856280e-01 5.98297083e-01 1.31580709e-01
 1.00000000e+00 1.00000000e+00]",[-0.13831397  0.68375874  0.52930421  0.44011229  0.02627529 -0.19695447],0.8253506955662944,0.5848637638633923,0.13486157867911805,0.166150518749309,0.2166978330232333,0.5680606828044531
16,[1.         0.12061179 0.07543906 0.86683894 1.         1.        ],[ 0.45238303 -0.21330838  0.36967424  0.77986977  0.04907969  0.05083704],1.230481617044516,0.546615128917575,0.1530604376328521,0.1858967336313001,0.20586070831445738,0.5712968944357655
17,"[3.22300347e-10 4.14982312e-01 2.90648625e-10 1.70181259e-01
 4.38849438e-02 1.00000000e+00]",[-0.15659601 -0.45022827 -0.36681005 -0.77608783 -0.1869664  -0.03088417],-0.3580015533923496,0.5480632578634993,0.170371016743138,0.20453411447030226,0.19969320064750032,0.551055675480459
18,[1.         0.14163906 0.04790682 0.21624532 1.         0.64364738],[ 0.11105414 -0.63336609 -0.27726135 -0.61518058  0.34319622 -0.11580033],0.14369377586772197,0.5315722927983997,0.18001430307543845,0.21486191548701938,0.1911017174756075,0.5064292749141129
