iteration,batch_directions,batch_sources,batch_points,batch_support_values,batch_size_applied,best_gap,ci_lower,ci_upper,mean_gap,max_gap,wall_time_seconds
0,"[[ 0.11251557  0.09800192  0.45398603  0.01156027  0.07939268  0.49354138
   0.06422865  0.13193119  0.49241854 -0.00333585  0.10964936  0.48345375
  -0.10882922]
 [-0.14396218 -0.07122656  0.24489721  0.17332266 -0.4375876   0.52256072
   0.37047541  0.24926253  0.32298218  0.1016126   0.03647782  0.27196414
  -0.1741037 ]
 [-0.04115549 -0.22001758  0.4867654   0.1709902   0.37778523 -0.08558951
  -0.05644792 -0.06911189  0.52591879  0.04663259 -0.13538329  0.40700284
  -0.25092848]
 [-0.03814577  0.35087624  0.40367741 -0.15282093 -0.20648826  0.29297983
   0.18859567 -0.27372683  0.61445151 -0.18028569 -0.13377466 -0.06745055
  -0.13286447]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09340882 0.16190879 0.25589272 0.16630567 0.28816085 0.43898284
  0.09051671 0.16437568 0.25610679 0.05131815 0.08844486 0.12951227
  0.14263255]
 [0.09048292 0.15636439 0.22518238 0.16588158 0.28612578 0.45266118
  0.0920533  0.16673343 0.24816752 0.05156144 0.0886794  0.12752712
  0.06511281]
 [0.090795   0.15702477 0.25575101 0.16691304 0.28827615 0.41246163
  0.09041802 0.16373192 0.25212705 0.05144611 0.08854119 0.1287423
  0.03103777]
 [0.09490526 0.16434033 0.24747329 0.16393589 0.28274042 0.40952657
  0.0908175  0.16451848 0.28417556 0.05045763 0.08627874 0.12326391
  0.12552536]]",[0.59423475 0.35871013 0.33955131 0.29156586],4,0.41046772343991156,2.4548656141978765e-07,0.0012550263386699402,0.12965033164945708,0.3300803404210656,2310.41858652723
1,"[[-0.07602554  0.02342978 -0.16059147 -0.12645693 -0.13927587 -0.30414768
   0.1250765  -0.09064344 -0.21827593  0.07353481  0.19404467  0.82190807
  -0.22335685]
 [ 0.10450533  0.11559481  0.02561166 -0.00823454 -0.58780957 -0.28237778
  -0.02792326 -0.13159254 -0.10794328 -0.03720379  0.17276266  0.68518605
  -0.13883935]
 [-0.0554518   0.24416592 -0.38963429 -0.1886549  -0.13273888 -0.20495322
   0.23466755 -0.35996777  0.11339429 -0.28600572  0.09580759  0.55403074
  -0.30796879]
 [-0.36818088 -0.3728636  -0.21161999  0.17546697 -0.30295329 -0.25908034
  -0.00791296  0.26176683 -0.14984427  0.26040667 -0.14631718  0.53475749
  -0.15721595]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09228373 0.15894478 0.2265726  0.16451808 0.28269932 0.4066212
  0.09047089 0.16291164 0.24076882 0.05236181 0.09109507 0.17357659
  0.12887048]
 [0.09483398 0.16402398 0.23254096 0.16268612 0.27796602 0.39952598
  0.09018433 0.1624685  0.24286482 0.05249024 0.09173131 0.18726415
  0.21470638]
 [0.09255931 0.15953886 0.22766619 0.16646012 0.28697425 0.40944948
  0.09071986 0.16377758 0.24535205 0.05193615 0.08947116 0.13471191
  0.01969729]
 [0.09035636 0.15587644 0.22284738 0.16472339 0.28274945 0.4055003
  0.09201301 0.16620461 0.24460567 0.05241924 0.09071395 0.17065928
  0.12262864]]",[-0.14412635 -0.18043877 -0.15585707 -0.22187515],4,0.22797369559109842,2.4548656141978765e-07,0.0012550263386699402,0.09224448584689514,0.19838454068587003,3281.1292251469567
2,"[[-0.00317936 -0.0959954  -0.18034532  0.02654011  0.27026692  0.8634151
  -0.1214919  -0.16664782 -0.13179613 -0.00176286 -0.11932273 -0.17123806
  -0.18854874]
 [ 0.3685704  -0.03792658  0.52385726  0.046531   -0.25271912 -0.3919802
   0.24491561 -0.17310398 -0.33358283 -0.14435554  0.36697261 -0.02081672
  -0.10697445]
 [ 0.07780796 -0.02419892  0.6850486   0.21499087 -0.16030831 -0.55097814
  -0.01452562  0.11308205 -0.15259203 -0.20345966  0.00747577 -0.05583624
  -0.26023015]
 [-0.30382395  0.23528943 -0.23705654 -0.04623581  0.54389359  0.476721
  -0.13849689 -0.07335795 -0.28501782  0.06979327  0.07008589 -0.26583029
  -0.29097487]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09036647 0.15554067 0.2217429  0.16814264 0.292191   0.4696179
  0.08967641 0.16153254 0.23956146 0.05119674 0.08790467 0.12579595
  0.10282862]
 [0.09609243 0.16639829 0.3059863  0.1620405  0.27574698 0.39458086
  0.08992796 0.16121158 0.23770733 0.05195382 0.09051203 0.13057389
  0.24884026]
 [0.09442799 0.16399574 0.27303993 0.16399142 0.2820148  0.40511815
  0.09021733 0.16314289 0.2436087  0.05126814 0.08847457 0.12784446
  0.05741692]
 [0.09060774 0.15631645 0.22318699 0.16746923 0.29007372 0.45111185
  0.09010416 0.16241615 0.23982351 0.05146389 0.08843635 0.12639809
  0.04091836]]",[ 0.31280266 -0.1162142  -0.09462378  0.19295921],4,0.18266051705481878,2.4548656141978765e-07,0.0012550263386699402,0.08740450091177114,0.1690518979554412,2501.455382894026
3,"[[-0.11033061 -0.04854571  0.47514231  0.23096251  0.44229028 -0.33068624
  -0.0666769  -0.00577379 -0.3230467   0.09868428  0.10296106  0.51748369
  -0.06652248]
 [-0.15983548  0.51721823  0.42811857  0.15122612 -0.01692193 -0.16185792
   0.37637781 -0.12240699 -0.20007536  0.29198866 -0.08405774  0.42992539
  -0.02158529]
 [ 0.18902902 -0.24201604  0.60374034 -0.20357724  0.16355515  0.00560364
  -0.29162439  0.1928399  -0.04336194 -0.08248181 -0.05695632  0.58166858
   0.02169378]
 [ 0.18764677  0.28597573 -0.28017805  0.28787026  0.34464389 -0.48522849
  -0.20160998 -0.13714035  0.31168324  0.32906574 -0.05208084  0.29723945
   0.10706524]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09355217 0.16339055 0.29761992 0.16638187 0.28594791 0.40331092
  0.08826608 0.15831072 0.23329744 0.05211558 0.09131971 0.26526173
  1.00002975]
 [0.09602941 0.16833979 0.32116058 0.1630265  0.27915987 0.39714101
  0.08942912 0.15963125 0.23401598 0.05208907 0.09084295 0.24274823
  1.00000277]
 [0.09453841 0.16372809 0.41969633 0.16374356 0.28202144 0.40347927
  0.08926456 0.16188038 0.23845294 0.05170778 0.08990871 0.14698503
  1.00003189]
 [0.09331357 0.16046954 0.22576782 0.16392304 0.27982334 0.39423298
  0.08994543 0.16563691 0.41802894 0.05273025 0.09120583 0.15336237
  1.00001026]]",[0.15781303 0.2225138  0.33933655 0.20717664],4,0.17791768458122256,2.4548656141978765e-07,0.0012550263386699402,0.08090694436910983,0.14941610201786926,3068.43851612485
4,"[[ 0.07675322 -0.02005577 -0.16085023  0.152499   -0.24406541 -0.3110881
   0.04321249  0.5396571   0.66358807  0.0863989   0.14606285 -0.07059079
  -0.14493383]
 [ 0.22439173 -0.17998706 -0.17130093  0.22271852  0.17017229  0.46360349
  -0.12681508 -0.1104568  -0.26585778  0.33930745  0.02413141  0.59765982
   0.15015456]
 [ 0.20562084  0.03630248  0.48861447  0.1668248  -0.12404216  0.43102984
   0.23615449  0.05589454 -0.38237629 -0.02086535 -0.20343291 -0.49053222
  -0.03327872]
 [-0.10810809 -0.10271791  0.47186096  0.39560775 -0.04674033  0.43666315
  -0.13724199 -0.14546524 -0.16036665 -0.50583773 -0.05529496 -0.2846442
  -0.00891155]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09051104 0.15558187 0.22169637 0.16368609 0.28064702 0.40201736
  0.09463414 0.17504649 0.30790487 0.05148135 0.08853664 0.12701505
  0.17436981]
 [0.09000452 0.15463819 0.22069925 0.1685669  0.2927681  0.445033
  0.0884063  0.15890989 0.23359969 0.0524262  0.09045301 0.30257016
  1.00001006]
 [0.09553059 0.16548237 0.41281368 0.16744262 0.29027303 0.43623057
  0.08923014 0.1595793  0.23212403 0.04867644 0.08299033 0.1176866
  0.99999921]
 [0.0937772  0.1627503  0.4017326  0.16907396 0.29251933 0.4486969
  0.08830207 0.1588302  0.23339597 0.04852674 0.0833689  0.11853412
  1.00000449]]",[0.08558783 0.50833349 0.23963973 0.26739028],4,0.1622129880343598,2.4548656141978765e-07,0.0012550263386699402,0.07711542624914532,0.1377605663178944,3203.0723799001426
5,"[[-0.06781912 -0.15883387  0.47618602  0.29155895  0.41966088 -0.40345655
   0.00279487 -0.21917814  0.49254624  0.13234625  0.08841005 -0.05509838
  -0.02244582]
 [-0.29414389 -0.20163172  0.3599074   0.34279531  0.37065768 -0.38163426
  -0.06360478 -0.29910109  0.26455149 -0.04561923 -0.37921281 -0.18204268
  -0.01525484]
 [-0.30009052 -0.10523546  0.55459276 -0.22686305  0.10597856 -0.2554927
  -0.02030655  0.23176851  0.51276536 -0.21576843 -0.26592161  0.13661122
   0.10165126]
 [-0.24980311  0.2696077   0.29285604 -0.27794875  0.30042666 -0.40080831
   0.36190224  0.21314198  0.36593994  0.1366012  -0.10148877 -0.22569818
   0.24652008]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.0923179  0.16089858 0.30019083 0.1654971  0.28426434 0.39906848
  0.09046022 0.16515255 0.38046228 0.05124978 0.08808064 0.12697211
  1.00003973]
 [0.09079698 0.15806135 0.41852072 0.1679415  0.28853937 0.40344247
  0.09017075 0.16371588 0.25318141 0.04890684 0.08333224 0.11967697
  0.9999999 ]
 [0.09262126 0.16133512 0.41092876 0.16291873 0.27935395 0.39481853
  0.0938386  0.17299887 0.27107452 0.05018334 0.08592941 0.12458433
  1.00000705]
 [0.09463549 0.16429421 0.27435133 0.16051048 0.27281151 0.38625951
  0.09946219 0.18209864 0.39170339 0.04974359 0.08426135 0.1212743
  1.00001774]]",[0.25424712 0.0440063  0.33707812 0.41907522],4,0.16069503268436006,2.4548656141978765e-07,0.0012550263386699402,0.07279265047076504,0.1340462340557551,4528.3553808159195
6,"[[ 0.27768314 -0.0533048  -0.31875107  0.22630223  0.3839129  -0.50235058
   0.23931859  0.28270762 -0.39756993  0.02876251 -0.09588561 -0.24333887
  -0.05474061]
 [-0.29909125 -0.25286087 -0.1844993  -0.06477969  0.29715254  0.46664106
   0.15987585 -0.226264    0.49891959 -0.06250832  0.19645576 -0.34472322
   0.1237061 ]
 [-0.03019571  0.26561922 -0.16062815  0.24233278  0.44587881  0.28301118
   0.42424278 -0.36352748  0.35383325  0.15336141 -0.29132653 -0.06065815
   0.1253093 ]
 [ 0.07892705  0.30565365 -0.01782878  0.18037295  0.25456489  0.47867588
  -0.02033806 -0.20350742  0.51525154 -0.39649606 -0.32658662  0.02960154
   0.03876803]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09240288 0.15791685 0.22908481 0.16765787 0.28886515 0.40930374
  0.09225989 0.16479745 0.2421036  0.050955   0.0867623  0.1270167
  0.04880404]
 [0.08890542 0.15284131 0.21724712 0.16890411 0.2947115  0.46080471
  0.09154647 0.16585947 0.40413315 0.05040818 0.08586641 0.1212107
  1.00005634]
 [0.08976814 0.154446   0.2193373  0.17106673 0.29853743 0.44429498
  0.09072134 0.16293432 0.41280744 0.04937294 0.08396795 0.12045776
  1.00001424]
 [0.09298049 0.16027765 0.22542243 0.16852762 0.29308258 0.45709084
  0.09030915 0.16379993 0.40552642 0.04870626 0.08354517 0.11999864
  1.00000577]]",[-0.18057103  0.46072769  0.52982442  0.54561456],4,0.12949833959497564,2.4548656141978765e-07,0.0012550263386699402,0.0703425426792021,0.12613710651409704,2739.8128642700613
7,"[[-0.19893763  0.32955606 -0.29060859  0.08108108 -0.29569566  0.41338778
   0.2216637  -0.31957714 -0.44729245  0.11786401  0.18411813  0.31432223
  -0.06737208]
 [-0.26398463  0.2721644  -0.27854413  0.4876044  -0.12460001  0.35540008
   0.33243887 -0.11475512 -0.28727103  0.33632412 -0.108107    0.25658106
  -0.04706942]
 [ 0.20764263 -0.05955593 -0.0929865  -0.08627487 -0.06159844  0.69847734
  -0.18904682  0.03722992 -0.29304624  0.22137794  0.07777038  0.50016575
  -0.13175642]
 [-0.0994544  -0.3356172  -0.18280081  0.02326645  0.35359869  0.45181392
  -0.09687603 -0.26998786  0.43051437  0.40792423 -0.11670017 -0.24514112
  -0.08129137]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09084999 0.15669684 0.22179248 0.16778142 0.29038663 0.51525412
  0.08733073 0.15378988 0.22442426 0.05289646 0.0923104  0.1460583
  0.5124244 ]
 [0.08947909 0.1543589  0.2196086  0.16954485 0.29343455 0.60413137
  0.08907189 0.15854802 0.23210504 0.05217512 0.08977877 0.14264363
  1.00003694]
 [0.09050183 0.15570671 0.22212867 0.16746439 0.29087358 0.47758056
  0.08903162 0.1603704  0.23573005 0.05208225 0.08960992 0.13599712
  0.17529138]
 [0.08904821 0.15301602 0.21839463 0.16979698 0.29628068 0.48828463
  0.09009274 0.16323454 0.26016512 0.05077128 0.08616079 0.122963
  0.30364661]]",[0.01429363 0.16014665 0.27356151 0.24422944],4,0.13549372050201255,2.4548656141978765e-07,0.0012550263386699402,0.06650468352817084,0.11854482276111941,3445.9541210699826
8,"[[-0.08440059 -0.22590314 -0.30350505  0.19646455  0.19276243 -0.58448047
   0.21068047  0.12452755  0.26389018  0.30170039  0.36723293  0.27255662
  -0.05151933]
 [ 0.19970291  0.21680818 -0.32175505 -0.0040184   0.03238649 -0.19420234
   0.47010226 -0.14278502  0.30477327  0.3840453  -0.4072539   0.34576448
  -0.06030772]
 [-0.45506905 -0.05030355  0.16097432 -0.32904939 -0.09156405 -0.22899091
   0.33736168  0.22221367  0.31855669 -0.29497047  0.30626442  0.38698757
  -0.01181658]
 [-0.05319522 -0.28672967 -0.31239506 -0.21600811  0.39192167  0.16904763
   0.04448918 -0.42501669  0.08446752 -0.05845956  0.28620384  0.55255719
  -0.09013131]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08882031 0.15257428 0.21799708 0.16123469 0.27305176 0.3851952
  0.0981597  0.1804937  0.29916281 0.05524461 0.09723709 0.18046746
  0.54562754]
 [0.09097473 0.15635568 0.22184071 0.16297417 0.279945   0.39934531
  0.09483857 0.17219615 0.28121302 0.05200511 0.08918525 0.18457728
  0.31683082]
 [0.08996483 0.15575709 0.22499787 0.16000856 0.27173771 0.38732766
  0.09922166 0.18127763 0.28324587 0.05253072 0.09177943 0.28078042
  1.00000165]
 [0.08953665 0.15394407 0.21951433 0.16758758 0.29089241 0.42229966
  0.08927777 0.16035337 0.2411015  0.05253917 0.09165317 0.22406622
  0.43625301]]",[-0.05339865  0.0456137   0.09465841  0.09555077],4,0.12245080134924691,2.4548656141978765e-07,0.0012550263386699402,0.06430135838742129,0.11033569847886474,2655.994800588116
9,"[[ 0.00389765 -0.41865443  0.32618474 -0.22452816  0.33898805  0.24637624
   0.3645843   0.29252087 -0.4773602  -0.01257422  0.15480288 -0.12409206
  -0.08003708]
 [ 0.11967664 -0.10043935 -0.47034623 -0.1277981  -0.47934055 -0.25984253
  -0.07086558  0.28975016 -0.46063554  0.06223656 -0.18991306 -0.26016212
   0.17877115]
 [ 0.51470802 -0.31531297  0.28701922  0.31702892 -0.22032546  0.3455412
   0.226158   -0.05217308 -0.23649621  0.17076313 -0.10539022  0.25073783
   0.26811837]
 [ 0.22590415  0.23118945 -0.51935444 -0.40217588 -0.01280372  0.46317589
   0.28783121  0.28416034  0.11811395 -0.1938415   0.1675097   0.0148688
  -0.07712668]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09035617 0.15569042 0.26687455 0.1674799  0.29191025 0.43403236
  0.09043287 0.16145542 0.23583194 0.05132636 0.08826258 0.12685841
  0.12546419]
 [0.09342436 0.15769359 0.220795   0.15582596 0.26122873 0.38912155
  0.0993351  0.17539656 0.24683339 0.05237155 0.0880541  0.12600408
  1.00089335]
 [0.09411394 0.16152706 0.25258503 0.16740836 0.28993175 0.59300274
  0.08873578 0.15817307 0.23143354 0.05152489 0.08893595 0.13140812
  1.00001759]
 [0.08976951 0.15410467 0.2179898  0.16625876 0.28949207 0.49242014
  0.0939709  0.16999997 0.25304197 0.05112706 0.08800381 0.12673134
  0.28529165]]",[ 0.14536419 -0.29198245  0.52168763  0.19015249],4,0.10574932332589226,2.4548656141978765e-07,0.0012550263386699402,0.06234502653672907,0.10153455271112549,2601.709675824968
