iteration,batch_directions,batch_sources,batch_points,batch_support_values,batch_size_applied,best_gap,ci_lower,ci_upper,mean_gap,max_gap,wall_time_seconds,implied_threshold_for_tolerance
0,"[[ 0.07022503  0.08683169  0.43146584  0.06118131  0.10440583  0.50832008
   0.03596762  0.11703642  0.51105839 -0.08225602  0.09980131  0.47646092
  -0.09175876]
 [-0.07651685  0.01774008  0.31768679 -0.17049958 -0.06849449  0.46064988
   0.2874607   0.01079865  0.69476334  0.19898431 -0.15819666  0.0252513
  -0.12743908]
 [-0.05360511  0.39028103  0.43425273  0.0985302   0.12159139  0.19781786
  -0.28701376 -0.2695947   0.49354446 -0.14448514  0.32143309  0.25407642
  -0.07220013]
 [ 0.06964971  0.24383108  0.51913961 -0.32026251 -0.21463299  0.29997464
   0.11083257  0.00302081  0.10586649 -0.11953592 -0.02953873  0.4940257
  -0.38058606]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08510978 0.1457425  0.21402244 0.16348658 0.27683878 0.41201198
  0.09267088 0.16056821 0.24225304 0.04796849 0.08207985 0.12253463
  0.12709324]
 [0.08514012 0.14577388 0.20630788 0.16276441 0.2762604  0.39512705
  0.09295377 0.16118225 0.26075559 0.0476015  0.08129666 0.11451116
  0.08109454]
 [0.08737119 0.14890657 0.24576047 0.16267409 0.27532598 0.38587195
  0.09131705 0.15799581 0.37343005 0.04865173 0.08341049 0.11762261
  0.99999996]
 [0.08583964 0.14720868 0.21682653 0.16194461 0.27433988 0.38635554
  0.09252577 0.15973421 0.23045884 0.04859836 0.08313399 0.11770663
  0.00972257]]",[0.55621309 0.39574689 0.37895866 0.24090585],4,0.369147834995443,2.4548656141978765e-07,0.0012550263386699402,0.11588149080692552,0.290505874167118,36.04215717600164,0.21285224247134682
1,"[[-0.08692084 -0.05755317 -0.23453494  0.24690154  0.32272775 -0.19931245
   0.02991256 -0.15802033 -0.24092652  0.12634178 -0.055843    0.77820435
  -0.14385154]
 [-0.11541504  0.32973316 -0.31312128 -0.08280527  0.47861521  0.55497149
  -0.23630396 -0.20264217 -0.24786     0.09671508  0.20849967 -0.05385623
  -0.14806583]
 [-0.03826861 -0.02919196 -0.2110154   0.0793956  -0.11808145  0.1538088
  -0.52386278  0.1821584  -0.32202455  0.01491034 -0.0546373   0.68580881
  -0.15619484]
 [-0.3783665   0.14088858  0.10297418  0.00235954  0.29955076 -0.24459672
   0.40146468  0.06524106 -0.37807654  0.01964104  0.25082711  0.52466405
  -0.17285025]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08427514 0.14447026 0.20507704 0.16344797 0.27662026 0.38818432
  0.09142918 0.15664089 0.2258176  0.0494604  0.08537776 0.15234547
  0.0916251 ]
 [0.08412005 0.14420282 0.20406625 0.16579342 0.28472944 0.43661537
  0.09105155 0.15400355 0.21879686 0.04764111 0.08153433 0.11535771
  0.13755725]
 [0.08461825 0.14497719 0.20533263 0.16317812 0.27626286 0.39238688
  0.09129072 0.1569636  0.22366931 0.04919274 0.08469786 0.15010292
  0.08263569]
 [0.08494272 0.14612668 0.20746847 0.16209706 0.27431833 0.38510633
  0.09231315 0.15778087 0.22530305 0.04937742 0.08490192 0.14533707
  0.0585789 ]]",[ 0.01895455  0.22687139 -0.0152302   0.04873674],4,0.1999385445681055,2.4548656141978765e-07,0.0012550263386699402,0.08063234872218789,0.14642087859307468,18.78923255299742,0.11604128811519779
2,"[[ 0.26176347 -0.16910294  0.77437751  0.20716363  0.17484966 -0.224644
  -0.07947952  0.2280457  -0.26466529  0.08254952  0.03562287 -0.14771283
  -0.14490482]
 [ 0.22385102 -0.20588958  0.69879972  0.0758156   0.25317873 -0.08771179
   0.02505338  0.33460245 -0.07533324  0.39048274  0.05121701  0.14486264
  -0.21746636]
 [-0.00934264 -0.01498322  0.59369174  0.24801955  0.37906664  0.16320825
  -0.39408348  0.14411644 -0.44638776  0.00460434 -0.12948752 -0.00099328
  -0.15249136]
 [ 0.22919761 -0.11783552  0.51510845 -0.0637555   0.32205896  0.12778697
  -0.39627985  0.44688878 -0.08337741  0.35671882 -0.17552398 -0.11262397
  -0.098438  ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08729297 0.1494287  0.25383638 0.16223661 0.27472462 0.38533223
  0.09224183 0.15784761 0.22498186 0.04761075 0.08164908 0.11564256
  0.12211416]
 [0.08555432 0.1468296  0.23730397 0.16213771 0.27443867 0.38506729
  0.09230143 0.15937552 0.23035844 0.048531   0.0830574  0.11767305
  0.05137839]
 [0.08553992 0.14703246 0.24433851 0.16495792 0.28072832 0.39826535
  0.0911407  0.15474796 0.21863431 0.0472595  0.08100325 0.11480325
  0.10796245]
 [0.08657076 0.14786296 0.25049618 0.16395523 0.27812186 0.39084531
  0.09172245 0.15839009 0.22629    0.0472403  0.08066873 0.11370032
  0.11642678]]",[0.13041116 0.27011243 0.21632761 0.25450806],4,0.1814143195316241,2.4548656141978765e-07,0.0012550263386699402,0.07473396603458286,0.1432800602640591,18.952345951001917,0.10258863422338727
3,"[[-0.35873003  0.18601781  0.40253402  0.26781794 -0.26023511 -0.25550247
   0.16010022 -0.19082721 -0.38820746 -0.1071452  -0.24983927  0.42741345
   0.02474036]
 [-0.08248674 -0.20061753  0.39222588  0.17777162  0.39416869 -0.14596654
  -0.18472844 -0.45464691 -0.17753843 -0.34380608  0.18929664  0.40551776
  -0.00082296]
 [ 0.41126351 -0.1462246   0.34818407  0.0457189  -0.40852703 -0.3097724
  -0.18661715 -0.20602262 -0.1351785  -0.21791143 -0.10716417  0.5150201
   0.05954231]
 [-0.0514844   0.17428969  0.37959394 -0.06955898 -0.04372186 -0.29050889
   0.27750616  0.00911779 -0.40788035 -0.51452162 -0.13510855  0.44763978
  -0.07005749]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08758926 0.15096763 0.26078851 0.15951452 0.26822955 0.37622341
  0.09176321 0.15494467 0.21767646 0.04952555 0.08566716 0.24531341
  1.00000024]
 [0.08542099 0.14681813 0.25397265 0.16550141 0.27985377 0.39124528
  0.08878462 0.14820051 0.21036329 0.04881396 0.08576528 0.24421832
  1.00000001]
 [0.08849987 0.15121688 0.22383485 0.15799445 0.26469033 0.37237229
  0.09196426 0.157068   0.22369825 0.05010845 0.08622528 0.276786
  1.00000024]
 [0.08802894 0.15108886 0.23941326 0.15957721 0.26882139 0.37784202
  0.09225018 0.1557043  0.21954498 0.04874856 0.08513258 0.15175352
  0.25663076]]",[-0.01806868  0.12227352 -0.02186726 -0.06909966],4,0.1407605961046455,0.0002078592656904649,0.003204185101432733,0.07174680045491638,0.1271321979694393,19.339780599999358,0.09762358461615582
4,"[[ 0.03996302 -0.17518015 -0.23335105  0.21542871  0.40954222 -0.40971104
  -0.20232133  0.46258627  0.48669262  0.07728849  0.10119207  0.06492128
  -0.13801034]
 [ 0.16282108 -0.13703409 -0.24779204  0.15000801  0.40347233 -0.43656789
  -0.11574429 -0.48238131  0.38391757 -0.15436574 -0.07537144 -0.045226
  -0.30395725]
 [-0.13930819 -0.18956945 -0.19152318 -0.18958334  0.19980867 -0.33470594
  -0.34026799  0.37334596  0.40423714  0.06425566  0.39298562  0.34954386
  -0.14407474]
 [ 0.18826757 -0.04678844 -0.07187352 -0.21228522  0.02423641 -0.26175379
   0.10471899 -0.07173871  0.68051144  0.14881729  0.07922743  0.57488001
   0.07009969]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08415591 0.14383715 0.20417625 0.16258181 0.27536579 0.38621062
  0.09294754 0.16187677 0.2556779  0.04839429 0.08282985 0.11724657
  0.05270489]
 [0.08529227 0.14590063 0.20623598 0.16333592 0.27654137 0.38773885
  0.09265603 0.1601792  0.23753475 0.04797202 0.08215979 0.11634091
  0.0043905 ]
 [0.08431547 0.1441254  0.20449273 0.16122423 0.27349019 0.38433626
  0.09260771 0.16084225 0.24332463 0.04967632 0.08474913 0.13555183
  0.05784251]
 [0.08508083 0.14527187 0.20561182 0.16034216 0.27176669 0.38201491
  0.09283818 0.16144662 0.39957134 0.04994781 0.08506556 0.12764911
  1.00000006]]",[ 0.11305819 -0.10739745  0.01965201  0.29470545],4,0.133206440806553,2.4548656141978765e-07,0.0012550263386699402,0.06969334587438698,0.12093569929245085,19.179015536996303,0.09467998181658388
5,"[[-6.20116831e-02 -2.45573733e-01 -2.68175842e-01 -1.73157316e-01
  -1.27786950e-01  5.33143219e-01  1.33398419e-01 -2.67486619e-01
  -2.21371923e-01  1.60050196e-01 -7.39082515e-02  6.03276102e-01
  -2.20224510e-03]
 [-6.40636268e-02 -4.25548624e-02 -1.10658078e-01  6.69398783e-02
  -3.34380947e-01  6.89927384e-01  3.01972992e-01  2.87085871e-01
   5.45843856e-02 -9.55790130e-02  6.94631389e-02 -4.28325176e-01
  -1.24659510e-01]
 [ 1.18235089e-01 -1.98099460e-01  4.39291387e-01 -1.25321619e-01
  -3.79371206e-01  4.55479788e-01 -1.47128946e-01 -3.82443394e-01
  -2.59818511e-01  1.00648631e-01  3.63003560e-01  9.50180400e-02
  -1.90942890e-02]
 [-3.69073596e-01 -1.06613161e-01  5.62748239e-01 -1.01733704e-01
  -3.04268321e-01  4.06763492e-01  1.03393849e-04 -3.22768580e-01
  -2.60405941e-01  2.50546178e-01  9.32315216e-02 -1.53988916e-01
   1.33539330e-02]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08313348 0.1418808  0.20041398 0.1640101  0.2822742  0.42070334
  0.0912445  0.1536484  0.21659242 0.04972705 0.08535909 0.27081097
  1.00000001]
 [0.08429596 0.14436289 0.20425168 0.16450023 0.27946324 0.43507454
  0.09293534 0.15982143 0.22833124 0.04630544 0.0787279  0.11124152
  0.13683891]
 [0.08735488 0.1491709  0.25018435 0.16187043 0.27698793 0.5223964
  0.08910694 0.14867015 0.20912818 0.0503667  0.08602441 0.1205318
  1.00000003]
 [0.08550089 0.14743134 0.38156524 0.16329138 0.27867162 0.40125423
  0.09095005 0.15360257 0.21675598 0.04850028 0.08254384 0.11570047
  1.00000001]]",[0.15202812 0.20633533 0.10760687 0.13863468],4,0.12885784412591844,2.4548656141978765e-07,0.0012550263386699402,0.06495223515432354,0.1117501883147611,19.301183103998483,0.08914692950475067
6,"[[ 0.03759145 -0.24391256  0.56445962  0.2898693  -0.26496652 -0.28657033
   0.06490076  0.19499166  0.54385791  0.10019209 -0.02885703 -0.14059052
   0.12438931]
 [ 0.17051843 -0.3326228   0.51843046  0.45887734 -0.18531073  0.02828153
   0.14545773  0.16909409  0.52265292  0.05575865 -0.13164113 -0.04079462
  -0.02806448]
 [ 0.21325852 -0.40054128  0.37876191  0.16076675  0.57013889 -0.01438239
   0.07369537  0.34938948  0.27483821  0.03068219 -0.1974966  -0.17660844
   0.15918179]
 [ 0.21830305  0.21719994 -0.60830095  0.24895336  0.32036885 -0.38359832
   0.29466962  0.29554675  0.04490102 -0.15864508  0.06511189  0.1316755
   0.02087694]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08630368 0.14773964 0.37368241 0.15924612 0.26693857 0.37262902
  0.09336323 0.163103   0.24424342 0.04829172 0.0829333  0.11691031
  1.        ]
 [0.08554202 0.14663652 0.25475887 0.16306286 0.27567779 0.38655645
  0.09299566 0.16180464 0.36789659 0.04691298 0.08022556 0.11312879
  1.0000001 ]
 [0.0839918  0.14386202 0.36937224 0.16708437 0.28272787 0.39428479
  0.09352924 0.16335255 0.24055736 0.0453058  0.07662896 0.1080388
  1.00000047]
 [0.08166501 0.13294569 0.18092939 0.16245974 0.27254458 0.3787343
  0.10628527 0.18526118 0.26275344 0.04791648 0.08275076 0.17965248
  1.00000002]]",[0.32787857 0.32510347 0.53901654 0.05931124],4,0.12707965874780985,2.4548656141978765e-07,0.0012550263386699402,0.061799750884884715,0.11445460820145009,19.66591460700147,0.08375731393673683
7,"[[-0.15398323 -0.27053233 -0.25352333 -0.1419236   0.43884992 -0.50819899
   0.27171027 -0.16792864 -0.37426847  0.16885733 -0.03633303 -0.30917272
  -0.01747942]
 [ 0.06002463 -0.21028446 -0.23673946 -0.08147803  0.217311   -0.46495405
   0.05002678 -0.2762539  -0.2467773   0.41159198 -0.21373456 -0.5192597
   0.04059452]
 [ 0.24241379  0.32896529  0.29574948 -0.29368825  0.32834808  0.38729269
   0.24809507  0.14344064 -0.27587473  0.15874586 -0.03572037 -0.27619565
   0.37482701]
 [-0.19503444  0.09872405 -0.05357574  0.18848239  0.38001053 -0.49856453
  -0.19121252  0.33118409 -0.38101335  0.2643556   0.12566638 -0.34158074
   0.16454468]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08156586 0.13837834 0.20465174 0.16812568 0.28569665 0.39538081
  0.0904829  0.14982967 0.21316118 0.04942233 0.08367176 0.1177755
  0.30731144]
 [0.08603193 0.14513856 0.20724227 0.16777367 0.27956335 0.38202891
  0.08971689 0.14876684 0.22118674 0.04764572 0.07683525 0.10450799
  1.00000028]
 [0.08877805 0.15070083 0.22230152 0.16469152 0.28531744 0.55487486
  0.09166139 0.15334422 0.21551141 0.04571054 0.07721467 0.10915337
  0.99999994]
 [0.08691011 0.15177412 0.237776   0.17178551 0.27626521 0.36990712
  0.09011981 0.15342776 0.21329384 0.04936742 0.08026334 0.11034028
  1.00000032]]",[-0.31812915 -0.30663939  0.73151627  0.04053851],4,0.11093817670865816,2.4548656141978765e-07,0.0012550263386699402,0.059599869879863876,0.1004094610700787,20.097142049999093,0.07974328383021971
8,"[[ 0.30769619  0.06488985 -0.34096012  0.20477293  0.42270775  0.39939657
   0.25620762 -0.18967598  0.42346258  0.15735379 -0.21993168 -0.22331891
   0.02803176]
 [ 0.3979739   0.25649808 -0.2950124   0.27029312 -0.26117763  0.48424801
   0.16624899 -0.18929812  0.41268913 -0.24987692 -0.05748903 -0.11154111
   0.03248431]
 [ 0.39008113 -0.22442417 -0.16068342 -0.03700776  0.10577042 -0.5460081
   0.07574592 -0.05954756  0.62671986  0.08150093  0.20373912 -0.02030397
  -0.10170603]
 [-0.0807995   0.35271197  0.09907663 -0.28522951  0.35980348 -0.50608777
  -0.14125776  0.31594429 -0.06020208  0.23418878  0.39268863  0.19185133
   0.15184126]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08257441 0.14073046 0.19813736 0.17126318 0.29454324 0.44981507
  0.09191145 0.15574409 0.33952865 0.04536267 0.07680479 0.10905918
  1.00000002]
 [0.08511627 0.14539408 0.20448931 0.16457918 0.27870262 0.56317514
  0.09282019 0.16077413 0.23879763 0.04609872 0.07846093 0.11103409
  1.00000005]
 [0.08523042 0.14536697 0.20617237 0.16000068 0.26999758 0.37914888
  0.09301306 0.16230982 0.27654552 0.04925546 0.08416628 0.11870664
  0.17801466]
 [0.09145611 0.15693305 0.22339473 0.15463773 0.25872313 0.3613244
  0.09228637 0.15845224 0.22562944 0.05421189 0.09441679 0.24488264
  1.00000012]]",[ 0.43792139  0.34286665 -0.04554371  0.20825324],4,0.10451518607994503,2.4548656141978765e-07,0.0012550263386699402,0.05727000614710137,0.09693788392996733,19.145859381002083,0.07677651411371145
9,"[[ 0.25631099  0.20808322 -0.36751961  0.17632873 -0.46411831  0.33798957
   0.18776476  0.31691119 -0.14971712  0.2068826   0.29308595  0.32615551
  -0.04494534]
 [ 0.28820511 -0.10429005 -0.25639657 -0.35467097 -0.09443453 -0.1186353
   0.40789357 -0.218341    0.2095827   0.23409313  0.31066844  0.52519989
  -0.08008889]
 [-0.41461047  0.23542806 -0.03522046  0.25436661 -0.13059505 -0.52630992
  -0.20723781  0.52963891 -0.1719027   0.16446029 -0.16826555  0.00596691
  -0.06527043]
 [-0.10854949 -0.2648932  -0.16397395  0.34915234  0.39501625  0.25936384
   0.22547281 -0.36362969 -0.29802252  0.32647427 -0.17677393  0.36148565
  -0.07455232]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08494742 0.14485887 0.20212278 0.161093   0.27372804 0.5365138
  0.09253436 0.15831486 0.22341603 0.0510632  0.08835505 0.14838175
  1.00000004]
 [0.08486843 0.14469219 0.20461494 0.15995051 0.27115108 0.38185327
  0.09265603 0.15944316 0.23334669 0.05066946 0.0872684  0.29043706
  0.99999999]
 [0.08627026 0.14800207 0.21219631 0.15982779 0.26822947 0.37556496
  0.09306041 0.1622115  0.23291956 0.0496793  0.08459586 0.11976833
  0.06587337]
 [0.08159268 0.13877498 0.19726017 0.17117634 0.29475882 0.41817608
  0.09014846 0.15100489 0.21298304 0.0482811  0.08273146 0.14820795
  0.27746518]]",[ 0.1343379  -0.00742234 -0.18349736  0.14266755],4,0.10401428870440596,5.395411025929977e-05,0.0023346635863319577,0.055253453723548854,0.09072366965801655,19.141523956997844,0.07462895224048693
