iteration,batch_directions,batch_sources,batch_points,batch_support_values,batch_size_applied,best_gap,ci_lower,ci_upper,mean_gap,max_gap,wall_time_seconds,implied_threshold_for_tolerance
0,"[[ 0.03554147  0.0853968   0.50554456  0.11061152  0.19735656  0.47076889
   0.05826992  0.08629987  0.42941269 -0.12718588  0.09435793  0.48365689
  -0.09390988]
 [-0.30400997  0.02482241  0.20646171  0.43557611 -0.23459288  0.43663663
  -0.2706261  -0.00343366  0.49069377  0.12526939  0.1059432   0.2432376
  -0.16974058]
 [ 0.41992661  0.30809802  0.35355226  0.01566251 -0.46550771  0.35334991
   0.07920198  0.18379171  0.38290036 -0.08201303  0.08884137  0.23883606
  -0.06010436]
 [-0.12514449 -0.21540603  0.66389151  0.11437032  0.04722711  0.45560129
   0.00720944  0.08840713 -0.2406372  -0.13394649 -0.28814898  0.21646844
  -0.2463727 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08510086 0.14585507 0.24239769 0.16401912 0.27744909 0.3967729
  0.09259178 0.1602205  0.23535082 0.04765709 0.0816327  0.11875058
  0.13273774]
 [0.08453685 0.14503739 0.20538438 0.1635381  0.27663734 0.41026135
  0.09248791 0.16023133 0.23814458 0.04802336 0.08223928 0.11598657
  0.0452452 ]
 [0.09096073 0.15543928 0.24893952 0.15945245 0.27014839 0.38955112
  0.09278738 0.16078341 0.24534361 0.04853208 0.08319321 0.1167827
  0.25641448]
 [0.08498785 0.14607678 0.23260755 0.16428037 0.27828065 0.39506056
  0.09176187 0.15772652 0.22600057 0.04736038 0.08116739 0.11511558
  0.04904074]]",[0.56460562 0.33231255 0.3352224  0.26757198],4,0.368047846570996,2.4548656141978765e-07,0.0012550263386699402,0.11600283698473096,0.28506705774274693,53.58161980705336,0.2149163062834709
1,"[[ 0.12708265 -0.06457631 -0.10603681 -0.08351609 -0.14793767 -0.21405708
   0.08583285 -0.08508067 -0.23079876  0.02521801  0.16379234  0.87526927
  -0.17978024]
 [ 0.02918445 -0.05162495  0.1440901   0.05256534 -0.26176825  0.01314837
   0.34008527 -0.28951557 -0.11970625  0.06617683  0.16867296  0.79015434
  -0.18243329]
 [ 0.05529115 -0.37391315 -0.15921164 -0.16182456  0.30483158 -0.35259364
   0.26580847 -0.14893511  0.6387175   0.20524779 -0.09731246 -0.05516458
  -0.18142872]
 [-0.11684971  0.13215517  0.16522999 -0.0153794   0.20490863 -0.22537657
   0.12386234 -0.25169562 -0.4613519  -0.17194761 -0.27429189  0.63108433
  -0.23227987]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08521373 0.14617497 0.20706984 0.16100664 0.27300001 0.38385397
  0.09226949 0.1581561  0.22817334 0.0498699  0.08586627 0.15156758
  0.08054435]
 [0.08524982 0.14654914 0.20769218 0.16137573 0.27328763 0.38602722
  0.09217468 0.15761189 0.22595569 0.04968978 0.08554586 0.15082036
  0.07819749]
 [0.08444904 0.1443099  0.20479575 0.16231314 0.27521887 0.38622606
  0.09296129 0.16094035 0.25594432 0.04840469 0.08271999 0.11700609
  0.05028903]
 [0.08543339 0.14687608 0.20827876 0.16221766 0.27461288 0.38550417
  0.09217425 0.15755344 0.2251473  0.04862317 0.08351627 0.14325392
  0.05318094]]",[-0.08126195  0.04816011 -0.0099245  -0.07459316],4,0.20335976213689125,2.4548656141978765e-07,0.0012550263386699402,0.08037970696453353,0.17334827334087663,30.499612579820678,0.11602899957571976
2,"[[ 0.11880423 -0.13273028 -0.18241395  0.07402624  0.18117398  0.75573819
   0.13020103 -0.2142034  -0.40477188 -0.00957697 -0.23677165 -0.1536675
  -0.13822937]
 [ 0.142918   -0.51589047 -0.27931147  0.01645699  0.39493875  0.63879334
  -0.06512165 -0.09438385 -0.11482634  0.13938913  0.05431741  0.02074489
  -0.14821572]
 [-0.06359366  0.2397981  -0.28285317  0.4318792   0.21981163  0.63378744
   0.13032284  0.06481843 -0.24848048  0.30670933  0.11508314  0.13981325
  -0.11014981]
 [ 0.03802721  0.06671042 -0.13007378 -0.25406058 -0.09261153  0.77689991
  -0.48720723  0.18194302  0.01330544 -0.03530746  0.08980541 -0.03153691
  -0.1397495 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08373622 0.14317614 0.20277741 0.1665764  0.28632251 0.445608
  0.09126363 0.15421272 0.2184243  0.04690422 0.08038996 0.11415148
  0.18271525]
 [0.08337859 0.14242126 0.20173725 0.16603394 0.28556692 0.44173097
  0.09142773 0.15467214 0.22034674 0.04747567 0.08128648 0.11521477
  0.16102962]
 [0.08344258 0.14264381 0.20170875 0.16796403 0.28818948 0.44830702
  0.09123553 0.15417866 0.21776058 0.04769702 0.08161032 0.11702909
  0.21100782]
 [0.08452384 0.14463825 0.20439619 0.1646009  0.28254947 0.44090221
  0.09159609 0.1556112  0.22184009 0.0474656  0.08119596 0.11457374
  0.14959083]]",[0.18307964 0.22348544 0.37677954 0.22856262],4,0.15571362356861335,2.4548656141978765e-07,0.0012550263386699402,0.07336713077591722,0.13658811832109316,30.904337510932237,0.09954869262433108
3,"[[ 0.1548555  -0.17612848 -0.27110134  0.23524468 -0.25504461 -0.35291907
  -0.144285   -0.03677876  0.53597609  0.04989262  0.11463179  0.53386391
   0.12837954]
 [ 0.12813511 -0.16270528 -0.33811535 -0.17528042 -0.42334668 -0.18451055
   0.00743608 -0.09207494  0.35595449  0.45140905  0.35090163  0.36966079
   0.00295723]
 [-0.38091022 -0.34066491 -0.11407331 -0.09173046  0.06911647 -0.00240129
  -0.25191021  0.00308453  0.52192875  0.13776862  0.18304909  0.5076978
   0.25791989]
 [-0.14160279  0.00294265  0.37105147 -0.27993135 -0.57269827 -0.42248017
  -0.19041992 -0.05374791 -0.1339511   0.13074343 -0.12426018  0.38796254
   0.13147462]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08488216 0.14500039 0.2051451  0.15901377 0.26702856 0.37549388
  0.09283392 0.16278325 0.37255052 0.05029436 0.08550069 0.15229173
  1.00000021]
 [0.08455995 0.14396015 0.20302999 0.15755307 0.26462825 0.37344697
  0.09269364 0.16223672 0.25486968 0.05280731 0.09078338 0.26018047
  1.00000002]
 [0.08175298 0.13858624 0.19702658 0.16234097 0.27518439 0.38671183
  0.0927424  0.16223353 0.37648953 0.05033544 0.08553948 0.14779837
  1.00000007]
 [0.08895396 0.15241354 0.26561618 0.15530809 0.25924907 0.36263408
  0.09246538 0.15784982 0.2237838  0.05067219 0.08704526 0.22646293
  1.00000001]]",[ 0.17106437 -0.05848307  0.43155982 -0.09966805],4,0.14577352958967488,2.4548656141978765e-07,0.0012550263386699402,0.07080965764263945,0.1256255489785422,30.42774422816001,0.09843182242753257
4,"[[ 0.04175367  0.25271321  0.68838848 -0.08473406  0.34512461 -0.21121268
   0.09629493 -0.16853002 -0.35631315  0.2139657  -0.02347828 -0.24440626
  -0.13751802]
 [ 0.10381628  0.23092558  0.81236626 -0.06648266  0.1806745  -0.26528585
  -0.05696356  0.1321083  -0.26719719  0.10098737  0.02783425 -0.23256975
  -0.10659802]
 [ 0.0217583  -0.18258547  0.38328248 -0.14704422  0.24175403 -0.51059706
  -0.46350508  0.23523847 -0.15560578 -0.38619596  0.06060079 -0.16262112
  -0.06967519]
 [-0.23670266  0.0699182   0.33998186 -0.30225782  0.4516709  -0.49639799
   0.28865714 -0.32480344 -0.26335622 -0.03288048  0.14375237 -0.0158104
  -0.03931573]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.0875967  0.14995335 0.25421304 0.16282753 0.27600786 0.38744553
  0.0912706  0.15561223 0.22153343 0.04775674 0.08161212 0.11523274
  0.13214993]
 [0.08825377 0.15132086 0.39023647 0.16144917 0.27335045 0.38342195
  0.09221512 0.15730391 0.22319107 0.04774237 0.08166777 0.11520236
  1.00000007]
 [0.08748746 0.1495511  0.26519239 0.16051644 0.27038143 0.37691225
  0.0922194  0.15861024 0.22678813 0.04776193 0.0822317  0.11653036
  0.21598867]
 [0.08769799 0.15096315 0.38341495 0.16028946 0.27126814 0.37730351
  0.09150649 0.15415194 0.21817655 0.04952953 0.08498579 0.12004946
  1.00000004]]",[ 0.08177054  0.1276546  -0.16263017 -0.10480531],4,0.14681116950932,2.4548656141978765e-07,0.0012550263386699402,0.06825215345376943,0.12780163829605373,29.68718649400398,0.09285778073086758
5,"[[ 0.01768565  0.055297   -0.23683586 -0.3851266  -0.27050223  0.55839394
   0.03196079 -0.08804574 -0.18480235  0.10761523 -0.11963337  0.58158802
   0.0133128 ]
 [-0.00985186 -0.15561828 -0.20692996  0.21805502 -0.20232323  0.55373656
  -0.06823989 -0.12758897 -0.29205655 -0.37740762  0.01599172  0.53199536
   0.07625658]
 [-0.13132291 -0.08399306  0.55468699 -0.09311723  0.28880374 -0.10409362
   0.15332943 -0.03244587  0.56366083 -0.10713326 -0.39082993  0.01159636
   0.24180919]
 [ 0.15776973  0.24986352 -0.39942027  0.20913875  0.33665952 -0.37678511
   0.07541823  0.04658674  0.30835606 -0.06068791  0.24959929  0.52908183
  -0.07240586]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08422215 0.1438452  0.20252272 0.16235011 0.27945308 0.42511598
  0.09147885 0.15426333 0.21715311 0.04980859 0.08539946 0.26669649
  1.00000002]
 [0.08341718 0.14250224 0.20126985 0.16588622 0.28452002 0.55044742
  0.09095491 0.15331042 0.21592428 0.048008   0.08325622 0.14201971
  1.00000001]
 [0.08579405 0.14714742 0.25421582 0.16289024 0.27598366 0.38633873
  0.09296099 0.16149756 0.36799817 0.04634739 0.07863416 0.11170627
  1.0000003 ]
 [0.08448128 0.14428658 0.20436913 0.16184073 0.27413917 0.38488271
  0.09273305 0.16032749 0.23678919 0.04987241 0.08537753 0.2908531
  1.00000007]]",[0.17351818 0.2649573  0.56555255 0.13611304],4,0.1334996952763954,2.4548656141978765e-07,0.0012550263386699402,0.0654481645123247,0.12058592458305595,29.90841232892126,0.08976152042179286
6,"[[-0.01321303 -0.15161976  0.63861189 -0.02155915 -0.05930673  0.64431517
   0.01447357 -0.3099155  -0.13074453  0.04646729  0.01922545 -0.18122958
   0.03410826]
 [ 0.24214546 -0.13474717 -0.06898517 -0.27350356  0.26653316  0.33045053
   0.34349638  0.34876066  0.32183338  0.25050242  0.26124128 -0.42127754
   0.10832561]
 [ 0.21887462  0.07555936 -0.29284726  0.41549246  0.18572403  0.34517585
   0.28892365  0.09800539  0.56384337  0.20697388 -0.12736605 -0.23943668
  -0.083426  ]
 [-0.05111035  0.07816219 -0.26978652  0.04230176  0.41193584  0.26312868
  -0.13961521 -0.47531895  0.31217355  0.26267935 -0.41956664 -0.29810921
   0.03158822]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08556989 0.14654681 0.24918207 0.1653654  0.2837207  0.53715206
  0.09113703 0.15381751 0.21698505 0.04689311 0.08036151 0.11319188
  1.00000001]
 [0.08241858 0.13895255 0.19701148 0.16436045 0.2792592  0.53409723
  0.09876939 0.17341834 0.25589883 0.04613787 0.07784936 0.10893321
  0.99999996]
 [0.08367075 0.14264921 0.20162828 0.16573944 0.28041158 0.40176142
  0.09301771 0.16248479 0.39742004 0.04611651 0.07826359 0.11079282
  1.00000043]
 [0.08195937 0.13974103 0.19695782 0.17269636 0.29879077 0.43320414
  0.09061154 0.15291496 0.34479594 0.04502474 0.07613006 0.10761847
  1.00000006]]",[0.4040817  0.46470914 0.38617154 0.199667  ],4,0.11259600376149137,2.4548656141978765e-07,0.0012550263386699402,0.06255227388879979,0.10993004683101498,29.659863802837208,0.08477558870428115
7,"[[ 0.17182965 -0.16554227  0.32434557  0.447716    0.36571503 -0.21721812
   0.20305453  0.25348654 -0.39637463  0.10022221 -0.18204198  0.38633468
   0.03810249]
 [ 0.27628755 -0.30205083 -0.2600761   0.18365551 -0.33569542 -0.24559896
   0.25439718  0.52566459 -0.24634369  0.04161188 -0.03809079 -0.38055839
  -0.09120172]
 [-0.34805211 -0.18650895 -0.11410589  0.42228174 -0.24298658 -0.40800516
   0.1114004   0.43331985 -0.29827695  0.21153878  0.10366572 -0.27088638
  -0.09592437]
 [ 0.07941457  0.40221805  0.12374877  0.39698877  0.13139126 -0.31689905
   0.51641024  0.1583026  -0.32879965  0.14517783 -0.08802731  0.33560104
   0.00308674]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.08548798 0.14709968 0.23323394 0.16530889 0.27918598 0.39075633
  0.09149129 0.15455709 0.2168329  0.04794785 0.08354673 0.26952671
  1.00000002]
 [0.08538284 0.14569518 0.20666249 0.16220866 0.27470148 0.38600618
  0.09306877 0.16161157 0.23420347 0.04829707 0.08267951 0.11641897
  0.00866273]
 [0.08472067 0.14567447 0.20880424 0.16235423 0.27415943 0.38444698
  0.09300369 0.16088231 0.2318053  0.04888292 0.08368549 0.11800686
  0.00957432]
 [0.08838843 0.15152745 0.21882633 0.16097567 0.27182263 0.38046354
  0.09258731 0.15616897 0.22022902 0.0495404  0.08580803 0.28234384
  1.00000004]]",[ 0.26085638 -0.22669184 -0.23833373  0.17170212],4,0.12072710015714527,2.4548656141978765e-07,0.0012550263386699402,0.059852573210707236,0.10192945048031118,29.778842489002272,0.08150961311113325
8,"[[ 0.14210281  0.16856396 -0.38449986 -0.02143241  0.32070653 -0.47552133
   0.19974588  0.2326011  -0.50859036 -0.23915372 -0.14499989 -0.18891772
   0.08686228]
 [ 0.25915908 -0.24324818  0.2709532  -0.36792647  0.33096817 -0.51841048
  -0.24662897 -0.12181748  0.32393158  0.28218041  0.13894737 -0.0520313
  -0.06599685]
 [-0.04518315 -0.29589244  0.21421086 -0.11242046  0.33415568 -0.29652444
  -0.43865544 -0.03244988  0.3529574   0.44375073 -0.32045815 -0.17787281
  -0.05474795]
 [-0.22591882  0.01731825 -0.34635075  0.41036393  0.26812358 -0.61539517
   0.05351492 -0.03683652 -0.1789848  -0.13060008  0.16226186 -0.22311628
   0.28333618]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09284432 0.1558287  0.21645592 0.16538251 0.27511535 0.3766647
  0.09374239 0.15036293 0.20527576 0.04312778 0.07448066 0.12246701
  1.00000216]
 [0.08740144 0.14890595 0.23595487 0.15844153 0.26650842 0.37194845
  0.09252183 0.16079868 0.24348007 0.05001361 0.08502782 0.11950264
  0.14031557]
 [0.08468245 0.14520497 0.21174733 0.16274555 0.27614906 0.38643601
  0.0926036  0.16152345 0.27880039 0.0470114  0.07914273 0.11235739
  0.20182094]
 [0.07966293 0.136344   0.19554222 0.17399337 0.27683273 0.3701604
  0.09385852 0.16057689 0.24104151 0.04888617 0.08476791 0.1200365
  1.00000008]]",[-0.1462817  -0.06563528 -0.0250326   0.05435789],4,0.10920214338795287,5.395411025929977e-05,0.0023346635863319577,0.056021029684637125,0.1039553673224195,30.304065343923867,0.07757807848409809
9,"[[ 0.2658753   0.31767134 -0.21135848 -0.05621993  0.40250431 -0.42412643
   0.03187657 -0.28455114 -0.40089021 -0.09803276  0.05369462 -0.42773302
  -0.02284075]
 [-0.28137444 -0.0625106   0.35387889  0.46695131 -0.34693571 -0.03705592
  -0.27712276 -0.49727351 -0.03363816  0.053963   -0.09619578  0.33478673
  -0.04952005]
 [ 0.01116587  0.53430662  0.14958817  0.12109176 -0.07384304 -0.43785486
   0.1575568  -0.39302172  0.19659202  0.29964592  0.33374786 -0.16246122
   0.18621133]
 [ 0.03683864 -0.36323317 -0.31329415 -0.02324647 -0.19495649 -0.3260264
   0.34597083 -0.43728969 -0.44536541  0.29724874 -0.13026243  0.09296308
   0.02177202]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09451409 0.16098545 0.22870777 0.16515451 0.27973444 0.38995443
  0.0882647  0.14624748 0.20844708 0.04547449 0.07715884 0.10951581
  0.36642477]
 [0.08586067 0.14809738 0.37256224 0.16281203 0.2749571  0.38538946
  0.08940222 0.15025261 0.21389878 0.05002288 0.08662811 0.13198073
  1.0000014 ]
 [0.09533261 0.16511814 0.25355206 0.15491468 0.25708701 0.35848671
  0.0922503  0.15642894 0.31525965 0.05078701 0.08620039 0.12049424
  1.00000026]
 [0.0830032  0.14011511 0.19840432 0.15857982 0.26504021 0.37024064
  0.08987269 0.14523852 0.2022411  0.05436239 0.09744075 0.18360685
  1.00000009]]",[-0.21204417 -0.05287863  0.19568151 -0.3662438 ],4,0.09596136954936904,0.0002078592656904649,0.003204185101432733,0.054192353510074995,0.08637188635732906,29.64240103517659,0.07335658168983605
