iteration,batch_directions,batch_sources,batch_points,batch_support_values,batch_size_applied,best_gap,ci_lower,ci_upper,mean_gap,max_gap,wall_time_seconds
0,"[[ 0.31360042  0.35844254  0.31493151  0.34645144  0.36441626  0.33526926
   0.29989136  0.32979794 -0.33174852]
 [ 0.37575464  0.02447512  0.32745908  0.23514658  0.11060245  0.27920416
   0.4980877   0.47566517 -0.36214566]
 [ 0.27511567  0.45011293  0.23739265  0.58422865  0.3646424   0.38117652
  -0.02589167  0.15811528 -0.14177762]
 [ 0.03089687  0.35618758  0.34130174  0.39313888  0.16057839  0.62240155
   0.27378931  0.18678278 -0.27948745]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.09716323 0.15145497 0.23294066 0.19760624 0.26568635 0.17184216
  0.12214946 0.07816925 0.32612479]
 [0.0727562  0.03877857 0.23503798 0.17204445 0.09102572 0.09747108
  0.74719432 0.38954146 1.        ]
 [0.06644835 0.15222956 0.2061653  0.83117295 0.21636412 0.14106696
  0.0425692  0.04261202 1.        ]
 [0.04453575 0.04280104 0.24513189 0.19400748 0.11127785 0.96078916
  0.07553573 0.05311985 0.99999997]]",[0.33523368 0.37830452 0.6178634  0.54353782],4,2.381254530604247,2.4548656141978765e-07,0.0012550263386699402,0.7637550388916281,1.9767704080613568,979.7912379989866
1,"[[ 0.67466444  0.08061167 -0.1860342  -0.20623875 -0.14863292 -0.11370173
  -0.02198639 -0.11253922 -0.64266492]
 [ 0.66505303 -0.06631742 -0.09458416 -0.27509824 -0.04322515 -0.31023434
  -0.15545444 -0.33476868 -0.48407784]
 [ 0.55129369  0.59938182 -0.4257085   0.02461492 -0.33866146 -0.0816973
   0.05730233  0.04759961  0.1675344 ]
 [ 0.50376733 -0.3999079   0.60246373 -0.24524552 -0.26303797 -0.20566404
  -0.17571382 -0.10446475 -0.09954566]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.15255569 0.08024975 0.17756628 0.15451467 0.10530795 0.10175099
  0.07231779 0.05409377 0.0881444 ]
 [0.98839133 0.06234167 0.18502682 0.16205764 0.1115517  0.09449641
  0.05721886 0.04385502 1.00002087]
 [0.61494026 0.55022052 0.10968135 0.10484042 0.05399279 0.06165223
  0.06402325 0.04967133 1.00000001]
 [0.81919235 0.04143613 0.42204662 0.21180584 0.06016317 0.07077755
  0.04862051 0.04650895 1.00000069]]",[-0.04705383  0.0493139   0.77493853  0.45510588],4,0.7535238350600159,0.0009545559495169254,0.005471167122258511,0.3344615429300091,0.622194096357445,622.7549759978428
2,"[[-0.13786218  0.61889232 -0.36284356 -0.15172738 -0.08957351 -0.02002455
   0.63938138 -0.08613573 -0.13651871]
 [-0.05348654  0.66227149 -0.22417214 -0.08676344  0.2273446  -0.21243554
  -0.11423162  0.61988861 -0.08142134]
 [ 0.06038208  0.55033682 -0.35093153 -0.11817766 -0.15578228 -0.21334393
   0.59748648  0.24637177  0.26247205]
 [-0.10851768  0.03851775 -0.16714784  0.70761272 -0.15430751 -0.26088798
   0.53549929 -0.2816683  -0.01078282]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.04108019 0.37654786 0.1279254  0.11390046 0.08321487 0.08388226
  0.73774421 0.08549651 1.00000057]
 [0.04315868 0.91327964 0.13136505 0.11501964 0.11685014 0.09202695
  0.05702634 0.1574399  1.00000018]
 [0.05310369 0.3092067  0.12749117 0.11414671 0.06292824 0.06560462
  0.78794548 0.13958959 1.00000017]
 [0.03719452 0.03141073 0.15647162 0.85758559 0.05509337 0.05088608
  0.26818527 0.06389638 1.00000013]]",[0.48236372 0.57977786 0.85899444 0.67091391],4,0.6891356732398092,0.0015668550208154987,0.006859658346015931,0.3186560705552103,0.6081065014949023,944.2098185720388
3,"[[ 0.60885368 -0.11660733 -0.26185487 -0.27917983 -0.24554204  0.62221173
  -0.08142385 -0.03783736 -0.11700738]
 [-0.09728396  0.27136359 -0.17587281 -0.12527277  0.05304744  0.64008194
  -0.14082532  0.64505754  0.14772683]
 [ 0.02494935  0.1575425   0.12755713 -0.42281573 -0.2237128   0.63470443
  -0.02027522  0.57087165  0.01764301]
 [ 0.14260106  0.07389301 -0.23249419 -0.26705818  0.15078085  0.64905115
   0.169914    0.59011821  0.16648907]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.8019479  0.05552197 0.13923566 0.11921277 0.08609684 0.35439888
  0.05963463 0.04989743 1.00000017]
 [0.04722603 0.04245065 0.13637098 0.11463197 0.12662251 0.22965979
  0.04877199 0.8919175  0.99999995]
 [0.0506234  0.04181798 0.15327284 0.10877684 0.07421198 0.88092378
  0.06318889 0.19056681 1.00000014]
 [0.05632975 0.04058161 0.12056149 0.10002788 0.13518221 0.85866812
  0.09333783 0.20810426 1.00000007]]",[0.48767301 0.83849569 0.6490847  0.83914528],4,0.7100358894485881,0.0043909851837188926,0.012028982676593525,0.3002283761736497,0.6213222782464616,728.2980700789485
4,"[[-0.14012962  0.03926128 -0.26714086 -0.21769746  0.67651041 -0.21937165
  -0.02107476 -0.0442157  -0.59319169]
 [-0.15653808 -0.32507346 -0.26613608 -0.27895817  0.54994621 -0.41819194
  -0.02370621 -0.02400784 -0.49265942]
 [ 0.04464752 -0.22549712 -0.20984695 -0.46450628  0.53314016  0.17997952
   0.50665211  0.3161537   0.11863908]
 [-0.26369669  0.23773672 -0.46280961  0.53393285  0.08988879 -0.19858924
  -0.16682844  0.54516831 -0.04593904]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.05196752 0.03925068 0.15364381 0.13674312 0.33968574 0.15030061
  0.07073039 0.05535827 0.18928905]
 [0.04559267 0.03246664 0.15322323 0.13867376 0.26612114 0.13079054
  0.07795243 0.06198218 0.11843388]
 [0.05023965 0.03461468 0.12331469 0.09583379 0.37063545 0.16140577
  0.70676041 0.17480065 1.00000094]
 [0.03705122 0.03699371 0.1322539  0.3389604  0.0981414  0.07828548
  0.04929132 0.82972767 1.00000005]]",[ 0.0040519  -0.06718026  0.68268005  0.51025235],4,0.6685990253249946,0.004768802607230218,0.012649997439923887,0.28990207008537294,0.6139928195673494,1070.619708654005
5,"[[-0.07854879 -0.0282757  -0.24688396  0.72071767 -0.12363024 -0.09171319
  -0.12494     0.01713526 -0.61077456]
 [-0.35604643 -0.19815722 -0.08265629 -0.07589498 -0.07746703  0.6648518
  -0.1098294   0.05143131 -0.59886209]
 [-0.04695822  0.39785971  0.58547857 -0.32315022 -0.11778129 -0.255148
  -0.36810125 -0.05702757 -0.41781304]
 [-0.11511402  0.02594579 -0.40517062 -0.45761492  0.03186613  0.06466286
   0.16344653  0.52279738 -0.5543215 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.04577341 0.03512735 0.17428561 0.46452988 0.08396019 0.07474577
  0.05218005 0.04585565 0.25622093]
 [0.03506442 0.03267263 0.17897563 0.15261928 0.11487846 0.33342925
  0.05254915 0.04896168 0.16776916]
 [0.04460055 0.19540332 0.55779473 0.20050901 0.0547945  0.05986429
  0.03331676 0.04022941 0.48847957]
 [0.05279001 0.04146453 0.13092285 0.10690027 0.12830229 0.10712262
  0.11605925 0.28560127 0.21104921]]",[ 0.10771584  0.0637225   0.0970518  -0.04465898],4,0.6469991564475702,0.008711798638339738,0.018694152883190075,0.27398292566845794,0.5435238387516416,732.4059579879977
6,"[[ 0.62332749  0.05739332 -0.11648111 -0.27317237  0.67596455 -0.22202216
  -0.05424507 -0.08906228 -0.05367797]
 [ 0.59201834  0.12575321 -0.26788628 -0.31019646  0.64226906  0.08698252
   0.18442569 -0.09762317  0.04579179]
 [ 0.47398183 -0.21704122 -0.46496821 -0.35417182  0.43788867 -0.12595909
  -0.41048938  0.09922747  0.02532615]
 [ 0.45984364  0.00314603 -0.42143769 -0.07268679  0.57618165 -0.14217489
  -0.31625903 -0.1688139   0.3534458 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.74929251 0.04930105 0.16899448 0.14241699 0.4091674  0.13775188
  0.06159366 0.05036053 1.00000008]
 [0.77042696 0.05396521 0.13934112 0.11486909 0.37025315 0.17559841
  0.08181638 0.05614494 1.00000068]
 [0.8801258  0.04661588 0.1376647  0.11515163 0.25271012 0.14783801
  0.05251595 0.06195148 1.00000035]
 [0.11470511 0.04784825 0.14564252 0.14339476 0.94380175 0.14412729
  0.04734409 0.0377623  1.00000316]]",[0.59578946 0.69840957 0.40420647 0.83650389],4,0.6239010287745629,0.010348751469102262,0.021051761164099687,0.2521796316355698,0.5734970816549699,655.5611996429507
7,"[[-1.34623223e-01  1.95152445e-02  6.84261587e-01 -1.81641170e-01
   6.32650395e-01 -2.55012502e-01 -4.20092845e-02 -8.28709106e-02
  -7.98626443e-02]
 [-2.18640900e-01 -3.48653801e-01  5.11199578e-01 -3.88935047e-01
   4.33818167e-01 -3.10354465e-01 -3.40520978e-01 -1.32545889e-01
   3.99552099e-04]
 [-9.88586295e-02  4.46163387e-01  5.97507368e-01 -8.27792866e-02
   1.77791997e-01 -2.63437269e-01  5.63412553e-01  9.30795525e-02
   1.38217639e-02]
 [ 4.17236727e-01 -7.38651796e-02 -3.87989582e-01  4.77708912e-01
  -4.44538781e-01 -4.24690763e-01  2.42211640e-01 -6.89897296e-02
   1.76832093e-02]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.03473117 0.03472446 0.40742643 0.200211   0.82741724 0.11094301
  0.04708766 0.04364545 1.00000073]
 [0.02757917 0.02297924 0.69097712 0.1968664  0.49595151 0.10982569
  0.03293433 0.03721784 1.00000015]
 [0.03437088 0.16575518 0.328071   0.19639807 0.06745029 0.05262191
  0.83339728 0.0859303  1.00000024]
 [0.57153386 0.04962788 0.14113723 0.57391627 0.04604296 0.03604365
  0.10053646 0.06189633 1.00000042]]",[0.64813796 0.42793677 0.73981934 0.4561931 ],4,0.6177653415199401,0.009937068671683407,0.02046481257346037,0.24663979824301746,0.5421225704021646,814.764006660087
8,"[[-0.06210819  0.09415026  0.70213488 -0.3409383  -0.08307398  0.00759151
  -0.07139275  0.60289128  0.05012241]
 [-0.39830797 -0.04029322  0.56105711 -0.32772858  0.05249014 -0.35694387
   0.21797288  0.4616116  -0.16362924]
 [-0.03080104  0.02376292  0.71138221 -0.42444519 -0.0040868   0.54341159
   0.05337083 -0.00328251  0.11872731]
 [ 0.00780478 -0.42181792  0.47068643 -0.47621735  0.14903969 -0.41577476
  -0.11956098  0.38271914 -0.13352828]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.0367803  0.03585414 0.49255093 0.18902955 0.06339917 0.07625481
  0.04820078 0.7261988  1.00000212]
 [0.02163036 0.03138787 0.63702635 0.18936169 0.05634296 0.04072731
  0.09969598 0.52188616 1.00000002]
 [0.0345066  0.0354195  0.88763908 0.18220243 0.07717057 0.26645448
  0.04810088 0.04374881 1.00000148]
 [0.03520599 0.02333172 0.63388667 0.17683784 0.06837559 0.04325214
  0.04162519 0.52129905 1.00000061]]",[0.76229342 0.37289922 0.81952467 0.25779517],4,0.5516595820741526,0.012848023284494036,0.024544187645002633,0.23587218633824172,0.47511292206629896,1161.7886873011012
9,"[[ 0.02378341  0.01873871 -0.35906904 -0.3373073  -0.27830772  0.56325537
   0.55759711 -0.00610879 -0.22519496]
 [-0.29653634  0.2068747  -0.20253121 -0.19672417 -0.11476559  0.3994949
   0.57362431 -0.0929441  -0.52829822]
 [ 0.51506353  0.12106731 -0.21577539 -0.53429832 -0.29392019  0.13934173
  -0.25177486  0.45135506  0.12288767]
 [ 0.16449961 -0.03329997 -0.2726182  -0.30292627 -0.39447916  0.37712469
   0.56321829 -0.32474383 -0.29195162]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.05350289 0.04128172 0.12117731 0.10032715 0.07130764 0.36244227
  0.77713222 0.10519578 1.00000054]
 [0.03791609 0.04531541 0.15124102 0.12851792 0.10205236 0.21525159
  0.26538063 0.09021833 0.23536287]
 [0.77833106 0.07428743 0.13810727 0.10569015 0.08571287 0.10076083
  0.05484583 0.30826489 1.00000045]
 [0.06619573 0.04366856 0.14020016 0.11837771 0.07602898 0.24820371
  0.88807669 0.07962609 0.99999994]]",[0.31648502 0.03599905 0.56067679 0.18133744],4,0.5511294465952815,0.02362845767386259,0.038728370878609045,0.22534632317252876,0.48070278041703185,890.2992091490887
