iteration,z_trial,z_feas,max_min_distance,max_min_times,feas_point_times,outer_sub_opt_dist,OA_A,OA_b,X,iteration_time,max_min_solve_time,feas_point_time
1,[1.        1.        1.        1.        0.0438832 0.       ],[0.41381312 0.41381312 0.41381312 0.41381312 0.63007007 0.58618688],0.6931670040104665,,,0.5861868769229076,,,,71.41962718963623,0.20228171348571777,71.17213106155396
2,[1.         0.         0.         0.         0.04388319 0.        ],[0.64266101 0.35733899 0.07132101 0.34592987 0.40122218 0.35733899],0.5861868768080025,,,0.35733899021895404,,,,73.24760961532593,0.14080190658569336,73.10361051559448
3,[1.        0.        1.        0.        0.0438832 1.       ],[0.80590693 0.19409307 0.80590693 0.19409307 0.23797627 1.        ],0.5608463128996595,,,0.19409307421962996,,,,60.23618268966675,0.17470335960388184,60.058676958084106
4,[1.         0.03943088 0.         1.         0.0438832  1.        ],[0.78358124 0.20608647 0.04326793 0.78358124 0.26030196 1.        ],0.4865250044831712,,,0.21641876357663167,,,,57.437830209732056,0.31684303283691406,57.11776423454285
5,[0.         0.09764756 1.         0.         1.         0.        ],[0.23407943 0.30434499 0.62483333 0.21735977 1.         0.37516667],0.4865250044831712,,,0.37516666988375463,,,,74.64373111724854,0.07528853416442871,74.56501746177673
6,[1.         1.         0.04652715 0.         0.0438832  0.51800523],[0.80434365 0.80434366 0.05048917 0.16733912 0.23953955 0.71366156],0.4865250044831712,,,0.1956563543179044,,,,60.399017333984375,0.17945408821105957,60.21603727340698
7,[0. 1. 1. 0. 1. 1.],[0.         0.78013416 0.78013416 0.06786104 1.         1.        ],0.42213772805641003,,,0.21986583800400603,,,,76.56939506530762,0.38223838806152344,76.18416810035706
8,[0.         0.39009101 1.         0.         0.0438832  0.71877909],[0.16633343 0.36216511 0.83366657 0.16633343 0.21021663 0.88511252],0.3905009575365843,,,0.16633343439176682,,,,62.81436777114868,0.603513240814209,62.208046674728394
9,[1.         0.53666289 0.         0.         1.         0.06297549],[0.86333878 0.50202843 0.13666122 0.13666122 1.         0.1996367 ],0.3601569756949356,,,0.1366612164830998,,,,89.75469708442688,0.48041391372680664,89.27076458930969
10,[0.         0.06524901 0.         0.86137559 0.0438832  0.50360521],[0.14910772 0.24876503 0.05214796 0.67785958 0.22739921 0.68712123],0.34063772732719383,,,0.1835160143207242,,,,72.75031638145447,1.8220417499542236,70.92481470108032
11,[1.         0.16010308 1.         0.         1.         1.        ],[0.9334402  0.22666289 0.93344019 0.06655981 1.         1.        ],0.3280296751999929,,,0.06655980796673426,,,,119.85652041435242,1.7165908813476562,118.13566088676453
12,[0.         0.         0.         0.         0.0438832  0.52310296],[0.22006602 0.22006602 0.22006602 0.22006602 0.26394921 0.74316898],0.3280296751999929,,,0.2200660162124688,,,,111.33935523033142,0.5491368770599365,110.78713846206665
13,[0.        1.        0.5351633 0.        0.0438832 1.       ],[0.         0.90617286 0.44133616 0.07229846 0.13771033 1.        ],0.3280296751999929,,,0.09382713541149283,,,,93.24518656730652,0.9616968631744385,92.27954459190369
14,[1.         1.         0.5351633  0.         1.         0.77304745],[0.89302896 0.89302896 0.42819226 0.05707849 1.         0.88001849],0.3280296751999929,,,0.10697103726786994,,,,81.78477931022644,0.48058080673217773,81.30119109153748
15,[1.         0.         0.         0.60575811 1.         0.22334157],[0.86535798 0.13464202 0.04818394 0.4711161  1.         0.35798358],0.3208015856860374,,,0.13464201791645525,,,,83.28489422798157,3.339097738265991,79.94266772270203
16,[0.         1.         0.         0.70993254 1.         1.        ],[0.         0.8469055  0.         0.55683804 0.99999999 1.        ],0.2881140815472908,,,0.1530945011535789,,,,87.98113226890564,2.4037530422210693,85.57377481460571
17,[1.         0.         0.35484208 0.93632801 1.         1.        ],[0.87515332 0.12484668 0.2299954  0.81148133 1.         1.        ],0.2881140815472908,,,0.12484667723217377,,,,81.83500862121582,1.6920559406280518,80.13965058326721
18,[0.         0.60958839 0.16772769 0.08623786 0.0438832  0.34094536],[0.11461816 0.54075546 0.12838144 0.20085602 0.15850136 0.45556352],0.27513743306835364,,,0.11461816278448302,,,,92.10586714744568,1.4170377254486084,90.6855366230011
19,[0.         0.         0.87332422 0.59702983 0.0438832  1.        ],[0.13783712 0.13783712 0.7354871  0.45919271 0.18172032 1.        ],0.27513743306835364,,,0.13783712498352224,,,,106.99942207336426,0.383392333984375,106.61278891563416
20,[0.         0.         0.555007   0.27188054 1.         0.31123953],[0.11753553 0.11753553 0.43747148 0.38941607 1.         0.42877506],0.23199374319712798,,,0.1175355259975828,,,,88.3419680595398,2.467592477798462,85.87078380584717
21,,,0.23199374319712798,,,,,,,,43200.0,
