iteration,batch_directions,batch_sources,batch_points,batch_support_values,batch_size_applied,best_gap,ci_lower,ci_upper,mean_gap,max_gap
0,"[[ 0.18748924  0.24733805  0.37532622  0.33525687  0.34747234  0.35620922
   0.3858903   0.37900728 -0.3320013 ]
 [ 0.38886116  0.04564546  0.51096045  0.35247174  0.42582854  0.14047624
   0.3497668   0.10926886 -0.35503038]
 [ 0.16222777  0.20866755 -0.0489273   0.06061868  0.51327209  0.44169595
   0.4731817   0.34963808 -0.34551446]
 [ 0.43011989  0.08077641  0.163692    0.39487665  0.29901081  0.44786391
   0.35442285  0.45760795  0.02718967]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[9.99999999e-01 3.79074685e-01 6.34913001e-01 1.62280125e-01
  1.69307680e-01 1.09335773e-01 2.65078264e-01 1.68655217e-01
  1.00000000e+00]
 [1.00000000e+00 2.12224161e-01 9.54411867e-01 2.39128159e-01
  1.74867380e-01 5.27322016e-02 7.65788588e-02 4.48883015e-02
  9.99999998e-01]
 [1.00000000e+00 5.34952868e-01 2.03774670e-10 1.84320663e-01
  4.57407436e-01 7.55762463e-02 4.88990178e-01 4.58777667e-02
  1.00000000e+00]
 [1.00000000e+00 3.01395604e-01 6.34798965e-02 3.41855095e-01
  1.29319169e-01 1.69567656e-01 1.56667814e-02 7.35028162e-01
  1.00000000e+00]]",[0.50594139 0.72903126 0.45509189 1.08355541],4,2.2538506473433406,0.0004226422228750862,0.003997683835657477,0.7676364084846125,1.9081419537329118
1,"[[-0.34010397 -0.49691881  0.33821365 -0.24592372  0.50074972 -0.05251924
  -0.01375292 -0.05664257 -0.45346219]
 [ 0.4809293  -0.66677727 -0.13220448 -0.11162827 -0.21515714  0.19727434
  -0.11290332 -0.22751279 -0.38007526]
 [ 0.34243037 -0.3807576  -0.20363941 -0.30048354 -0.26157993  0.07606216
  -0.28562667  0.39587199 -0.54175547]
 [ 0.40626734  0.71328628  0.21326307 -0.13897959 -0.03358757  0.46560493
  -0.17381745  0.08002931 -0.08270307]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[4.35042359e-11 2.70007522e-01 5.98918369e-01 2.15312838e-01
  1.85055196e-01 8.64726822e-02 5.07289534e-08 5.76570207e-02
  4.27266923e-01]
 [1.00000000e+00 1.49984298e-01 4.56059262e-02 3.51137283e-01
  3.27959732e-02 1.77870802e-01 2.24295389e-08 7.16823869e-02
  3.56167130e-01]
 [9.99999996e-01 2.77748156e-01 4.10630490e-02 2.46207966e-01
  6.36617446e-02 1.15645339e-01 4.11426987e-07 8.64235312e-02
  2.31864215e-01]
 [1.00000000e+00 9.24824035e-01 1.84501124e-01 4.12091835e-02
  1.70351587e-01 3.76506524e-01 8.18986065e-09 3.79141262e-02
  1.00000000e+00]]",[-0.09345036  0.21205111  0.05507459  1.18946444],4,0.9233587992901844,0.0004226422228750862,0.003997683835657477,0.4310909622624063,0.8498332493895708
2,"[[-0.06536182 -0.58187763  0.15387877 -0.21095868 -0.1358969   0.0589018
   0.51548621  0.53875689 -0.10507904]
 [-0.13618184 -0.55730048 -0.16495136  0.46200709  0.01512803  0.32238898
   0.55127953 -0.0749733  -0.12852062]
 [-0.50154061 -0.3442588   0.26142872 -0.29480635 -0.05854926  0.06344088
   0.39898768  0.49331668  0.25432629]
 [ 0.46992292  0.47584033  0.10538451  0.56248568 -0.00352974 -0.46006259
  -0.09895193  0.05715991  0.02288227]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[8.59907314e-02 2.52062103e-01 1.30631546e-01 2.68637155e-01
  2.16012724e-02 8.83366993e-02 4.92573707e-01 4.85307079e-01
  1.00000000e+00]
 [2.95087844e-10 1.93465081e-01 3.90796668e-02 5.77125022e-01
  4.74506197e-02 9.88046927e-02 6.75193538e-01 5.08923079e-02
  1.00000000e+00]
 [1.36583337e-10 3.00377591e-01 4.45398825e-01 1.89664186e-01
  6.65454488e-02 6.11019581e-02 2.78463402e-01 5.50172692e-01
  1.00000000e+00]
 [1.00000000e+00 9.00114250e-01 3.06351956e-02 3.89692768e-01
  1.32910604e-01 8.38594880e-11 1.72140396e-08 5.45306686e-02
  1.00000000e+00]]",[0.22370636 0.424827   0.5939375  1.14618876],4,0.8611023041121266,0.0018928073353613854,0.007533425909306678,0.3983133623921836,0.7673360622040675
3,"[[-0.20037211 -0.45718366 -0.0377699  -0.22496183 -0.08646626  0.55607402
   0.04411195 -0.13448328 -0.60172534]
 [-0.25994176  0.59763721  0.51118996 -0.29203348  0.01400712  0.38133838
   0.04998397 -0.26205011 -0.10898397]
 [-0.07552358 -0.13177526  0.25597198 -0.32925007 -0.0926425   0.64915245
  -0.05847531  0.13147618 -0.59356324]
 [-0.1605543  -0.25051046 -0.06504063 -0.19726359  0.0963195   0.5647251
  -0.14467804 -0.3630085  -0.6224346 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[1.80797140e-10 2.89785582e-01 7.75972189e-02 2.98923088e-01
  7.97982859e-02 2.46687759e-01 4.01399531e-08 5.91499730e-02
  1.70773996e-01]
 [3.96239761e-11 7.63249479e-01 5.99682377e-01 9.89058009e-03
  1.68688076e-01 4.46401611e-01 2.18353009e-08 2.54753694e-02
  1.00000000e+00]
 [3.31621325e-10 3.82892938e-01 3.68048630e-01 1.48164679e-01
  8.13749557e-02 3.77490193e-01 1.70818447e-08 5.12385608e-02
  4.13111752e-01]
 [6.75916300e-10 3.67986551e-01 7.27568412e-02 2.72681846e-01
  1.02600642e-01 2.13868876e-01 6.79893733e-08 4.96662415e-02
  1.07172637e-01]]",[-0.18309928  0.81674263 -0.00599031 -0.1047845 ],4,0.822716377097525,0.002573531490308808,0.008851453729749386,0.37010594757959386,0.7637813842260981
4,"[[-0.16441942 -0.30912102  0.34348752  0.65501133 -0.09509755 -0.00449836
   0.00445889 -0.10947029 -0.55616502]
 [-0.17724533  0.55367848  0.3165777   0.49756682 -0.49647186 -0.24958948
  -0.04703402 -0.02470671 -0.05126612]
 [ 0.49558189 -0.42488594  0.0159824  -0.06978818 -0.08068546  0.6639608
   0.30216169 -0.16023517 -0.06643513]
 [-0.23137827 -0.42372826  0.544715    0.55680199 -0.1060565  -0.03281411
  -0.20843475  0.27031857 -0.17701313]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[3.61312086e-10 1.99992643e-01 8.79945427e-02 5.80560690e-01
  1.14318926e-01 6.78114438e-02 6.27414536e-08 5.04363859e-02
  2.64608168e-01]
 [5.04768389e-10 9.94634409e-01 1.89301819e-01 3.31615200e-01
  9.82423634e-02 1.09283322e-09 1.39428051e-07 6.22065880e-02
  1.00000000e+00]
 [1.00000000e+00 2.48959934e-01 7.94301877e-02 2.63493686e-01
  6.06393859e-02 8.53577810e-01 1.10226667e-02 5.05110148e-02
  1.00000000e+00]
 [3.25316552e-10 1.23977260e-01 9.54411870e-01 4.95984832e-01
  8.86487892e-02 7.71198958e-03 6.33519324e-08 7.05022844e-02
  1.00000000e+00]]",[0.18481334 0.67405951 0.8633344  0.57590523],4,0.7769022498132514,0.002573531490308808,0.008851453729749386,0.35439091314109333,0.7416790905612274
5,"[[-0.32473311  0.52437766 -0.09602536 -0.39399641 -0.12136172 -0.06476225
  -0.09240144  0.46117557 -0.46365795]
 [-0.28566731  0.53863767 -0.12266969 -0.12995962  0.01273253 -0.42098035
   0.21514704  0.44403716 -0.41890628]
 [ 0.17429746 -0.6141984  -0.2860076   0.43930191  0.46202822  0.22835661
   0.21682794 -0.06727006 -0.02092292]
 [-0.29253433 -0.50659063 -0.22998466  0.14256881  0.58747708 -0.21264326
   0.14704554  0.4020636   0.10462689]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[3.27352127e-11 7.89436767e-01 2.11339138e-02 1.32342017e-01
  1.89327272e-01 2.11099081e-02 1.40396482e-08 8.30101819e-02
  2.57061811e-01]
 [1.62259338e-10 8.49414667e-01 6.83551366e-10 1.38161536e-01
  2.10108981e-01 2.61273772e-10 1.02119662e-02 7.35318753e-02
  3.29667576e-01]
 [9.99999997e-01 1.53077016e-01 2.42301176e-02 5.51870884e-01
  5.57881305e-01 9.56396678e-02 2.67097100e-07 4.72226259e-02
  1.00000000e+00]
 [1.05397192e-10 2.87879566e-01 4.18851476e-02 4.24390802e-01
  8.92983547e-01 2.75093465e-02 4.82386799e-03 7.74832532e-02
  1.00000000e+00]]",[0.25454064 0.33899468 0.57128307 0.56028197],4,0.8071148016302255,0.005535345456196509,0.013881027001311346,0.33115874404073,0.6783122182058665
6,"[[-0.18925721 -0.51061361  0.04620824  0.4887767  -0.10618347  0.46452335
  -0.06529879  0.47554105 -0.07040944]
 [ 0.46947318  0.48140365 -0.2001504  -0.19383798  0.00847658 -0.1378722
   0.32747793 -0.23257565 -0.53832917]
 [-0.04054801  0.39418941  0.44960313 -0.5478782  -0.04096867 -0.37420125
  -0.20068874  0.3977911   0.02093642]
 [-0.06492024  0.49000017 -0.22749611  0.59312783  0.29361501  0.36824024
   0.27115751 -0.17646494  0.1601661 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[3.91223732e-11 1.36035105e-01 5.29760716e-02 5.54901525e-01
  4.09514022e-02 3.96834774e-01 5.41311872e-09 4.78981835e-01
  1.00000000e+00]
 [1.00000000e+00 6.83390461e-01 1.19780010e-02 1.46379723e-01
  1.73584961e-01 1.89869231e-02 3.32407033e-02 5.83487085e-02
  3.31573601e-01]
 [1.82672508e-10 6.46936388e-01 7.13038566e-01 3.66013481e-02
  1.84825601e-01 2.44462930e-04 1.30537995e-08 3.09416585e-01
  1.00000000e+00]
 [3.87423545e-11 7.90838727e-01 1.38347024e-11 4.02156744e-01
  1.81560083e-01 5.28838293e-01 1.23300702e-02 1.55641648e-02
  1.00000000e+00]]",[0.54156624 0.5853615  0.69190281 1.03485273],4,0.7253563169528187,0.009526959248201466,0.019876285103336635,0.31010227022328446,0.6222321771858088
7,"[[ 0.22969523 -0.44798236  0.18432568 -0.54760546  0.53512994 -0.14926554
  -0.17605602  0.26831558  0.03272603]
 [ 0.38460708 -0.18866886  0.16280867 -0.38604384  0.60042416 -0.22350301
  -0.4065231  -0.16640796  0.19372541]
 [ 0.40107263 -0.28447919 -0.08026173 -0.50539637  0.58691402  0.04457223
  -0.18934036 -0.33599447 -0.03388363]
 [-0.28205818 -0.35579495 -0.20647427 -0.06218349  0.24499493 -0.10772193
  -0.0948463   0.51883466 -0.63051009]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 3.55117578e-01 3.25411217e-01 1.05633173e-01
  7.06215353e-01 4.45034692e-02 6.07401754e-08 8.44021759e-02
  1.00000000e+00]
 [1.00000000e+00 4.32038251e-01 2.70591469e-01 1.33097268e-01
  7.81832202e-01 2.67650303e-02 1.41375521e-08 6.57843816e-02
  1.00000000e+00]
 [1.00000000e+00 4.04202794e-01 8.52487000e-02 1.74566277e-01
  8.43923479e-01 9.43986078e-02 1.54092346e-08 4.97123601e-02
  1.00000000e+00]
 [8.44891495e-10 3.26139236e-01 4.63380859e-02 3.54923488e-01
  1.21046448e-01 4.71885423e-02 3.64876343e-07 8.08606563e-02
  5.96626265e-02]]",[ 0.49939174  0.94199541  0.63994933 -0.11876878],4,0.6836560300197927,0.012009784173531376,0.023385208628784286,0.2942777530838232,0.6060208791562415
8,"[[-0.14835868 -0.45839042  0.3050824  -0.20281131  0.47537884  0.47051526
   0.39830103 -0.11487155  0.12021393]
 [-0.20659889 -0.40604513  0.02081596 -0.51841063  0.54607478  0.42642912
   0.07164015 -0.17749475 -0.08114928]
 [ 0.15931915 -0.17645515 -0.38693359 -0.25950906 -0.21804691 -0.08508787
   0.58189558 -0.19231417 -0.54410186]
 [-0.08236967  0.21834802  0.64445671 -0.19348702  0.65664618 -0.20799256
  -0.066369   -0.05509132  0.10436809]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[7.27637124e-10 2.52934714e-01 5.32383071e-01 1.95421043e-01
  1.37131434e-01 6.87009146e-01 7.70092766e-02 2.95286676e-02
  1.00000000e+00]
 [3.05743488e-11 3.93956291e-01 1.43737300e-01 2.02905697e-01
  8.39577963e-01 2.47679804e-01 1.31642632e-08 4.90369456e-02
  1.00000000e+00]
 [1.00000000e+00 4.28390171e-01 4.87804752e-10 1.83362793e-01
  6.14957233e-02 3.53103579e-02 6.86883208e-01 5.26074379e-02
  7.92408406e-01]
 [8.98055446e-10 4.60839207e-01 7.71768650e-01 1.05791423e-01
  5.18598520e-01 2.15215869e-02 1.46278254e-07 6.53293719e-02
  1.00000000e+00]]",[ 0.54277673  0.21207668 -0.02184399  1.01435395],4,0.6708615302295773,0.011176539530947749,0.02222122141652122,0.28461914170468217,0.6065984752683877
9,"[[ 0.30480737  0.64676687 -0.03186602 -0.22044941 -0.16876773 -0.08946778
   0.073084    0.61630671 -0.13232328]
 [ 0.3376432  -0.28838353  0.34022135  0.74122892 -0.18511799  0.13440503
  -0.22551213  0.04923667 -0.17901894]
 [-0.14441103  0.58520237 -0.13414697  0.06345682 -0.27504595  0.5119001
  -0.29570708  0.43152202 -0.05758076]
 [ 0.17512108 -0.3043354   0.58609562 -0.49727182 -0.2834637  -0.17458797
  -0.00826362 -0.00244509 -0.41835195]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[1.00000000e+00 6.84146982e-01 4.47542489e-02 1.34903349e-01
  1.64841461e-01 1.56700406e-02 1.39802466e-09 7.15896070e-01
  1.00000000e+00]
 [1.00000000e+00 1.08587993e-01 8.12294273e-02 8.51154590e-01
  6.46501186e-02 7.30040359e-02 8.40990792e-08 4.71249181e-02
  1.00000000e+00]
 [3.28157461e-11 7.91004537e-01 2.10566076e-11 1.49502164e-01
  1.45539532e-01 7.83501204e-01 4.06253526e-09 5.96682280e-02
  1.00000000e+00]
 [1.00000000e+00 2.15261654e-01 9.54411869e-01 1.37548287e-01
  1.03802443e-01 3.84969831e-02 1.26556227e-09 6.82102838e-02
  8.87434235e-01]]",[0.99579185 0.78601012 0.80159635 0.19301511],4,0.6512664614199595,0.018827469163832728,0.032545022241911054,0.27068249131354516,0.57926656672778
