iteration,z_trial,z_feas,max_min_distance,max_min_times,feas_point_times,outer_sub_opt_dist,OA_A,OA_b,X,iteration_time,max_min_solve_time,feas_point_time
1,[0. 0. 0. 0.],[0.18936563 0.18936563 0.18936563 0.18936563],1.0000000009313226,,,0.18936562624816725,"[[-3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51707018e+01]
 [ 3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51707018e+01]
 [-6.56716072e-01 -7.18323581e-01 -2.27062812e-01 -3.43178399e-02]]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.30670813e+02  1.20326639e+02  1.88489954e+01  4.51707018e+01
 -3.09881756e-01]","[[1.         0.78926895 1.         0.        ]
 [0.18936563 0.18936563 0.18936563 0.18936563]]",714.846330165863,0.03005695343017578,714.7988500595093
2,[0.00534832 0.37873125 0.         1.        ],[0.04745868 0.42084161 0.04211036 1.        ],0.8106343737313975,,,0.04211036247429715,"[[-3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51707018e+01]
 [ 3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51707018e+01]
 [-6.56716072e-01 -7.18323581e-01 -2.27062812e-01 -3.43178399e-02]
 [-7.83559518e-01 -5.63166787e-01 -2.62445520e-01  0.00000000e+00]]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.30670813e+02  1.20326639e+02  1.88489954e+01  4.51707018e+01
 -3.09881756e-01 -2.85242397e-01]","[[1.         0.78926895 1.         0.        ]
 [0.18936563 0.18936563 0.18936563 0.18936563]
 [0.04745868 0.42084161 0.04211036 1.        ]]",658.8301770687103,0.03132009506225586,658.7795400619507
3,[0.07385399 0.         1.         1.        ],[0.08860538 0.01475139 1.         1.        ],0.5382783337694356,,,0.014751385651927837,"[[-3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51707018e+01]
 [ 3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51707018e+01]
 [-6.56716072e-01 -7.18323581e-01 -2.27062812e-01 -3.43178399e-02]
 [-7.83559518e-01 -5.63166787e-01 -2.62445520e-01  0.00000000e+00]
 [-6.87759305e-01 -7.25938798e-01  0.00000000e+00  0.00000000e+00]]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.30670813e+02  1.20326639e+02  1.88489954e+01  4.51707018e+01
 -3.09881756e-01 -2.85242397e-01 -7.16477762e-02]","[[1.         0.78926895 1.         0.        ]
 [0.18936563 0.18936563 0.18936563 0.18936563]
 [0.04745868 0.42084161 0.04211036 1.        ]
 [0.08860538 0.01475139 1.         1.        ]]",986.9841048717499,0.04013180732727051,986.9169390201569
4,[1. 0. 0. 1.],[1. 0. 0. 1.],0.5259430918670283,,,2.3938100359740545e-10,"[[-3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51707018e+01]
 [ 3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51707018e+01]
 [-6.56716072e-01 -7.18323581e-01 -2.27062812e-01 -3.43178399e-02]
 [-7.83559518e-01 -5.63166787e-01 -2.62445520e-01  0.00000000e+00]
 [-6.87759305e-01 -7.25938798e-01  0.00000000e+00  0.00000000e+00]]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.30670813e+02  1.20326639e+02  1.88489954e+01  4.51707018e+01
 -3.09881756e-01 -2.85242397e-01 -7.16477762e-02]","[[1.         0.78926895 1.         0.        ]
 [0.18936563 0.18936563 0.18936563 0.18936563]
 [0.04745868 0.42084161 0.04211036 1.        ]
 [0.08860538 0.01475139 1.         1.        ]
 [1.         0.         0.         1.        ]]",196.97219395637512,0.0336308479309082,196.9380168914795
5,[0. 1. 1. 0.],[0. 1. 1. 0.],0.4740569081329717,,,1.1121117407554434e-11,"[[-3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51707018e+01]
 [ 3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51707018e+01]
 [-6.56716072e-01 -7.18323581e-01 -2.27062812e-01 -3.43178399e-02]
 [-7.83559518e-01 -5.63166787e-01 -2.62445520e-01  0.00000000e+00]
 [-6.87759305e-01 -7.25938798e-01  0.00000000e+00  0.00000000e+00]]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.30670813e+02  1.20326639e+02  1.88489954e+01  4.51707018e+01
 -3.09881756e-01 -2.85242397e-01 -7.16477762e-02]","[[1.         0.78926895 1.         0.        ]
 [0.18936563 0.18936563 0.18936563 0.18936563]
 [0.04745868 0.42084161 0.04211036 1.        ]
 [0.08860538 0.01475139 1.         1.        ]
 [1.         0.         0.         1.        ]
 [0.         1.         1.         0.        ]]",123.16773295402527,0.05176210403442383,123.11405611038208
6,[1. 1. 1. 1.],[1. 1. 1. 1.],0.4592869795813034,,,2.639539508982783e-16,"[[-3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51707018e+01]
 [ 3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51707018e+01]
 [-6.56716072e-01 -7.18323581e-01 -2.27062812e-01 -3.43178399e-02]
 [-7.83559518e-01 -5.63166787e-01 -2.62445520e-01  0.00000000e+00]
 [-6.87759305e-01 -7.25938798e-01  0.00000000e+00  0.00000000e+00]]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.30670813e+02  1.20326639e+02  1.88489954e+01  4.51707018e+01
 -3.09881756e-01 -2.85242397e-01 -7.16477762e-02]","[[1.         0.78926895 1.         0.        ]
 [0.18936563 0.18936563 0.18936563 0.18936563]
 [0.04745868 0.42084161 0.04211036 1.        ]
 [0.08860538 0.01475139 1.         1.        ]
 [1.         0.         0.         1.        ]
 [0.         1.         1.         0.        ]
 [1.         1.         1.         1.        ]]",153.22393012046814,0.07649111747741699,153.14663100242615
7,[0.92095543 1.         0.         0.01266264],[0.92095543 1.         0.         0.01266264],0.4592869795813034,,,1.6421587668307494e-17,"[[-3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51707018e+01]
 [ 3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51707018e+01]
 [-6.56716072e-01 -7.18323581e-01 -2.27062812e-01 -3.43178399e-02]
 [-7.83559518e-01 -5.63166787e-01 -2.62445520e-01  0.00000000e+00]
 [-6.87759305e-01 -7.25938798e-01  0.00000000e+00  0.00000000e+00]]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.30670813e+02  1.20326639e+02  1.88489954e+01  4.51707018e+01
 -3.09881756e-01 -2.85242397e-01 -7.16477762e-02]","[[1.         0.78926895 1.         0.        ]
 [0.18936563 0.18936563 0.18936563 0.18936563]
 [0.04745868 0.42084161 0.04211036 1.        ]
 [0.08860538 0.01475139 1.         1.        ]
 [1.         0.         0.         1.        ]
 [0.         1.         1.         0.        ]
 [1.         1.         1.         1.        ]
 [0.92095543 1.         0.         0.01266264]]",121.50138807296753,0.06115102767944336,121.43951106071472
8,[1. 0. 1. 0.],[1. 0. 1. 0.],0.37410256936793895,,,7.160509084313624e-13,"[[-3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51707018e+01]
 [ 3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51707018e+01]
 [-6.56716072e-01 -7.18323581e-01 -2.27062812e-01 -3.43178399e-02]
 [-7.83559518e-01 -5.63166787e-01 -2.62445520e-01  0.00000000e+00]
 [-6.87759305e-01 -7.25938798e-01  0.00000000e+00  0.00000000e+00]]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.30670813e+02  1.20326639e+02  1.88489954e+01  4.51707018e+01
 -3.09881756e-01 -2.85242397e-01 -7.16477762e-02]","[[1.         0.78926895 1.         0.        ]
 [0.18936563 0.18936563 0.18936563 0.18936563]
 [0.04745868 0.42084161 0.04211036 1.        ]
 [0.08860538 0.01475139 1.         1.        ]
 [1.         0.         0.         1.        ]
 [0.         1.         1.         0.        ]
 [1.         1.         1.         1.        ]
 [0.92095543 1.         0.         0.01266264]
 [1.         0.         1.         0.        ]]",134.91646099090576,0.04590487480163574,134.8699779510498
9,[0. 1. 0. 1.],[0. 1. 0. 1.],0.3151469188486275,,,1.5106053676351696e-10,"[[-3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51707018e+01]
 [ 3.30670813e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  1.20326639e+02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  1.88489954e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51707018e+01]
 [-6.56716072e-01 -7.18323581e-01 -2.27062812e-01 -3.43178399e-02]
 [-7.83559518e-01 -5.63166787e-01 -2.62445520e-01  0.00000000e+00]
 [-6.87759305e-01 -7.25938798e-01  0.00000000e+00  0.00000000e+00]]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.30670813e+02  1.20326639e+02  1.88489954e+01  4.51707018e+01
 -3.09881756e-01 -2.85242397e-01 -7.16477762e-02]","[[1.         0.78926895 1.         0.        ]
 [0.18936563 0.18936563 0.18936563 0.18936563]
 [0.04745868 0.42084161 0.04211036 1.        ]
 [0.08860538 0.01475139 1.         1.        ]
 [1.         0.         0.         1.        ]
 [0.         1.         1.         0.        ]
 [1.         1.         1.         1.        ]
 [0.92095543 1.         0.         0.01266264]
 [1.         0.         1.         0.        ]
 [0.         1.         0.         1.        ]]",115.32381296157837,0.056339263916015625,115.26698875427246
10,[1. 0. 0. 0.],,0.28653086097034747,,,,,,,,0.055577754974365234,
