iteration,z_trial,z_feas,max_min_distance,max_min_times,feas_point_times,outer_sub_opt_dist,OA_A,OA_b,X,iteration_time,max_min_solve_time,feas_point_time
1,[0.99999999 0.         0.         0.         0.05310883 0.        ],[1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713],1.0,,,0.32653713223075465,"[[-1.          0.          0.          0.          0.          0.        ]
 [ 0.         -1.          0.          0.          0.          0.        ]
 [ 0.          0.         -1.          0.          0.          0.        ]
 [ 0.          0.          0.         -1.          0.          0.        ]
 [ 0.          0.          0.          0.         -1.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.        ]
 [ 1.          0.          0.          0.          0.          0.        ]
 [ 0.          1.          0.          0.          0.          0.        ]
 [ 0.          0.          1.          0.          0.          0.        ]
 [ 0.          0.          0.          1.          0.          0.        ]
 [ 0.          0.          0.          0.          1.          0.        ]
 [ 0.          0.          0.          0.          0.          1.        ]
 [ 0.         -0.68278578 -0.15001546 -0.3973253  -0.52215283 -0.28423224]]","[ 0.          0.          0.          0.         -0.05310883  0.
  1.          1.          1.          1.          1.          1.
 -0.69272759]","[[0.         1.         0.         1.         0.46975432 0.        ]
 [1.         0.99986453 0.99962493 0.99978358 0.80983454 0.99999104]
 [0.99658696 1.         0.99947642 0.99971398 0.81039031 0.99999667]
 [0.99750944 0.99985821 1.         0.99977679 0.8167811  0.99998961]
 [0.99977311 0.99998758 0.99996226 1.         0.7980495  0.99999201]
 [0.44871175 0.9982894  0.99316388 0.99745325 1.         0.99998901]
 [0.         0.99998448 0.99995873 0.9999735  0.81265974 0.99997928]
 [0.99963133 0.         0.99994227 0.99996722 0.84642258 0.99998517]
 [0.99704559 0.99986534 0.         0.99974776 0.79881742 0.99998505]
 [0.99725576 0.99987487 0.99964571 0.         0.8503327  0.99999232]
 [0.43593565 0.99958856 0.99783684 0.9996166  0.05310883 0.99994689]
 [1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713]]",333.24373030662537,0.039765119552612305,333.1892991065979
2,[1.         0.97394627 0.         0.         0.05310883 0.        ],[1.         1.         0.10050945 0.10050945 0.15361828 0.10050945],1.0,,,0.10050944773584504,"[[-1.          0.          0.          0.          0.          0.        ]
 [ 0.         -1.          0.          0.          0.          0.        ]
 [ 0.          0.         -1.          0.          0.          0.        ]
 [ 0.          0.          0.         -1.          0.          0.        ]
 [ 0.          0.          0.          0.         -1.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.        ]
 [ 1.          0.          0.          0.          0.          0.        ]
 [ 0.          1.          0.          0.          0.          0.        ]
 [ 0.          0.          1.          0.          0.          0.        ]
 [ 0.          0.          0.          1.          0.          0.        ]
 [ 0.          0.          0.          0.          1.          0.        ]
 [ 0.          0.          0.          0.          0.          1.        ]
 [ 0.         -0.68278578 -0.15001546 -0.3973253  -0.52215283 -0.28423224]
 [ 0.          0.         -0.0830736  -0.25535363 -0.34976477 -0.89752878]]","[ 0.          0.          0.          0.         -0.05310883  0.
  1.          1.          1.          1.          1.          1.
 -0.69272759 -0.17795552]","[[0.         1.         0.         1.         0.46975432 0.        ]
 [1.         0.99986453 0.99962493 0.99978358 0.80983454 0.99999104]
 [0.99658696 1.         0.99947642 0.99971398 0.81039031 0.99999667]
 [0.99750944 0.99985821 1.         0.99977679 0.8167811  0.99998961]
 [0.99977311 0.99998758 0.99996226 1.         0.7980495  0.99999201]
 [0.44871175 0.9982894  0.99316388 0.99745325 1.         0.99998901]
 [0.         0.99998448 0.99995873 0.9999735  0.81265974 0.99997928]
 [0.99963133 0.         0.99994227 0.99996722 0.84642258 0.99998517]
 [0.99704559 0.99986534 0.         0.99974776 0.79881742 0.99998505]
 [0.99725576 0.99987487 0.99964571 0.         0.8503327  0.99999232]
 [0.43593565 0.99958856 0.99783684 0.9996166  0.05310883 0.99994689]
 [1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713]
 [1.         1.         0.10050945 0.10050945 0.15361828 0.10050945]]",426.5892143249512,0.018800020217895508,426.54037499427795
3,[1.         0.55766308 0.         0.         0.05310883 1.        ],[1.         0.66067469 0.10301161 0.10301161 0.15612044 1.        ],1.0,,,0.10301161440191692,"[[-1.          0.          0.          0.          0.          0.        ]
 [ 0.         -1.          0.          0.          0.          0.        ]
 [ 0.          0.         -1.          0.          0.          0.        ]
 [ 0.          0.          0.         -1.          0.          0.        ]
 [ 0.          0.          0.          0.         -1.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.        ]
 [ 1.          0.          0.          0.          0.          0.        ]
 [ 0.          1.          0.          0.          0.          0.        ]
 [ 0.          0.          1.          0.          0.          0.        ]
 [ 0.          0.          0.          1.          0.          0.        ]
 [ 0.          0.          0.          0.          1.          0.        ]
 [ 0.          0.          0.          0.          0.          1.        ]
 [ 0.         -0.68278578 -0.15001546 -0.3973253  -0.52215283 -0.28423224]
 [ 0.          0.         -0.0830736  -0.25535363 -0.34976477 -0.89752878]
 [ 0.         -0.61738714 -0.16917235 -0.4459824  -0.62555059  0.        ]]","[ 0.          0.          0.          0.         -0.05310883  0.
  1.          1.          1.          1.          1.          1.
 -0.69272759 -0.17795552 -0.56892138]","[[0.         1.         0.         1.         0.46975432 0.        ]
 [1.         0.99986453 0.99962493 0.99978358 0.80983454 0.99999104]
 [0.99658696 1.         0.99947642 0.99971398 0.81039031 0.99999667]
 [0.99750944 0.99985821 1.         0.99977679 0.8167811  0.99998961]
 [0.99977311 0.99998758 0.99996226 1.         0.7980495  0.99999201]
 [0.44871175 0.9982894  0.99316388 0.99745325 1.         0.99998901]
 [0.         0.99998448 0.99995873 0.9999735  0.81265974 0.99997928]
 [0.99963133 0.         0.99994227 0.99996722 0.84642258 0.99998517]
 [0.99704559 0.99986534 0.         0.99974776 0.79881742 0.99998505]
 [0.99725576 0.99987487 0.99964571 0.         0.8503327  0.99999232]
 [0.43593565 0.99958856 0.99783684 0.9996166  0.05310883 0.99994689]
 [1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713]
 [1.         1.         0.10050945 0.10050945 0.15361828 0.10050945]
 [1.         0.66067469 0.10301161 0.10301161 0.15612044 1.        ]]",712.5514228343964,0.05129098892211914,712.485659122467
4,[1.         0.86768752 0.         0.         0.05310883 0.25525591],[1.         0.90543168 0.03774416 0.03774416 0.09085299 0.29300007],1.0,,,0.03774415716124237,"[[-1.          0.          0.          0.          0.          0.        ]
 [ 0.         -1.          0.          0.          0.          0.        ]
 [ 0.          0.         -1.          0.          0.          0.        ]
 [ 0.          0.          0.         -1.          0.          0.        ]
 [ 0.          0.          0.          0.         -1.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.        ]
 [ 1.          0.          0.          0.          0.          0.        ]
 [ 0.          1.          0.          0.          0.          0.        ]
 [ 0.          0.          1.          0.          0.          0.        ]
 [ 0.          0.          0.          1.          0.          0.        ]
 [ 0.          0.          0.          0.          1.          0.        ]
 [ 0.          0.          0.          0.          0.          1.        ]
 [ 0.         -0.68278578 -0.15001546 -0.3973253  -0.52215283 -0.28423224]
 [ 0.          0.         -0.0830736  -0.25535363 -0.34976477 -0.89752878]
 [ 0.         -0.61738714 -0.16917235 -0.4459824  -0.62555059  0.        ]
 [ 0.         -0.49843567 -0.16096321 -0.44293261 -0.58873345 -0.42761706]]","[ 0.          0.          0.          0.         -0.05310883  0.
  1.          1.          1.          1.          1.          1.
 -0.69272759 -0.17795552 -0.56892138 -0.65287301]","[[0.         1.         0.         1.         0.46975432 0.        ]
 [1.         0.99986453 0.99962493 0.99978358 0.80983454 0.99999104]
 [0.99658696 1.         0.99947642 0.99971398 0.81039031 0.99999667]
 [0.99750944 0.99985821 1.         0.99977679 0.8167811  0.99998961]
 [0.99977311 0.99998758 0.99996226 1.         0.7980495  0.99999201]
 [0.44871175 0.9982894  0.99316388 0.99745325 1.         0.99998901]
 [0.         0.99998448 0.99995873 0.9999735  0.81265974 0.99997928]
 [0.99963133 0.         0.99994227 0.99996722 0.84642258 0.99998517]
 [0.99704559 0.99986534 0.         0.99974776 0.79881742 0.99998505]
 [0.99725576 0.99987487 0.99964571 0.         0.8503327  0.99999232]
 [0.43593565 0.99958856 0.99783684 0.9996166  0.05310883 0.99994689]
 [1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713]
 [1.         1.         0.10050945 0.10050945 0.15361828 0.10050945]
 [1.         0.66067469 0.10301161 0.10301161 0.15612044 1.        ]
 [1.         0.90543168 0.03774416 0.03774416 0.09085299 0.29300007]]",360.94280195236206,0.043829917907714844,360.8786098957062
5,[0.         1.         1.00000001 0.         0.05310883 0.08501825],[0.0466768  1.         1.         0.04667681 0.09978563 0.13169505],1.0,,,0.04667680526296582,"[[-1.          0.          0.          0.          0.          0.        ]
 [ 0.         -1.          0.          0.          0.          0.        ]
 [ 0.          0.         -1.          0.          0.          0.        ]
 [ 0.          0.          0.         -1.          0.          0.        ]
 [ 0.          0.          0.          0.         -1.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.        ]
 [ 1.          0.          0.          0.          0.          0.        ]
 [ 0.          1.          0.          0.          0.          0.        ]
 [ 0.          0.          1.          0.          0.          0.        ]
 [ 0.          0.          0.          1.          0.          0.        ]
 [ 0.          0.          0.          0.          1.          0.        ]
 [ 0.          0.          0.          0.          0.          1.        ]
 [ 0.         -0.68278578 -0.15001546 -0.3973253  -0.52215283 -0.28423224]
 [ 0.          0.         -0.0830736  -0.25535363 -0.34976477 -0.89752878]
 [ 0.         -0.61738714 -0.16917235 -0.4459824  -0.62555059  0.        ]
 [ 0.         -0.49843567 -0.16096321 -0.44293261 -0.58873345 -0.42761706]
 [-0.13154058  0.          0.         -0.34823006 -0.50465171 -0.77894772]]","[ 0.          0.          0.          0.         -0.05310883  0.
  1.          1.          1.          1.          1.          1.
 -0.69272759 -0.17795552 -0.56892138 -0.65287301 -0.17533471]","[[0.         1.         0.         1.         0.46975432 0.        ]
 [1.         0.99986453 0.99962493 0.99978358 0.80983454 0.99999104]
 [0.99658696 1.         0.99947642 0.99971398 0.81039031 0.99999667]
 [0.99750944 0.99985821 1.         0.99977679 0.8167811  0.99998961]
 [0.99977311 0.99998758 0.99996226 1.         0.7980495  0.99999201]
 [0.44871175 0.9982894  0.99316388 0.99745325 1.         0.99998901]
 [0.         0.99998448 0.99995873 0.9999735  0.81265974 0.99997928]
 [0.99963133 0.         0.99994227 0.99996722 0.84642258 0.99998517]
 [0.99704559 0.99986534 0.         0.99974776 0.79881742 0.99998505]
 [0.99725576 0.99987487 0.99964571 0.         0.8503327  0.99999232]
 [0.43593565 0.99958856 0.99783684 0.9996166  0.05310883 0.99994689]
 [1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713]
 [1.         1.         0.10050945 0.10050945 0.15361828 0.10050945]
 [1.         0.66067469 0.10301161 0.10301161 0.15612044 1.        ]
 [1.         0.90543168 0.03774416 0.03774416 0.09085299 0.29300007]
 [0.0466768  1.         1.         0.04667681 0.09978563 0.13169505]]",400.66383123397827,0.04742097854614258,400.60474395751953
6,[0.         0.86768752 0.         0.         0.05310883 0.44226404],[0.09375114 0.96143865 0.09375114 0.09375114 0.14685996 0.53601518],1.0,,,0.0937511354120337,"[[-1.          0.          0.          0.          0.          0.        ]
 [ 0.         -1.          0.          0.          0.          0.        ]
 [ 0.          0.         -1.          0.          0.          0.        ]
 [ 0.          0.          0.         -1.          0.          0.        ]
 [ 0.          0.          0.          0.         -1.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.        ]
 [ 1.          0.          0.          0.          0.          0.        ]
 [ 0.          1.          0.          0.          0.          0.        ]
 [ 0.          0.          1.          0.          0.          0.        ]
 [ 0.          0.          0.          1.          0.          0.        ]
 [ 0.          0.          0.          0.          1.          0.        ]
 [ 0.          0.          0.          0.          0.          1.        ]
 [ 0.         -0.68278578 -0.15001546 -0.3973253  -0.52215283 -0.28423224]
 [ 0.          0.         -0.0830736  -0.25535363 -0.34976477 -0.89752878]
 [ 0.         -0.61738714 -0.16917235 -0.4459824  -0.62555059  0.        ]
 [ 0.         -0.49843567 -0.16096321 -0.44293261 -0.58873345 -0.42761706]
 [-0.13154058  0.          0.         -0.34823006 -0.50465171 -0.77894772]
 [-0.19555961 -0.56721168 -0.1702354  -0.44974066 -0.63723058 -0.05213236]]","[ 0.          0.          0.          0.         -0.05310883  0.
  1.          1.          1.          1.          1.          1.
 -0.69272759 -0.17795552 -0.56892138 -0.65287301 -0.17533471 -0.74332403]","[[0.         1.         0.         1.         0.46975432 0.        ]
 [1.         0.99986453 0.99962493 0.99978358 0.80983454 0.99999104]
 [0.99658696 1.         0.99947642 0.99971398 0.81039031 0.99999667]
 [0.99750944 0.99985821 1.         0.99977679 0.8167811  0.99998961]
 [0.99977311 0.99998758 0.99996226 1.         0.7980495  0.99999201]
 [0.44871175 0.9982894  0.99316388 0.99745325 1.         0.99998901]
 [0.         0.99998448 0.99995873 0.9999735  0.81265974 0.99997928]
 [0.99963133 0.         0.99994227 0.99996722 0.84642258 0.99998517]
 [0.99704559 0.99986534 0.         0.99974776 0.79881742 0.99998505]
 [0.99725576 0.99987487 0.99964571 0.         0.8503327  0.99999232]
 [0.43593565 0.99958856 0.99783684 0.9996166  0.05310883 0.99994689]
 [1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713]
 [1.         1.         0.10050945 0.10050945 0.15361828 0.10050945]
 [1.         0.66067469 0.10301161 0.10301161 0.15612044 1.        ]
 [1.         0.90543168 0.03774416 0.03774416 0.09085299 0.29300007]
 [0.0466768  1.         1.         0.04667681 0.09978563 0.13169505]
 [0.09375114 0.96143865 0.09375114 0.09375114 0.14685996 0.53601518]]",1052.7353308200836,0.04155611991882324,1052.676157951355
7,[0.         1.         0.99999999 0.         1.         1.        ],[0.         1.         0.99999999 0.         1.         1.        ],1.0,,,1.950093524465447e-12,"[[-1.          0.          0.          0.          0.          0.        ]
 [ 0.         -1.          0.          0.          0.          0.        ]
 [ 0.          0.         -1.          0.          0.          0.        ]
 [ 0.          0.          0.         -1.          0.          0.        ]
 [ 0.          0.          0.          0.         -1.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.        ]
 [ 1.          0.          0.          0.          0.          0.        ]
 [ 0.          1.          0.          0.          0.          0.        ]
 [ 0.          0.          1.          0.          0.          0.        ]
 [ 0.          0.          0.          1.          0.          0.        ]
 [ 0.          0.          0.          0.          1.          0.        ]
 [ 0.          0.          0.          0.          0.          1.        ]
 [ 0.         -0.68278578 -0.15001546 -0.3973253  -0.52215283 -0.28423224]
 [ 0.          0.         -0.0830736  -0.25535363 -0.34976477 -0.89752878]
 [ 0.         -0.61738714 -0.16917235 -0.4459824  -0.62555059  0.        ]
 [ 0.         -0.49843567 -0.16096321 -0.44293261 -0.58873345 -0.42761706]
 [-0.13154058  0.          0.         -0.34823006 -0.50465171 -0.77894772]
 [-0.19555961 -0.56721168 -0.1702354  -0.44974066 -0.63723058 -0.05213236]]","[ 0.          0.          0.          0.         -0.05310883  0.
  1.          1.          1.          1.          1.          1.
 -0.69272759 -0.17795552 -0.56892138 -0.65287301 -0.17533471 -0.74332403]","[[0.         1.         0.         1.         0.46975432 0.        ]
 [1.         0.99986453 0.99962493 0.99978358 0.80983454 0.99999104]
 [0.99658696 1.         0.99947642 0.99971398 0.81039031 0.99999667]
 [0.99750944 0.99985821 1.         0.99977679 0.8167811  0.99998961]
 [0.99977311 0.99998758 0.99996226 1.         0.7980495  0.99999201]
 [0.44871175 0.9982894  0.99316388 0.99745325 1.         0.99998901]
 [0.         0.99998448 0.99995873 0.9999735  0.81265974 0.99997928]
 [0.99963133 0.         0.99994227 0.99996722 0.84642258 0.99998517]
 [0.99704559 0.99986534 0.         0.99974776 0.79881742 0.99998505]
 [0.99725576 0.99987487 0.99964571 0.         0.8503327  0.99999232]
 [0.43593565 0.99958856 0.99783684 0.9996166  0.05310883 0.99994689]
 [1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713]
 [1.         1.         0.10050945 0.10050945 0.15361828 0.10050945]
 [1.         0.66067469 0.10301161 0.10301161 0.15612044 1.        ]
 [1.         0.90543168 0.03774416 0.03774416 0.09085299 0.29300007]
 [0.0466768  1.         1.         0.04667681 0.09978563 0.13169505]
 [0.09375114 0.96143865 0.09375114 0.09375114 0.14685996 0.53601518]
 [0.         1.         0.99999999 0.         1.         1.        ]]",142.82479214668274,0.058264970779418945,142.7655611038208
8,[0.99999999 1.         0.         0.         1.         1.        ],[0.99999999 1.         0.         0.         1.         1.        ],1.0,,,6.120774460270127e-13,"[[-1.          0.          0.          0.          0.          0.        ]
 [ 0.         -1.          0.          0.          0.          0.        ]
 [ 0.          0.         -1.          0.          0.          0.        ]
 [ 0.          0.          0.         -1.          0.          0.        ]
 [ 0.          0.          0.          0.         -1.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.        ]
 [ 1.          0.          0.          0.          0.          0.        ]
 [ 0.          1.          0.          0.          0.          0.        ]
 [ 0.          0.          1.          0.          0.          0.        ]
 [ 0.          0.          0.          1.          0.          0.        ]
 [ 0.          0.          0.          0.          1.          0.        ]
 [ 0.          0.          0.          0.          0.          1.        ]
 [ 0.         -0.68278578 -0.15001546 -0.3973253  -0.52215283 -0.28423224]
 [ 0.          0.         -0.0830736  -0.25535363 -0.34976477 -0.89752878]
 [ 0.         -0.61738714 -0.16917235 -0.4459824  -0.62555059  0.        ]
 [ 0.         -0.49843567 -0.16096321 -0.44293261 -0.58873345 -0.42761706]
 [-0.13154058  0.          0.         -0.34823006 -0.50465171 -0.77894772]
 [-0.19555961 -0.56721168 -0.1702354  -0.44974066 -0.63723058 -0.05213236]]","[ 0.          0.          0.          0.         -0.05310883  0.
  1.          1.          1.          1.          1.          1.
 -0.69272759 -0.17795552 -0.56892138 -0.65287301 -0.17533471 -0.74332403]","[[0.         1.         0.         1.         0.46975432 0.        ]
 [1.         0.99986453 0.99962493 0.99978358 0.80983454 0.99999104]
 [0.99658696 1.         0.99947642 0.99971398 0.81039031 0.99999667]
 [0.99750944 0.99985821 1.         0.99977679 0.8167811  0.99998961]
 [0.99977311 0.99998758 0.99996226 1.         0.7980495  0.99999201]
 [0.44871175 0.9982894  0.99316388 0.99745325 1.         0.99998901]
 [0.         0.99998448 0.99995873 0.9999735  0.81265974 0.99997928]
 [0.99963133 0.         0.99994227 0.99996722 0.84642258 0.99998517]
 [0.99704559 0.99986534 0.         0.99974776 0.79881742 0.99998505]
 [0.99725576 0.99987487 0.99964571 0.         0.8503327  0.99999232]
 [0.43593565 0.99958856 0.99783684 0.9996166  0.05310883 0.99994689]
 [1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713]
 [1.         1.         0.10050945 0.10050945 0.15361828 0.10050945]
 [1.         0.66067469 0.10301161 0.10301161 0.15612044 1.        ]
 [1.         0.90543168 0.03774416 0.03774416 0.09085299 0.29300007]
 [0.0466768  1.         1.         0.04667681 0.09978563 0.13169505]
 [0.09375114 0.96143865 0.09375114 0.09375114 0.14685996 0.53601518]
 [0.         1.         0.99999999 0.         1.         1.        ]
 [0.99999999 1.         0.         0.         1.         1.        ]]",95.58630084991455,0.03963112831115723,95.54598236083984
9,[0. 1. 0. 0. 1. 1.],[0. 1. 0. 0. 1. 1.],1.0,,,2.7949963698327842e-14,"[[-1.          0.          0.          0.          0.          0.        ]
 [ 0.         -1.          0.          0.          0.          0.        ]
 [ 0.          0.         -1.          0.          0.          0.        ]
 [ 0.          0.          0.         -1.          0.          0.        ]
 [ 0.          0.          0.          0.         -1.          0.        ]
 [ 0.          0.          0.          0.          0.         -1.        ]
 [ 1.          0.          0.          0.          0.          0.        ]
 [ 0.          1.          0.          0.          0.          0.        ]
 [ 0.          0.          1.          0.          0.          0.        ]
 [ 0.          0.          0.          1.          0.          0.        ]
 [ 0.          0.          0.          0.          1.          0.        ]
 [ 0.          0.          0.          0.          0.          1.        ]
 [ 0.         -0.68278578 -0.15001546 -0.3973253  -0.52215283 -0.28423224]
 [ 0.          0.         -0.0830736  -0.25535363 -0.34976477 -0.89752878]
 [ 0.         -0.61738714 -0.16917235 -0.4459824  -0.62555059  0.        ]
 [ 0.         -0.49843567 -0.16096321 -0.44293261 -0.58873345 -0.42761706]
 [-0.13154058  0.          0.         -0.34823006 -0.50465171 -0.77894772]
 [-0.19555961 -0.56721168 -0.1702354  -0.44974066 -0.63723058 -0.05213236]]","[ 0.          0.          0.          0.         -0.05310883  0.
  1.          1.          1.          1.          1.          1.
 -0.69272759 -0.17795552 -0.56892138 -0.65287301 -0.17533471 -0.74332403]","[[0.         1.         0.         1.         0.46975432 0.        ]
 [1.         0.99986453 0.99962493 0.99978358 0.80983454 0.99999104]
 [0.99658696 1.         0.99947642 0.99971398 0.81039031 0.99999667]
 [0.99750944 0.99985821 1.         0.99977679 0.8167811  0.99998961]
 [0.99977311 0.99998758 0.99996226 1.         0.7980495  0.99999201]
 [0.44871175 0.9982894  0.99316388 0.99745325 1.         0.99998901]
 [0.         0.99998448 0.99995873 0.9999735  0.81265974 0.99997928]
 [0.99963133 0.         0.99994227 0.99996722 0.84642258 0.99998517]
 [0.99704559 0.99986534 0.         0.99974776 0.79881742 0.99998505]
 [0.99725576 0.99987487 0.99964571 0.         0.8503327  0.99999232]
 [0.43593565 0.99958856 0.99783684 0.9996166  0.05310883 0.99994689]
 [1.         0.32653713 0.32653713 0.32653713 0.37964596 0.32653713]
 [1.         1.         0.10050945 0.10050945 0.15361828 0.10050945]
 [1.         0.66067469 0.10301161 0.10301161 0.15612044 1.        ]
 [1.         0.90543168 0.03774416 0.03774416 0.09085299 0.29300007]
 [0.0466768  1.         1.         0.04667681 0.09978563 0.13169505]
 [0.09375114 0.96143865 0.09375114 0.09375114 0.14685996 0.53601518]
 [0.         1.         0.99999999 0.         1.         1.        ]
 [0.99999999 1.         0.         0.         1.         1.        ]
 [0.         1.         0.         0.         1.         1.        ]]",143.0852189064026,0.0315401554107666,143.0526831150055
10,[0. 1. 0. 0. 1. 1.],,1.0,,,,,,,,0.07306909561157227,
