task_id,my_dataset,my_comment,config,normalisation,batch_size,n_workers,tolerance_explore,axes_config,conduct_time_series_aggregation,aggregated_time_steps_per_year,reference_year,optimized_years,interval_between_years,use_rolling_horizon
7,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_PERIODS_batch_bbo_minmax_batch4,config_mga_batch_bbo.json,minmax,4,4,,config_mga_axes_capex_periods.json,True,3,2020,7,5,False
9,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_batch_bbo_minmax_batch4,config_mga_batch_bbo.json,minmax,4,4,,config_mga_axes_capex_cum.json,True,3,2020,7,5,False
10,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_batch_bbo_share_batch4,config_mga_batch_bbo.json,share,4,4,0.01,config_mga_axes_capex_cum.json,True,3,2020,7,5,False
11,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_batch_bbo_minmax_batch6,config_mga_batch_bbo.json,minmax,6,6,,config_mga_axes_capex_cum.json,True,3,2020,7,5,False
12,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_batch_bbo_share_batch6,config_mga_batch_bbo.json,share,6,6,0.01,config_mga_axes_capex_cum.json,True,3,2020,7,5,False
13,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_batch_bbo_share_batch4_2030,config_mga_batch_bbo.json,share,4,4,0.01,config_mga_axes_capex_cum.json,True,3,2020,7,5,False
14,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_batch_bbo_share_batch6_2030,config_mga_batch_bbo.json,share,6,6,0.01,config_mga_axes_capex_cum.json,True,3,2020,7,5,False
15,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_batch_bbo_share_batch4_tol002,config_mga_batch_bbo.json,share,4,4,0.02,config_mga_axes_capex_cum.json,True,3,2020,7,5,False
16,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_batch_bbo_share_batch6_tol002,config_mga_batch_bbo.json,share,6,6,0.02,config_mga_axes_capex_cum.json,True,3,2020,7,5,False
17,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_batch_bbo_share_batch4_tol002,config_mga_batch_bbo.json,share,4,4,0.02,config_mga_axes_capex_cum.json,True,3,2020,7,5,False
18,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_10ts_MGA_CAPEX_CUM_batch_bbo_share_batch4_tol002,config_mga_batch_bbo.json,share,4,4,0.02,config_mga_axes_capex_cum.json,True,10,2020,7,5,False
19,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_16a_2a_interval_10ts_MGA_CAPEX_CUM_batch_bbo_share_batch4_tol002,config_mga_batch_bbo.json,share,4,4,0.02,config_mga_axes_capex_cum.json,True,10,2020,16,2,False
20,Crystal_Ball_ind_heat_v9_0_no_flexibility_nodiffusion,2020_7a_5a_interval_3ts_MGA_CAPEX_CUM_TECH_batch_bbo_share_batch4_tol002,config_mga_batch_bbo.json,share,4,4,0.02,config_mga_axes_capex_cum_tech.json,True,3,2020,7,5,False
